Cl_mg_ClL-1	YYMMDD_120808	YYMMDD_120829	YYMMDD_121002	YYMMDD_121009	YYMMDD_121102	YYMMDD_121112	YYMMDD_121204	YYMMDD_130114	YYMMDD_130327	YYMMDD_130510	YYMMDD_130617	YYMMDD_130717	YYMMDD_130812	YYMMDD_131004	YYMMDD_131108
00	NA	57.624	NA	72.853	101.673	145.451	152.791	111.286	321.789	247.539	NA	NA	NA	NA	NA
01	113.015	125.007	140.837	110.823	NA	144.770	NA	164.604	NA	NA	125.807	159.005	138.119	163.317	203.585
02	95.710	99.867	104.571	98.094	92.317	93.585	127.608	163.971	303.434	250.446	NA	315.918	NA	163.885	170.631
03	147.015	83.657	134.020	275.337	129.387	102.723	NA	187.418	229.768	NA	117.094	150.287	145.690	146.132	201.487
04	136.727	96.485	114.250	109.590	NA	100.455	181.313	170.417	352.593	261.086	NA	133.341	300.844	71.213	NA
05	100.208	83.382	111.344	88.456	110.706	150.435	NA	171.590	114.935	NA	173.596	155.370	154.851	161.234	187.433
06	100.957	139.119	98.625	97.845	NA	96.755	176.517	104.025	225.766	275.100	NA	227.497	236.549	182.360	NA
07	119.993	201.674	76.268	89.905	97.296	133.123	NA	NA	129.200	NA	232.164	264.882	252.488	243.988	189.868
08	229.965	124.275	176.331	92.649	120.130	145.335	181.707	183.331	197.973	267.004	NA	284.284	288.018	287.496	147.101
09	89.830	209.964	124.729	54.624	121.716	160.313	NA	NA	315.470	NA	NA	280.595	292.974	195.443	73.465
10	148.457	124.304	148.934	114.101	55.421	136.495	NA	178.104	315.226	307.842	NA	287.388	NA	309.959	179.558
11	108.465	183.721	78.727	141.426	232.944	149.217	NA	NA	313.432	NA	177.834	265.334	290.360	289.718	NA
12	138.239	144.973	109.852	104.676	185.350	161.758	194.258	77.947	241.747	NA	NA	250.448	139.347	320.467	307.643
13	106.063	144.011	222.468	106.164	NA	198.641	NA	NA	304.353	310.567	NA	NA	NA	330.262	332.530
14	NA	288.300	201.231	220.575	272.340	207.940	317.597	183.067	NA	341.645	NA	349.714	333.159	220.309	344.946
15	125.267	205.957	208.322	298.528	NA	222.272	NA	NA	358.796	324.581	364.497	NA	348.644	340.809	379.984
16	NA	134.159	285.333	92.870	240.795	203.659	231.489	295.405	197.099	382.617	NA	395.514	NA	NA	372.617
17	249.218	331.781	298.949	145.994	NA	248.774	NA	394.546	310.110	NA	404.098	NA	388.421	393.342	395.378
18	NA	NA	258.524	185.483	262.807	182.447	318.614	230.717	294.932	406.559	NA	413.884	NA	NA	389.181
19	102.535	338.972	277.662	89.432	NA	162.884	NA	330.396	402.998	NA	403.416	NA	4.918	272.767	303.602
20	NA	NA	NA	170.053	231.969	107.755	434.932	303.054	408.877	397.205	NA	201.415	402.243	336.175	370.481
21	136.134	167.769	303.529	140.295	62.076	205.231	NA	428.433	NA	NA	339.384	NA	320.569	698.656	417.219
22	145.861	347.412	346.306	112.481	238.827	171.818	NA	290.597	406.257	408.252	NA	262.429	393.507	NA	412.704
