DO	YYMMDD_120808	YYMMDD_120829	YYMMDD_121002	YYMMDD_121009	YYMMDD_121102	YYMMDD_121112	YYMMDD_121204	YYMMDD_130114	YYMMDD_130327	YYMMDD_130510	YYMMDD_130617	YYMMDD_130717	YYMMDD_130812	YYMMDD_131004	YYMMDD_131112
00	4.48	7.42	NA	7.54	7.36	NA	9.44	12.08	11.97	9.08	NA	NA	NA	NA	NA
01	4.73	7.53	7.6	7.64	NA	NA	NA	11.97	NA	NA	8.8	9.26	5.92	7.47	6.92
02	5	7.49	7.74	7.54	7.32	NA	8.9	11.68	11.82	9.58	NA	7.31	5.84	6.84	6.53
03	4.63	6.95	7.6	7.51	7.26	NA	NA	11.62	12	NA	6.41	2.38	5.64	6.4	6.29
04	1.88	3.9	7.59	7.46	NA	NA	8.27	11.47	12	9.64	NA	1.18	4.15	6.2	NA
05	0.52	0.9	7.49	7.27	7.12	NA	NA	11.37	11.95	NA	5.11	1.22	0.23	5.73	6.13
06	0.78	0.21	6.41	6.76	NA	NA	8.38	11.15	11.98	8.53	NA	2.02	0.09	4.2	NA
07	2.14	0.65	2.86	1.56	6.28	NA	NA	NA	12.02	NA	5.94	4.1	0.87	0.2	6.06
08	2.15	1.02	0.17	0.18	5.27	NA	8.2	10.9	11.71	8.63	NA	4.53	2.41	0.12	5.95
09	1.81	0.53	0.53	0.39	1.03	NA	NA	NA	11.36	NA	7.15	4.45	2.49	0.1	5.58
10	0.85	0.54	0.53	0.54	0.27	5.95	8.06	10.34	10.79	7.64	NA	4.37	2.05	0.13	0.34
11	0.43	0.58	0.56	0.6	0.38	4.15	NA	NA	10.57	NA	6.05	4.2	1.06	0.16	0.17
12	0.33	0.63	0.58	0.64	0.44	0.41	7.02	9.91	9.65	6.17	NA	3.53	0.36	0.16	0.16
13	0.26	0.67	0.6	0.7	NA	0.39	NA	NA	9.35	5	0.74	NA	0.24	0.17	0.15
14	0.23	0.71	0.64	0.68	0.46	0.4	0.49	7.75	8.43	0.57	NA	0.32	0.16	0.17	0.16
15	0.21	0.73	0.63	0.73	NA	0.39	NA	NA	7.53	0.24	0.39	NA	0.16	0.18	0.16
16	0.2	0.74	0.64	0.76	0.5	0.4	0.38	0.54	6.53	0.3	NA	0.24	NA	0.17	0.15
17	0.2	0.75	0.64	0.73	NA	0.41	NA	0.41	2.55	NA	0.31	NA	0.17	0.19	0.17
18	0.2	NA	0.64	0.7	0.48	0.42	0.38	0.4	0.43	0.28	NA	0.25	NA	NA	0.18
19	0.18	0.75	0.63	0.68	NA	0.41	NA	0.36	0.35	NA	0.31	NA	0.17	0.18	0.18
20	0.18	NA	NA	0.75	0.47	0.39	0.37	0.37	0.34	0.26	NA	0.24	0.17	0.18	0.18
21	0.23	0.74	0.62	0.74	0.47	0.41	NA	0.36	NA	NA	0.24	NA	0.16	0.17	0.19
22	0.18	0.73	0.62	0.7	0.46	0.4	0.35	0.32	0.3	0.24	NA	0.23	0.16	NA	0.17
