Depth (m),12-15-04,11-22-04,11-10-04,10-27-04,10-15-04,10-01-04,09-15-04,09-01-04,08-18-04,08-04-04,07-21-04,07-07-04,06-23-04,06-10-04,05-27-04,05-13-04
0,10.39,10.39,9.31,9.47,9.03,9.41,8.18,7.8,7.4,10.36,9.2,8.37,8.2,8.85,8.44,10.7
1,10.35,10.35,9.29,9.67,8.5,9.34,8.5,7.8,7.16,10.35,8.98,8.4,8.34,9.38,8.43,10.6
2,10.33,10.33,9.12,9.36,8.77,9.23,8.19,7.77,6.93,10.35,8.63,8.42,8.39,9.32,8.43,10.6
3,10.22,10.22,8.5,9.36,8.4,8.96,8.23,7.59,6.45,9.54,8.9,8.35,8.15,9.41,8.32,10.2
4,10.33,10.33,8.51,9.33,8.26,6.82,8.5,2.94,3.5,4.03,7.58,7.42,7.83,8.92,8.1,9.3
5,10.38,10.38,8.36,9.34,7.74,5.57,4.64,0.5,0.71,2.01,4.68,5.63,5.42,7.81,6.77,8.1
6,10.46,10.46,8.62,9.28,5.93,4.25,2.4,0.45,0.48,0.36,1.77,3.3,4.83,5.75,6.89,8.2
7,10.21,10.21,8.66,8.83,0.37,0.65,2.15,0.44,0.62,0.5,2.07,3.23,4.95,5.15,7.4,8.7
8,10.36,10.36,8.78,4.1,0.37,0.47,1.97,0.55,1.18,1.29,2.06,3.3,4.87,4.99,7.56,8.8
9,10.37,10.37,8.13,0.29,0.39,0.45,1.92,0.49,0.61,0.28,0.85,2.44,4.31,6.83,7.58,8.8
10,10.3,10.3,2.26,0.36,0.41,0.5,1.55,0.49,0.6,0.1,0.37,1.52,3.57,6.9,6.77,8.1
11,10.18,10.18,0.17,0.37,0.43,0.39,1.34,0.48,0.6,0,0.17,1.12,2.96,4.94,6,7.1
12,10.15,10.15,0.18,0.41,0.45,0.38,1.22,0.48,0.61,0,0.06,0.54,1.2,3.22,4.45,5.8
13,0.62,0.62,0.19,0.55,0.45,0.4,1.08,0.5,0.62,0,0.03,0.38,0.36,0.8,0.68,0.8
14,0.5,0.5,0.21,0.41,0.49,0.34,1,0.51,0.63,0,0,0.54,0.26,0.26,0.45,0.6
15,0.4,0.4,0.21,0.45,0.52,0.35,0.97,0.5,0.63,0,0,0.43,0.25,0.23,0.37,0.5
16,0.36,0.36,0.21,0.45,0.61,0.38,0.98,0.51,0.64,0,0,0.32,0.23,0.24,0.33,0.5
17,0.3,0.3,0.21,0.42,0.54,0.33,0.8,0.51,0.64,0,0,0.34,0.22,0.24,0.29,0.4
18,0.29,0.29,0.24,0.47,0.54,0.4,0.76,0.51,0.65,0,0,0.52,0.21,0.24,0.27,0.4
19,0.27,0.27,0.23,0.47,0.59,0.42,0.71,0.51,0.65,0,0,0.45,0.22,0.26,0.26,0.4
20,0.26,0.26,0.29,0.52,0.59,0.37,0.67,0.52,0.65,0,0,0.4,0.19,0.24,0.26,0.3
21,0.26,0.26,0.25,0.47,0.61,0.33,0.64,0.52,0.65,0,0,0.37,0.18,0.22,0.24,0.3
22,0.26,0.25,0.23,0.35,0.78,0.35,0.5,0.49,0.63,0,0,0.34,0.19,0.22,0.24,0.3
