Depth (m),12-15-04,11-22-04,11-10-04,10-27-04,10-15-04,10-01-04,09-15-04,09-01-04,08-18-04,08-04-04,07-21-04,07-07-04,06-23-04,06-10-04,05-27-04,05-13-04
0,8.15,7.57,7.53,8.36,8.15,7.94,7.74,7.72,7.44,8.67,8,7.74,7.54,5.58,7.47,7.89
1,8.31,7.58,7.55,8.25,7.9,7.55,9.02,7.9,7.65,8.68,8.08,7.78,7.68,6.1,7.49,8.09
2,8.19,7.6,7.53,7.63,7.5,7.37,8.04,7.96,7.65,8.69,8.1,7.79,7.71,7,7.5,8.15
3,8.16,7.6,7.52,7.64,7.4,7.16,8.06,8.03,7.54,7.44,7.9,7.8,7.73,6.9,7.5,7.8
4,8.13,7.62,7.53,7.68,7.15,6.62,9.04,7.25,7.09,6.57,7.26,7.32,7.47,6.83,7.47,7.5
5,8.12,7.62,7.56,8.37,7.375,6.38,7.25,7.11,6.84,6.36,6.53,6.96,7.1,6.78,7.24,7.3
6,8.11,7.62,7.59,7.93,7.14,6.35,6.9,6.98,6.7,6.09,6.19,6.65,6.87,6.35,7.15,7.1
7,8.07,7.56,7.61,8.05,7.2,6.35,6.74,6.9,6.55,5.95,6.03,6.43,6.77,6.19,7.09,7.05
8,8.06,7.59,7.64,7.77,7.07,6.37,6.67,6.85,6.54,5.89,5.96,6.41,6.65,6.06,7.06,7
9,8.04,7.59,7.56,6.71,6.46,6.21,6.62,6.86,6.53,5.89,5.92,6.38,6.62,5.61,7.06,6.95
10,8.02,7.58,7.87,6.36,6.21,6.06,6.63,6.88,6.56,5.87,5.9,6.39,6.63,6.5,7.04,7.07
11,7.99,7.41,7.38,6.32,6.22,6.12,6.71,6.92,6.62,5.9,5.92,6.43,6.67,6.9,7.04,7
12,8,7.64,7.66,6.41,6.735,7.06,6.78,6.97,6.69,5.99,5.99,6.44,6.7,6.91,7.03,6.93
13,7.63,7.82,7.77,6.82,6.96,7.1,6.85,7.02,6.75,6.04,6.03,6.49,6.78,6.91,7.01,6.88
14,7.56,7.99,7.97,6.36,6.76,7.16,6.88,7.05,6.79,6.05,6.03,6.53,6.79,6.87,7.03,6.87
15,7.65,8.04,8.01,6.5,6.905,7.31,6.91,7.09,6.81,6.08,6.04,6.52,6.79,6.86,7.03,6.86
16,7.82,8.14,8.03,6.56,7.005,7.45,6.95,7.11,6.85,6.16,6.06,6.57,6.79,6.86,7.03,6.86
17,7.98,8.24,8.06,6.57,7.085,7.6,7.01,7.13,6.92,6.21,6.1,6.58,6.79,6.85,7.03,6.86
18,8.11,8.26,8.03,6.55,7.125,7.7,7.05,7.17,6.98,6.29,6.14,6.63,6.8,6.9,7.05,6.87
19,8.22,8.25,7.98,6.67,7.21,7.75,7.1,7.2,7.02,6.33,6.19,6.63,6.83,6.9,7.08,6.88
20,8.2,7.77,7.8,6.81,7.305,7.8,7.13,7.21,7.06,6.37,6.23,6.65,6.85,6.91,7.19,6.93
21,8.2,7.77,7.8,6.9,7.25,7.6,7.17,7.22,7.09,6.4,6.29,6.68,6.87,6.92,7.19,7
22,8.2,7.77,7.8,6.95,7.45,7.95,7.17,7.22,7.09,6.4,6.29,6.68,6.89,6.98,7.19,7
