SO4_mg_SL-1	YYMMDD_120808	YYMMDD_120829	YYMMDD_121002	YYMMDD_121009	YYMMDD_121102	YYMMDD_121112	YYMMDD_121204	YYMMDD_130114	YYMMDD_130327	YYMMDD_130510	YYMMDD_130617	YYMMDD_130717	YYMMDD_130812	YYMMDD_131004	YYMMDD_131108
00	NA	3.135	NA	4.159	4.963	5.581	5.464	3.667	6.468	6.790	NA	NA	NA	NA	NA
01	5.973	5.815	6.527	5.571	NA	5.630	NA	5.145	NA	NA	3.662	4.763	4.787	6.117	6.846
02	5.342	5.112	5.600	4.249	4.754	3.271	5.152	5.232	5.983	6.943	NA	6.013	NA	6.253	6.133
03	5.892	4.262	6.340	6.460	5.738	3.642	NA	5.826	4.918	NA	3.633	4.995	5.241	6.057	6.902
04	6.207	5.088	5.647	5.377	NA	4.255	6.168	5.550	6.475	6.733	NA	3.795	5.900	3.090	NA
05	4.165	3.361	5.233	5.117	4.856	5.752	NA	5.286	3.069	NA	4.750	4.324	4.328	6.183	6.789
06	4.139	5.053	5.221	4.909	NA	4.392	6.207	4.335	4.857	6.445	NA	5.680	6.136	6.347	NA
07	4.316	6.840	3.432	5.143	4.593	5.103	NA	NA	3.601	NA	5.290	6.156	6.022	6.124	6.662
08	7.002	5.128	5.497	3.521	4.996	5.768	6.246	5.246	4.493	5.982	NA	6.306	6.228	6.102	5.525
09	3.487	6.178	4.033	1.954	4.794	5.772	NA	NA	5.362	NA	NA	6.015	6.257	4.273	2.796
10	5.011	0.000	4.576	3.539	1.683	4.470	NA	5.520	5.930	6.449	NA	5.907	NA	6.151	5.004
11	3.576	5.195	2.197	4.032	6.019	3.979	NA	NA	6.035	NA	4.602	5.480	6.183	5.741	NA
12	3.900	3.050	2.515	2.350	3.879	3.340	6.896	3.180	4.534	NA	NA	4.893	3.053	5.982	5.566
13	1.947	2.475	4.134	2.159	NA	3.420	NA	NA	5.588	6.076	NA	NA	NA	5.350	5.446
14	NA	4.098	6.422	3.202	3.790	2.614	3.148	5.894	NA	5.477	NA	5.344	5.054	3.395	4.636
15	1.595	2.423	2.246	3.538	NA	1.912	NA	NA	5.903	4.997	4.881	NA	5.045	3.852	3.595
16	NA	1.110	2.034	1.010	1.566	2.373	1.707	1.322	3.460	4.370	NA	3.617	NA	NA	2.589
17	1.830	2.795	1.752	0.744	NA	1.564	NA	1.340	4.116	NA	3.530	NA	3.874	2.250	2.079
18	NA	NA	1.287	0.795	1.096	0.932	1.100	0.605	3.287	3.004	NA	2.495	NA	NA	1.743
19	0.648	1.517	1.066	0.491	NA	0.804	NA	0.602	3.757	NA	2.451	NA	1.724	1.391	1.309
20	NA	NA	NA	0.533	0.643	0.341	0.804	0.485	1.923	2.436	NA	1.169	2.048	1.475	1.467
21	0.642	0.525	0.834	0.342	0.248	0.957	NA	0.501	NA	NA	2.037	NA	1.549	2.435	1.461
22	0.793	0.807	0.501	0.270	0.644	0.512	NA	0.312	0.609	2.274	NA	1.363	1.471	NA	1.273
