time,temp,salt,OXY_oxy,SIL_rsi,NIT_amm,NIT_nit,PHS_frp,OGM_don,OGM_pon,OGM_dop,OGM_pop,OGM_doc,OGM_poc,PHY_green,PHY_crypto,PHY_diatom
1998-05-01 24:00:00,    3.993113,    0.760026,  223.835795,    2.509923,   12.185146,   27.798520,    0.088801,    0.887973,    2.290422,    0.000000,    4.223669,    5.367935,    6.336082,    7.994329,    0.098483,    9.756807
1998-05-02 24:00:00,    4.028058,    0.760049,  222.649667,    2.519355,   11.891982,   27.992664,    0.087793,    0.609532,    2.359083,    0.000000,    4.223346,    5.684292,    6.455768,    6.008006,    0.096320,    9.500150
1998-05-03 24:00:00,    4.355374,    0.760062,  226.287467,    2.530442,   11.607717,   28.186332,    0.086947,    0.368447,    2.429579,    0.000000,    4.222892,    6.103424,    6.578126,    4.167446,    0.097280,    9.576234
1998-05-04 24:00:00,    4.619628,    0.760077,  230.802041,    2.541464,   11.330469,   28.380942,    0.086230,    0.169613,    2.501666,    0.000000,    4.222817,    6.636714,    6.706092,    2.284016,    0.097092,    9.555160
1998-05-05 24:00:00,    4.659811,    0.760103,  235.200373,    2.553152,   11.058502,   28.576543,    0.085649,    0.022214,    2.574761,    0.000000,    4.222930,    7.292629,    6.839818,    0.425175,    0.096375,    9.444111
1998-05-06 24:00:00,    4.806720,    0.760057,  241.066752,    2.563388,   10.793612,   28.771694,    0.085147,    0.000000,    2.647816,    0.000000,    4.222853,    8.095916,    6.060451,    0.049089,    0.096117,    8.990625
1998-05-07 24:00:00,    5.094098,    0.759928,  244.325413,    2.575590,   10.532034,   28.966076,    0.084727,    0.034268,    2.729259,    0.000000,    4.223228,    9.104808,    5.118727,    0.044756,    0.101410,    8.470418
1998-05-08 24:00:00,    5.323244,    0.759857,  245.553912,    2.580433,   10.267160,   29.167501,    0.084157,    0.000000,    2.812747,    0.000000,    4.223679,   10.175305,    4.257249,    0.040102,    0.107208,    7.919900
1998-05-09 24:00:00,    5.388279,    0.759888,  247.376987,    2.589061,   10.011653,   29.360531,    0.083755,    0.061873,    2.884378,    0.000000,    4.224115,   11.320179,    3.470490,    0.040968,    0.105435,    7.335851
1998-05-10 24:00:00,    5.678287,    0.759906,  251.727109,    2.611745,    9.773271,   29.536413,    0.083709,    0.267908,    2.955939,    0.000000,    4.223823,   12.712028,    2.791196,    0.041453,    0.105525,    6.947870
1998-05-11 24:00:00,    5.837446,    0.759919,  253.003256,    2.617912,    9.523275,   29.728193,    0.083314,    0.358954,    3.027713,    0.000000,    4.223921,   14.049067,    2.196216,    0.042481,    0.106100,    6.523562
1998-05-12 24:00:00,    6.161507,    0.759929,  256.099643,    2.621828,    9.270105,   29.922604,    0.082862,    0.433264,    3.096861,    0.000000,    4.221815,   15.352625,    1.659619,    0.044816,    0.109339,    6.367847
1998-05-13 24:00:00,    6.772582,    0.760025,  268.375342,    2.625769,    9.006610,   30.121825,    0.082358,    0.497561,    3.162995,    0.000089,    4.215556,   16.621190,    1.150660,    0.036334,    0.119321,    6.506598
1998-05-14 24:00:00,    7.131807,    0.760167,  280.319195,    2.629769,    8.747179,   30.319071,    0.081886,    0.593575,    3.227977,    0.000108,    4.213228,   17.865244,    0.697974,    0.041371,    0.124069,    6.461598
1998-05-15 24:00:00,    7.585218,    0.760360,  292.121399,    2.633079,    8.472419,   30.524952,    0.081318,    0.668518,    3.285391,    0.000121,    4.205983,   19.022832,    0.225467,    0.042841,    0.129813,    6.427657
1998-05-16 24:00:00,    7.881754,    0.760359,  290.947538,    2.635961,    8.206361,   30.727699,    0.080799,    0.765342,    3.347953,    0.000165,    4.208131,   20.153205,    0.065153,    0.042185,    0.126285,    5.791351
1998-05-17 24:00:00,    8.151839,    0.760359,  289.729690,    2.638921,    7.946656,   30.928118,    0.080355,    0.880422,    3.407791,    0.000198,    4.210138,   21.236601,    0.057739,    0.041473,    0.122692,    5.122502
1998-05-18 24:00:00,    8.411444,    0.760359,  288.496183,    2.641948,    7.693559,   31.125016,    0.079977,    1.009492,    3.464497,    0.000225,    4.211984,   22.268553,    0.051687,    0.040747,    0.119137,    4.573682
1998-05-19 24:00:00,    8.676862,    0.760359,  287.266464,    2.645049,    7.445621,   31.318176,    0.079646,    1.146401,    3.517926,    0.000241,    4.213662,   23.246326,    0.045267,    0.040063,    0.115721,    4.151619
1998-05-20 24:00:00,    8.932754,    0.760359,  286.028003,    2.648223,    7.202891,   31.506986,    0.079352,    1.288055,    3.568012,    0.000251,    4.215166,   24.168559,    0.059213,    0.039380,    0.112368,    3.797925
1998-05-21 24:00:00,    9.212415,    0.760359,  284.775781,    2.651475,    6.965292,   31.691368,    0.079092,    1.432536,    3.614677,    0.000255,    4.216490,   25.034242,    0.046797,    0.038682,    0.109047,    3.535771
1998-05-22 24:00:00,    9.461573,    0.760359,  283.519949,    2.654812,    6.731503,   31.871277,    0.078848,    1.574986,    3.658133,    0.000255,    4.217642,   25.845287,    0.047954,    0.037992,    0.105811,    3.325083
1998-05-23 24:00:00,    9.631280,    0.760358,  282.314994,    2.658197,    6.502063,   32.044069,    0.078582,    1.706638,    3.699101,    0.000252,    4.218665,   26.609263,    0.057722,    0.037331,    0.102893,    3.187282
1998-05-24 24:00:00,    9.820428,    0.760358,  281.137495,    2.661669,    6.280336,   32.208415,    0.078320,    1.830062,    3.737583,    0.000247,    4.219016,   27.317747,    0.057762,    0.036632,    0.101414,    3.090320
1998-05-25 24:00:00,   10.109516,    0.760356,  280.099603,    2.665498,    6.057832,   32.371337,    0.078069,    1.947362,    3.773979,    0.000240,    4.217503,   27.971581,    0.060189,    0.036014,    0.102684,    3.004111
1998-05-26 24:00:00,   10.379999,    0.760356,  278.900351,    2.669170,    5.844147,   32.528454,    0.077862,    2.076130,    3.806951,    0.000233,    4.216588,   28.587410,    0.051664,    0.035468,    0.100423,    2.932681
1998-05-27 24:00:00,   10.693849,    0.760356,  277.713972,    2.672977,    5.633465,   32.680598,    0.077653,    2.198465,    3.837660,    0.000227,    4.215343,   29.158094,    0.059892,    0.034908,    0.098677,    2.842542
1998-05-28 24:00:00,   11.032401,    0.760356,  276.528333,    2.676911,    5.425903,   32.828029,    0.077447,    2.316141,    3.866139,    0.000220,    4.213867,   29.686899,    0.057309,    0.034368,    0.097147,    2.764815
1998-05-29 24:00:00,   11.364829,    0.760356,  275.334385,    2.680946,    5.222097,   32.970331,    0.077245,    2.430682,    3.892452,    0.000213,    4.212302,   30.175724,    0.055994,    0.033891,    0.095484,    2.707464
1998-05-30 24:00:00,   11.702049,    0.760356,  274.115004,    2.685073,    5.022751,   33.107117,    0.077049,    2.542699,    3.916586,    0.000207,    4.210663,   30.625711,    0.056038,    0.033414,    0.093524,    2.653561
1998-05-31 24:00:00,   11.935881,    0.760324,  272.945714,    2.690121,    4.822435,   33.239165,    0.076833,    2.641462,    3.948610,    0.000203,    4.208811,   31.089884,    0.054765,    0.033151,    0.096183,    2.569832
1998-06-01 24:00:00,   12.182349,    0.760351,  272.625238,    2.697876,    4.593117,   33.370938,    0.076460,    2.686592,    3.990344,    0.000206,    4.196296,   31.617102,    0.049381,    0.033165,    0.154799,    2.446871
1998-06-02 24:00:00,   12.453023,    0.754147,  271.615475,    2.808313,    4.455530,   33.426378,    0.077793,    2.746608,    4.705705,    0.000138,    4.245850,   39.127067,    1.010818,    0.070247,    0.603114,    2.788176
1998-06-03 24:00:00,   12.710171,    0.748135,  270.288709,    2.913870,    4.329061,   33.471741,    0.078992,    2.794755,    5.373982,    0.000092,    4.294746,   46.245817,    1.879749,    0.040781,    1.002759,    3.061489
1998-06-04 24:00:00,   12.971852,    0.748246,  269.069761,    2.916984,    4.141265,   33.573250,    0.078524,    2.853090,    5.353728,    0.000102,    4.285949,   46.412866,    1.651938,    0.039784,    0.970797,    2.840189
1998-06-05 24:00:00,   13.181495,    0.748352,  267.810083,    2.920282,    3.962105,   33.669809,    0.078104,    2.920994,    5.336207,    0.000118,    4.277213,   46.576002,    1.461509,    0.038854,    0.939031,    2.626319
1998-06-06 24:00:00,   13.402057,    0.748480,  266.707315,    2.923959,    3.787439,   33.760183,    0.077699,    2.990286,    5.344851,    0.000126,    4.269703,   46.738053,    1.332999,    0.041328,    0.921466,    2.518647
1998-06-07 24:00:00,   13.722875,    0.738685,  266.439527,    3.095768,    3.698769,   33.728825,    0.079567,    2.950343,    6.441066,    0.000100,    4.342017,   58.071887,    2.737696,    0.142789,    1.667063,    3.165174
1998-06-08 24:00:00,   14.054182,    0.738944,  265.532748,    3.098502,    3.513029,   33.802484,    0.078816,    2.943652,    6.400800,    0.000102,    4.325664,   57.933118,    2.448631,    0.043689,    1.631736,    2.961701
1998-06-09 24:00:00,   14.233140,    0.720893,  264.663954,    3.402166,    3.546877,   33.652904,    0.082559,    2.799769,    8.325492,    0.000107,    4.476430,   77.831047,    4.815306,    0.445469,    2.882640,    3.866715
1998-06-10 24:00:00,   14.531396,    0.721988,  263.614671,    3.391053,    3.350219,   33.719625,    0.081262,    2.681694,    8.132636,    0.000109,    4.450179,   76.363647,    4.310342,    0.030108,    2.740722,    3.433920
1998-06-11 24:00:00,   14.934632,    0.724350,  263.136719,    3.361104,    3.140176,   33.795664,    0.079768,    2.622353,    7.851608,    0.000112,    4.413726,   73.835195,    3.484870,    0.030035,    2.569834,    2.974331
1998-06-12 24:00:00,   17.192590,    0.750689,  289.491289,    2.968648,    2.021256,   33.869993,    0.066259,    2.643422,    5.308546,    0.000120,    3.942032,   48.469826,    0.372216,    0.042703,    5.272079,    3.005350
1998-06-13 24:00:00,   16.592096,    0.751136,  290.215916,    2.979253,    1.969227,   33.862539,    0.065939,    2.769818,    5.356133,    0.000115,    3.952782,   48.914922,    0.304056,    0.046192,    5.631951,    3.121870
1998-06-14 24:00:00,   16.170607,    0.751170,  292.245449,    2.991083,    1.862968,   33.830214,    0.064913,    2.854181,    5.394943,    0.000115,    3.942821,   49.525550,    0.243597,    0.032275,    6.116044,    3.265068
1998-06-15 24:00:00,   15.856564,    0.751128,  292.585637,    3.002537,    1.767072,   33.791398,    0.063868,    2.938928,    5.435524,    0.000119,    3.934082,   50.139463,    0.186399,    0.035368,    6.463858,    3.324781
1998-06-16 24:00:00,   15.984856,    0.751140,  291.265082,    3.007537,    1.680328,   33.765273,    0.062873,    3.030892,    5.456953,    0.000141,    3.934474,   50.393088,    0.121193,    0.034258,    6.181678,    3.071179
1998-06-17 24:00:00,   15.969855,    0.750069,  293.471111,    3.015765,    1.582517,   33.692986,    0.061459,    3.088470,    5.448288,    0.000109,    3.909515,   50.562243,    0.050537,    0.041015,    7.574113,    3.560137
1998-06-18 24:00:00,   15.936508,    0.750210,  294.222502,    3.022640,    1.501679,   33.632486,    0.060238,    3.159647,    5.458848,    0.000108,    3.898236,   50.777977,    0.060395,    0.046044,    8.211346,    3.667122
1998-06-19 24:00:00,   16.174895,    0.749835,  292.527012,    3.035276,    1.448428,   33.586239,    0.059436,    3.242599,    5.536384,    0.000111,    3.907088,   51.484436,    0.115213,    0.032283,    7.822940,    3.454790
1998-06-20 24:00:00,   16.407295,    0.749759,  290.604002,    3.040666,    1.399984,   33.556823,    0.058736,    3.337891,    5.564186,    0.000122,    3.913125,   51.667539,    0.111521,    0.031999,    7.395690,    3.255675
1998-06-21 24:00:00,   16.661028,    0.749723,  289.066063,    3.046287,    1.346025,   33.524355,    0.057962,    3.428654,    5.586950,    0.000131,    3.915425,   51.836820,    0.100148,    0.031357,    7.045075,    3.096125
1998-06-22 24:00:00,   16.899357,    0.749707,  287.692962,    3.052094,    1.291660,   33.489595,    0.057187,    3.518584,    5.606594,    0.000138,    3.915885,   51.989416,    0.090236,    0.030538,    6.730670,    2.954499
1998-06-23 24:00:00,   17.121082,    0.748895,  286.141487,    3.073728,    1.259327,   33.444261,    0.056801,    3.605652,    5.728368,    0.000130,    3.926307,   53.179464,    0.235583,    0.039306,    6.494583,    2.893788
1998-06-24 24:00:00,   17.304556,    0.745651,  284.208605,    3.134868,    1.273309,   33.371394,    0.057227,    3.656493,    6.107111,    0.000122,    3.961670,   56.911883,    0.759748,    0.031259,    6.421150,    2.997238
1998-06-25 24:00:00,   17.421472,    0.742549,  282.246432,    3.193850,    1.282929,   33.297656,    0.057589,    3.674761,    6.460795,    0.000124,    3.994666,   60.369283,    1.185920,    0.040157,    6.350450,    3.022350
