time,Volume,Vol Snow,Vol Black Ice,Vol White Ice,Tot Inflow Vol,Tot Outflow Vol,Overflow Vol,Evaporation,Rain,Snowfall,Lake Level,Surface Area,Black Ice,Snow Height,Snow Density,White Ice,Albedo,Max Temp,Min Temp,Surface Temp,Daily Qsw,Daily Qe,Daily Qh,Daily Qlw,Light,Benthic Light,H_s,L,T,LakeNumber,Max dT/dz,CD
1997-01-02 24:00:00,3872996398.696820,    0.000000,    0.000000,    0.000000,1005301.922662,708903.225838,    0.000000,    0.000000,    0.000000,    0.000000,   41.001846,162003137.442818,    0.000000,    0.000000,    0.000000,    0.000000,    0.099997,   17.653882,   17.284429,   17.653882,    0.000000,    0.000000,    0.000000,-5604345058979404.000000,    0.000000,  100.000000,    0.000000,    0.000000,    0.000000,         nan,    0.260118,-9999.000000
1997-01-03 24:00:00,3873236255.037921,    0.000000,    0.000000,    0.000000,1038193.432860,708903.225839,    0.000000,-90233.788729,    0.000000,    0.000000,   41.003340,162005676.372856,    0.000000,    0.000000,    0.000000,    0.000000,    0.099988,   17.707361,   17.050341,   17.707361,1770772094938776.000000,-221343483752947.468750,-61355442058605.804688,-1884330541844463.000000,   30.712438,  100.000000,    0.036623,    0.986095,    0.794721,         nan,    0.590063,-9999.000000
1997-01-04 24:00:00,3873454434.412220,    0.000000,    0.000000,    0.000000,1037856.876513,708903.225838,    0.000000,-111766.748268,    0.000000,    0.000000,   41.004699,162007985.847621,    0.000000,    0.000000,    0.000000,    0.000000,    0.099973,   17.668428,   16.888451,   17.668428,1827526271468381.750000,-274163833500651.312500,-76650958550430.609375,-1941441545287019.750000,    0.000000,  100.000000,    0.075420,    1.940788,    1.114922,         nan,    0.605508,-9999.000000
1997-01-05 24:00:00,3873596490.904142,    0.000000,    0.000000,    0.000000,1000467.645466,708903.225838,    0.000000,-150849.397938,    0.000000,    0.000000,   41.005583,162009489.545597,    0.000000,    0.000000,    0.000000,    0.000000,    0.099953,   17.569827,   16.728175,   17.569827,1674584485932300.250000,-370033573140840.000000,-85527908909996.953125,-1922116534285808.000000,    0.000000,  100.000000,    0.033735,    0.913832,    0.765048,         nan,    0.558112,-9999.000000
1997-01-06 24:00:00,3873775882.812911,    0.000000,    0.000000,    0.000000,992156.371115,708903.225838,    0.000000,-104794.262959,    0.000000,    0.000000,   41.006701,162011388.446846,    0.000000,    0.000000,    0.000000,    0.000000,    0.099926,   17.553371,   16.391867,   17.553371,1564532868818487.500000,-257060327038844.968750,-47146757239330.609375,-1832883136602019.500000,    0.000000,  100.000000,    0.010958,    0.322919,    0.454781,         nan,    0.257818,-9999.000000
1997-01-07 24:00:00,3873964128.801390,    0.000000,    0.000000,    0.000000,979845.153765,708903.225839,    0.000000,-83439.861540,    0.000000,    0.000000,   41.007873,162013381.070400,    0.000000,    0.000000,    0.000000,    0.000000,    0.099893,   17.449989,   16.548243,   17.449989,793813214162431.625000,-204677980357879.718750,-5941534434665.691406,-1666209211723762.500000,    0.000000,  100.000000,    0.062004,    1.612567,    1.016282,         nan,    0.536942,-9999.000000
1997-01-08 24:00:00,3874104855.139396,    0.000000,    0.000000,    0.000000,980187.821967,708903.225838,    0.000000,-135784.486105, 4050.316997,    0.000000,   41.008749,162014870.688415,    0.000000,    0.000000,    0.000000,    0.000000,    0.099855,   17.437113,   16.328880,   17.437113,1628994475259451.250000,-333079344416375.625000,-26536111716043.246094,-1758155756410090.000000,    0.000000,  100.000000,    0.021487,    0.602558,    0.621233,         nan,    0.529557,-9999.000000
1997-01-09 24:00:00,3874249321.755342,    0.000000,    0.000000,    0.000000,982967.582515,708903.225839,    0.000000,-130766.205417,    0.000000,    0.000000,   41.009649,162016399.898062,    0.000000,    0.000000,    0.000000,    0.000000,    0.099811,   17.406043,   16.215225,   17.406043,1554124456011392.000000,-320769501886885.500000,-24092601492445.234375,-1751940500035670.500000,    0.000000,  100.000000,    0.071753,    1.851186,    1.088881,         nan,    0.288180,-9999.000000
1997-01-10 24:00:00,3874448360.175118,    0.000000,    0.000000,    0.000000,984412.182813,708903.225838,    0.000000,-77160.856987,    0.000000,    0.000000,   41.010889,162018506.761780,    0.000000,    0.000000,    0.000000,    0.000000,    0.099760,   17.479228,   16.169961,   17.479228,1826696614803351.250000,-189275582188281.375000,-24461328946038.515625,-1737319479311123.500000,    0.000000,  100.000000,    0.078577,    2.017896,    1.136854,         nan,    0.285078,-9999.000000
1997-01-11 24:00:00,3874370358.990255,    0.000000,    0.000000,    0.000000,987523.144564,708903.225838,    0.000000,-359842.003485,    0.000000,    0.000000,   41.010403,162017681.102762,    0.000000,    0.000000,    0.000000,    0.000000,    0.099704,   17.364529,   16.139918,   17.364529,1830741350437885.000000,-882692434549064.625000,233866083444384.937500,-1451514974824058.750000,    0.000000,  100.000000,    0.023793,    0.661974,    0.651142,         nan,    0.279441,-9999.000000
