# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-06-30 20:25:11 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 423401071093801 MA-XMW   78 WILMINGTON, MA
# -----------------------------------------------------------------------------------
#
# Data provided for site 423401071093801
#    DD parameter statistic   Description
#    01   72019     00003     Depth to water level, feet below land surface (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	01_72019_00003	01_72019_00003_cd
5s	15s	20d	14n	10s
USGS	423401071093801	1984-10-15	9.68	A
USGS	423401071093801	1984-10-16	9.69	A
USGS	423401071093801	1984-10-17	9.70	A
USGS	423401071093801	1984-10-18	9.71	A
USGS	423401071093801	1984-10-19	9.71	A
USGS	423401071093801	1984-10-20	9.72	A
USGS	423401071093801	1984-10-21	9.73	A
USGS	423401071093801	1984-10-22	9.74	A
USGS	423401071093801	1984-10-23	9.63	A
USGS	423401071093801	1984-10-24	9.62	A
USGS	423401071093801	1984-10-25	9.63	A
USGS	423401071093801	1984-10-26	9.64	A
USGS	423401071093801	1984-10-27	9.64	A
USGS	423401071093801	1984-10-28	9.63	A
USGS	423401071093801	1984-10-29	9.63	A
USGS	423401071093801	1984-10-30	9.62	A
USGS	423401071093801	1984-10-31	9.61	A
USGS	423401071093801	1984-11-01	9.61	A
USGS	423401071093801	1984-11-02	9.61	A
USGS	423401071093801	1984-11-03	9.61	A
USGS	423401071093801	1984-11-04	9.61	A
USGS	423401071093801	1984-11-05	9.60	A
USGS	423401071093801	1984-11-06	9.57	A
USGS	423401071093801	1984-11-07	9.56	A
USGS	423401071093801	1984-11-08	9.55	A
USGS	423401071093801	1984-11-09	9.55	A
USGS	423401071093801	1984-11-10	9.55	A
USGS	423401071093801	1984-11-11	9.52	A
USGS	423401071093801	1984-11-12	9.33	A
USGS	423401071093801	1984-11-13	9.27	A
USGS	423401071093801	1984-11-14	9.24	A
USGS	423401071093801	1984-11-15	9.20	A
USGS	423401071093801	1984-11-16	9.16	A
USGS	423401071093801	1984-11-17	9.13	A
USGS	423401071093801	1984-11-18	9.11	A
USGS	423401071093801	1984-11-19	9.09	A
USGS	423401071093801	1984-11-20	9.08	A
USGS	423401071093801	1984-11-21	9.07	A
USGS	423401071093801	1984-11-22	9.07	A
USGS	423401071093801	1984-11-23	9.06	A
USGS	423401071093801	1984-11-24	9.07	A
USGS	423401071093801	1984-11-25	9.08	A
USGS	423401071093801	1984-11-26	9.09	A
USGS	423401071093801	1984-11-27	9.12	A
USGS	423401071093801	1984-11-28	9.14	A
USGS	423401071093801	1984-11-29	9.15	A
USGS	423401071093801	1984-11-30	9.15	A
USGS	423401071093801	1984-12-01	9.16	A
USGS	423401071093801	1984-12-02	9.18	A
USGS	423401071093801	1984-12-03	9.19	A
USGS	423401071093801	1984-12-04	9.17	A
USGS	423401071093801	1984-12-05	9.15	A
USGS	423401071093801	1984-12-06	9.08	A
USGS	423401071093801	1984-12-07	9.02	A
USGS	423401071093801	1984-12-08	8.99	A
USGS	423401071093801	1984-12-09	8.96	A
USGS	423401071093801	1984-12-10	8.94	A
USGS	423401071093801	1984-12-11	8.91	A
USGS	423401071093801	1984-12-12	8.89	A
USGS	423401071093801	1984-12-13	8.86	A
USGS	423401071093801	1984-12-14	8.84	A
USGS	423401071093801	1984-12-15	8.82	A
USGS	423401071093801	1984-12-16	8.80	A
USGS	423401071093801	1984-12-17	8.77	A
USGS	423401071093801	1984-12-18	8.75	A
USGS	423401071093801	1984-12-19	8.74	A
USGS	423401071093801	1984-12-20	8.72	A
USGS	423401071093801	1984-12-21	8.71	A
USGS	423401071093801	1984-12-22	8.67	A
USGS	423401071093801	1984-12-23	8.62	A
USGS	423401071093801	1984-12-24	8.58	A
USGS	423401071093801	1984-12-25	8.54	A
USGS	423401071093801	1984-12-26	8.52	A
USGS	423401071093801	1984-12-27	8.49	A
USGS	423401071093801	1984-12-28	8.45	A
USGS	423401071093801	1984-12-29	8.43	A
USGS	423401071093801	1984-12-30	8.42	A
USGS	423401071093801	1984-12-31	8.41	A
USGS	423401071093801	1985-01-01	8.40	A
USGS	423401071093801	1985-01-02	8.39	A
USGS	423401071093801	1985-01-03	8.38	A
USGS	423401071093801	1985-01-04	8.36	A
USGS	423401071093801	1985-01-05	8.35	A
USGS	423401071093801	1985-01-06	8.35	A
USGS	423401071093801	1985-01-07	8.34	A
USGS	423401071093801	1985-01-08	8.34	A
USGS	423401071093801	1985-01-09	8.36	A
USGS	423401071093801	1985-01-10	8.38	A
USGS	423401071093801	1985-01-11	8.39	A
USGS	423401071093801	1985-01-12	8.40	A
USGS	423401071093801	1985-01-13	8.42	A
USGS	423401071093801	1985-01-14	8.44	A
USGS	423401071093801	1985-01-15	8.47	A
USGS	423401071093801	1985-01-16	8.51	A
USGS	423401071093801	1985-01-17	8.53	A
USGS	423401071093801	1985-01-18	8.56	A
USGS	423401071093801	1985-01-19	8.58	A
USGS	423401071093801	1985-01-20	8.60	A
USGS	423401071093801	1985-01-21	8.63	A
USGS	423401071093801	1985-01-22	8.65	A
USGS	423401071093801	1985-01-23	8.67	A
USGS	423401071093801	1985-01-24	8.70	A
USGS	423401071093801	1985-01-25	8.72	A
USGS	423401071093801	1985-01-26	8.74	A
USGS	423401071093801	1985-01-27	8.77	A
USGS	423401071093801	1985-01-28	8.79	A
USGS	423401071093801	1985-01-29	8.81	A
USGS	423401071093801	1985-01-30	8.83	A
USGS	423401071093801	1985-01-31	8.85	A
USGS	423401071093801	1985-02-01	8.86	A
USGS	423401071093801	1985-02-02	8.88	A
USGS	423401071093801	1985-02-03	8.90	A
USGS	423401071093801	1985-02-04	8.92	A
USGS	423401071093801	1985-02-05	8.93	A
USGS	423401071093801	1985-02-06	8.94	A
USGS	423401071093801	1985-02-07	8.95	A
USGS	423401071093801	1985-02-08	8.97	A
USGS	423401071093801	1985-02-09	8.98	A
USGS	423401071093801	1985-02-10	9.00	A
USGS	423401071093801	1985-02-11	9.01	A
USGS	423401071093801	1985-02-12	8.99	A
USGS	423401071093801	1985-02-13	8.42	A
USGS	423401071093801	1985-02-14	8.63	A
USGS	423401071093801	1985-02-15	8.64	A
USGS	423401071093801	1985-02-16	8.64	A
USGS	423401071093801	1985-02-17	8.64	A
USGS	423401071093801	1985-02-18	8.64	A
USGS	423401071093801	1985-02-19	8.64	A
USGS	423401071093801	1985-02-20	8.64	A
USGS	423401071093801	1985-02-21	8.65	A
USGS	423401071093801	1985-02-22	8.65	A
USGS	423401071093801	1985-02-23	8.65	A
USGS	423401071093801	1985-02-24	8.65	A
USGS	423401071093801	1985-02-25	8.65	A
USGS	423401071093801	1985-02-26	8.66	A
USGS	423401071093801	1985-02-27	8.64	A
USGS	423401071093801	1985-02-28	8.65	A
USGS	423401071093801	1985-03-01	8.63	A
USGS	423401071093801	1985-03-02	8.62	A
USGS	423401071093801	1985-03-03	8.63	A
USGS	423401071093801	1985-03-04	8.64	A
USGS	423401071093801	1985-03-05	8.62	A
USGS	423401071093801	1985-03-06	8.62	A
USGS	423401071093801	1985-03-07	8.60	A
USGS	423401071093801	1985-03-08	8.57	A
