Is this a test run?  False
Is this a full build?  True
5198 metadata files located
No previous metadata detected. Downloading metadata
Downloading began at  Fri May  6 13:35:37 2016
2016-05-06 13:35:37 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2004/363/OMI-Aura_L2-OMMYDCLD_2004m1228t1535-o02423_v003-2014m1212t032015.he5.xml [2528] -> "OMI-Aura_L2-OMMYDCLD_2004m1228t1535-o02423_v003-2014m1212t032015.he5.xml" [1]
2016-05-06 13:35:37 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2007/059/OMI-Aura_L2-OMMYDCLD_2007m0228t1633-o13957_v003-2015m0101t155446.he5.xml [2527] -> "OMI-Aura_L2-OMMYDCLD_2007m0228t1633-o13957_v003-2015m0101t155446.he5.xml" [1]
2016-05-06 13:35:37 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2010/168/OMI-Aura_L2-OMMYDCLD_2010m0617t1653-o31505_v003-2015m0130t084848.he5.xml [2527] -> "OMI-Aura_L2-OMMYDCLD_2010m0617t1653-o31505_v003-2015m0130t084848.he5.xml" [1]
2016-05-06 13:35:38 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2011/137/OMI-Aura_L2-OMMYDCLD_2011m0517t1703-o36369_v003-2015m0207t083251.he5.xml [2528] -> "OMI-Aura_L2-OMMYDCLD_2011m0517t1703-o36369_v003-2015m0207t083251.he5.xml" [1]
2016-05-06 13:35:38 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2013/297/OMI-Aura_L2-OMMYDCLD_2013m1024t1635-o49344_v003-2015m0226t192120.he5.xml [2528] -> "OMI-Aura_L2-OMMYDCLD_2013m1024t1635-o49344_v003-2015m0226t192120.he5.xml" [1]
2016-05-06 13:35:38 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2007/202/OMI-Aura_L2-OMMYDCLD_2007m0721t1557-o16039_v003-2015m0106t080236.he5.xml [2527] -> "OMI-Aura_L2-OMMYDCLD_2007m0721t1557-o16039_v003-2015m0106t080236.he5.xml" [1]
2016-05-06 13:35:38 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2005/305/OMI-Aura_L2-OMMYDCLD_2005m1101t1651-o06909_v003-2014m1218t181619.he5.xml [2528] -> "OMI-Aura_L2-OMMYDCLD_2005m1101t1651-o06909_v003-2014m1218t181619.he5.xml" [1]
2016-05-06 13:35:38 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2011/186/OMI-Aura_L2-OMMYDCLD_2011m0705t1747-o37083_v003-2015m0208t105658.he5.xml [2528] -> "OMI-Aura_L2-OMMYDCLD_2011m0705t1747-o37083_v003-2015m0208t105658.he5.xml" [1]
2016-05-06 13:35:38 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2007/313/OMI-Aura_L2-OMMYDCLD_2007m1109t1641-o17656_v003-2015m0109t113306.he5.xml [2526] -> "OMI-Aura_L2-OMMYDCLD_2007m1109t1641-o17656_v003-2015m0109t113306.he5.xml" [1]
2016-05-06 13:35:38 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2007/322/OMI-Aura_L2-OMMYDCLD_2007m1118t1634-o17787_v003-2015m0109t135929.he5.xml [2528] -> "OMI-Aura_L2-OMMYDCLD_2007m1118t1634-o17787_v003-2015m0109t135929.he5.xml" [1]
2016-05-06 13:35:38 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003/2008/315/OMI-Aura_L2-OMMYDCLD_2008m1110t1553-o23000_v003-2015m0116t202553.he5.xml [2528] -> "OMI-Aura_L2-OMMYDCLD_2008m1110t1553-o23000_v003-2015m0116t202553.he5.xml" [1]
2016-05-06 13:35:38 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2006/062/OMI-Aura_L2-OMMYDCLD_2006m0303t1552-o08685_v003-2014m1221t115124.he5.xml [2528] -> "OMI-Aura_L2-OMMYDCLD_2006m0303t1552-o08685_v003-2014m1221t115124.he5.xml" [1]
2016-05-06 13:35:38 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2004/344/OMI-Aura_L2-OMMYDCLD_2004m1209t1643-o02147_v003-2014m1211t203724.he5.xml [2528] -> "OMI-Aura_L2-OMMYDCLD_2004m1209t1643-o02147_v003-2014m1211t203724.he5.xml" [1]
2016-05-06 13:35:38 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2009/324/OMI-Aura_L2-OMMYDCLD_2009m1120t1558-o28461_v003-2015m0125t204317.he5.xml [2528] -> "OMI-Aura_L2-OMMYDCLD_2009m1120t1558-o28461_v003-2015m0125t204317.he5.xml" [1]
2016-05-06 13:35:38 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2013/255/OMI-Aura_L2-OMMYDCLD_2013m0912t1742-o48733_v003-2015m0224t115445.he5.xml [2528] -> "OMI-Aura_L2-OMMYDCLD_2013m0912t1742-o48733_v003-2015m0224t115445.he5.xml" [1]
2016-05-06 13:35:38 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2010/200/OMI-Aura_L2-OMMYDCLD_2010m0719t1652-o31971_v003-2015m0130t200036.he5.xml [2527] -> "OMI-Aura_L2-OMMYDCLD_2010m0719t1652-o31971_v003-2015m0130t200036.he5.xml" [1]
2016-05-06 13:35:38 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003/2008/009/OMI-Aura_L2-OMMYDCLD_2008m0109t1746-o18545_v003-2015m0110t112544.he5.xml [2527] -> "OMI-Aura_L2-OMMYDCLD_2008m0109t1746-o18545_v003-2015m0110t112544.he5.xml" [1]
2016-05-06 13:35:38 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2012/223/OMI-Aura_L2-OMMYDCLD_2012m0810t1733-o42937_v003-2015m0217t065449.he5.xml [2528] -> "OMI-Aura_L2-OMMYDCLD_2012m0810t1733-o42937_v003-2015m0217t065449.he5.xml" [1]
2016-05-06 13:35:38 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003/2008/132/OMI-Aura_L2-OMMYDCLD_2008m0511t1555-o20335_v003-2015m0113t055551.he5.xml [2528] -> "OMI-Aura_L2-OMMYDCLD_2008m0511t1555-o20335_v003-2015m0113t055551.he5.xml" [1]
2016-05-06 13:35:38 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2012/202/OMI-Aura_L2-OMMYDCLD_2012m0720t1716-o42631_v003-2015m0217t013410.he5.xml [2528] -> "OMI-Aura_L2-OMMYDCLD_2012m0720t1716-o42631_v003-2015m0217t013410.he5.xml" [1]
2016-05-06 13:35:38 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2012/047/OMI-Aura_L2-OMMYDCLD_2012m0216t1546-o40373_v003-2015m0213t153847.he5.xml [2525] -> "OMI-Aura_L2-OMMYDCLD_2012m0216t1546-o40373_v003-2015m0213t153847.he5.xml" [1]
2016-05-06 13:35:39 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2013/351/OMI-Aura_L2-OMMYDCLD_2013m1217t1734-o50131_v003-2015m0228t115419.he5.xml [2528] -> "OMI-Aura_L2-OMMYDCLD_2013m1217t1734-o50131_v003-2015m0228t115419.he5.xml" [1]
2016-05-06 13:35:39 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2006/177/OMI-Aura_L2-OMMYDCLD_2006m0626t1634-o10360_v003-2014m1224t041820.he5.xml [2528] -> "OMI-Aura_L2-OMMYDCLD_2006m0626t1634-o10360_v003-2014m1224t041820.he5.xml" [1]
2016-05-06 13:35:39 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2010/064/OMI-Aura_L2-OMMYDCLD_2010m0305t1556-o29990_v003-2015m0128t051853.he5.xml [2528] -> "OMI-Aura_L2-OMMYDCLD_2010m0305t1556-o29990_v003-2015m0128t051853.he5.xml" [1]
2016-05-06 13:35:39 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003/2009/004/OMI-Aura_L2-OMMYDCLD_2009m0104t1737-o23802_v003-2015m0117t172421.he5.xml [2527] -> "OMI-Aura_L2-OMMYDCLD_2009m0104t1737-o23802_v003-2015m0117t172421.he5.xml" [1]
