NO3_mg_NL-1	YYMMDD_120808	YYMMDD_120829	YYMMDD_121002	YYMMDD_121009	YYMMDD_121102	YYMMDD_121112	YYMMDD_121204	YYMMDD_130114	YYMMDD_130327	YYMMDD_130510	YYMMDD_130617	YYMMDD_130717	YYMMDD_130812	YYMMDD_131004	YYMMDD_131108
00	NA	0.231	NA	0.327	0.536	0.699	0.642	0.555	1.125	1.114	NA	NA	NA	NA	NA
01	0.412	0.530	0.575	0.518	NA	0.711	NA	0.788	NA	NA	0.610	0.274	0.601	0.540	0.698
02	0.340	0.404	0.408	0.460	0.492	0.460	0.553	0.791	1.047	1.145	NA	1.050	NA	0.557	0.595
03	0.486	0.324	0.522	0.898	0.703	0.496	NA	0.869	0.921	NA	0.570	0.640	0.617	0.505	0.697
04	0.548	0.383	0.447	0.512	NA	0.478	0.741	0.845	1.212	1.119	NA	0.620	1.509	0.285	NA
05	0.335	0.262	0.434	0.426	0.537	0.758	NA	0.822	0.439	NA	0.765	0.681	0.510	0.560	0.662
06	0.317	0.457	0.417	0.478	NA	0.476	0.746	0.524	0.801	1.088	NA	0.894	1.055	0.626	NA
07	0.412	1.036	0.273	0.487	0.504	0.642	NA	NA	0.499	NA	0.870	1.004	1.325	0.917	0.683
08	1.190	0.613	0.662	0.293	0.568	0.707	0.754	0.871	0.721	1.017	NA	1.057	1.416	1.355	0.521
09	0.403	1.244	0.504	0.226	0.479	0.699	NA	NA	1.013	NA	NA	1.004	1.448	0.963	0.306
10	0.634	0.458	0.585	0.400	0.158	0.553	NA	0.879	1.033	1.065	NA	1.030	NA	1.439	0.657
11	0.464	0.691	0.200	0.482	0.611	0.503	NA	NA	1.008	NA	0.588	0.979	1.031	1.340	NA
12	0.440	0.241	0.132	0.231	0.142	0.260	0.877	0.431	0.767	NA	NA	0.842	0.690	1.060	0.708
13	0.000	0.000	0.000	0.079	NA	0.000	NA	NA	0.936	0.946	NA	NA	NA	0.440	0.601
14	NA	0.000	0.320	0.113	0.000	0.000	0.056	0.925	NA	0.673	NA	0.429	0.388	0.099	0.050
15	0.000	0.000	0.000	0.000	NA	0.000	NA	NA	0.916	0.474	0.233	NA	0.197	0.054	0.053
16	NA	0.000	0.000	0.000	0.000	0.046	0.047	0.054	0.472	0.132	NA	0.054	NA	NA	0.055
17	0.000	0.081	0.000	0.000	NA	0.000	NA	0.063	0.545	NA	0.047	NA	0.047	0.052	0.048
18	NA	NA	0.000	0.000	0.038	0.000	0.047	0.054	0.356	0.056	NA	0.054	NA	NA	0.053
19	0.000	0.000	0.000	0.000	NA	0.000	NA	0.054	0.293	NA	0.055	NA	0.005	0.000	0.055
20	NA	NA	NA	0.000	0.000	0.000	0.054	0.054	0.055	0.054	NA	0.047	0.056	0.051	0.049
21	0.000	0.000	0.000	0.000	0.028	0.000	NA	0.049	NA	NA	0.051	NA	0.050	0.060	0.047
22	0.000	0.000	0.000	0.000	0.000	0.000	NA	0.049	0.054	0.051	NA	0.055	0.053	NA	0.055
