SPC	YYMMDD_120808	YYMMDD_120829	YYMMDD_121002	YYMMDD_121009	YYMMDD_121102	YYMMDD_121112	YYMMDD_121204	YYMMDD_130114	YYMMDD_130327	YYMMDD_130510	YYMMDD_130617	YYMMDD_130717	YYMMDD_130812	YYMMDD_131004	YYMMDD_131112
00	0.6271	0.593	NA	0.627	0.546	NA	0.733	0.717	1.104	0.991	NA	NA	NA	NA	NA
01	0.6262	0.592	0.627	0.67	NA	NA	NA	0.716	NA	NA	0.545	0.689	0.664	0.714	0.823
02	0.6257	0.593	0.627	0.67	0.546	NA	0.732	0.717	NA	0.997	NA	0.673	0.664	0.714	0.823
03	0.6201	0.5914	0.626	0.67	0.546	NA	NA	0.716	NA	NA	0.544	0.724	0.665	0.716	0.824
04	0.6438	0.584	0.626	0.67	NA	NA	0.732	0.718	NA	1.01	NA	0.591	0.653	0.717	NA
05	0.7616	0.7147	0.626	0.627	0.546	NA	NA	0.718	NA	NA	0.669	0.673	0.706	0.717	0.824
06	0.8692	0.8516	0.634	0.629	NA	NA	0.732	0.722	NA	1.067	NA	0.909	0.961	0.755	NA
07	0.9057	0.9251	0.75	0.735	0.546	NA	NA	NA	NA	NA	1.055	1.051	1.059	1.039	0.824
08	0.9134	0.944	0.945	0.946	0.687	NA	0.732	0.726	NA	1.098	NA	1.1	1.095	1.097	0.831
09	0.9276	0.9705	0.965	0.964	0.867	NA	NA	NA	NA	NA	1.103	1.111	1.107	1.115	0.857
10	0.9627	1.01	0.978	0.99	1.001	0.744	0.731	0.735	NA	1.116	NA	1.121	1.124	1.123	1.121
11	1.037	1.054	1.021	1.02	1.032	0.848	NA	NA	NA	NA	1.133	1.131	1.14	1.136	1.142
12	1.127	1.137	1.112	1.083	1.14	1.078	0.795	0.742	NA	1.161	NA	1.156	1.158	1.166	1.176
13	1.251	1.27	1.223	1.206	NA	1.26	NA	NA	NA	1.189	1.22	NA	1.199	1.232	1.198
14	1.335	1.38	1.347	1.325	1.334	1.282	1.365	0.8	NA	1.29	NA	1.253	1.204	1.284	1.281
15	1.442	1.472	1.436	1.454	NA	1.411	NA	NA	NA	1.3	1.322	NA	1.344	1.362	1.363
16	1.475	1.553	1.53	1.5	1.56	1.464	1.5	1.57	NA	1.408	NA	1.448	NA	1.424	1.444
17	1.517	1.587	1.58	1.59	NA	1.54	NA	1.6	NA	NA	1.434	NA	1.51	1.52	1.5
18	1.534	NA	1.6	1.61	1.62	1.61	1.6	1.62	NA	1.51	NA	1.53	NA	NA	1.55
19	1.549	1.62	1.62	1.62	NA	1.61	NA	1.62	NA	NA	1.54	NA	1.55	1.54	1.54
20	1.561	NA	NA	1.63	1.63	1.63	1.63	1.64	NA	1.54	NA	1.54	1.55	1.55	1.54
21	1.567	1.628	1.63	1.63	1.63	1.64	NA	1.65	NA	NA	1.55	NA	1.56	1.56	1.56
22	1.572	1.691	1.63	1.64	1.64	1.64	1.64	1.66	NA	1.56	NA	1.56	1.58	NA	1.57
