TEMP	YYMMDD_120808	YYMMDD_120829	YYMMDD_121002	YYMMDD_121009	YYMMDD_121102	YYMMDD_121112	YYMMDD_121204	YYMMDD_130114	YYMMDD_130327	YYMMDD_130510	YYMMDD_130617	YYMMDD_130717	YYMMDD_130812	YYMMDD_131004	YYMMDD_131112
00	27.83	25.85	NA	17.14	13.7	NA	5.93	3.2	4.95	20.4	NA	NA	NA	NA	NA
01	27.48	25.67	18.8	17.14	NA	NA	NA	3.15	NA	NA	21.1	28.17	23.92	19.7	9.65
02	27.09	25.38	17.87	17.13	13.67	NA	5.79	3.13	5.01	18.74	NA	25.6	23.88	19.16	9.68
03	24.89	25.16	17.72	17.11	13.56	NA	NA	3.12	4.79	NA	17.6	23.6	23.59	18.94	9.68
04	20.65	24.5	17.68	17.1	NA	NA	5.73	3.02	4.6	14.1	NA	17.62	22.87	18.73	NA
05	15.02	19.18	17.65	17.09	13.55	NA	NA	3.08	4.61	NA	15.94	16.28	17.75	18.42	9.67
06	11.56	14.02	17.21	16.95	NA	NA	5.7	3	4.58	9.47	NA	13.78	13.23	17.54	NA
07	9.41	10.83	15.61	15.23	13.45	NA	NA	NA	4.47	NA	10.52	11.15	10.72	13.76	9.67
08	8.85	9.23	10.28	11.15	13.12	NA	5.68	2.93	4.48	7.08	NA	8.53	9.22	9.56	9.67
09	7.7	7.75	9.53	8.7	10.94	NA	NA	NA	4.27	NA	7.32	7.29	7.95	8.14	9.62
10	6.64	6.79	7.7	7.55	7.96	8.23	5.68	2.93	4.14	6.3	NA	6.61	6.56	7.31	7.87
11	5.76	6.15	6.63	6.71	6.82	7.74	NA	NA	4.05	NA	5.9	6.14	6.11	6.63	6.8
12	5.15	5.6	5.79	6.02	5.84	6.35	5.4	3.03	4.04	5.56	NA	5.75	5.82	6.09	6.14
13	4.59	4.97	5.28	5.36	NA	5.41	NA	NA	4	5.2	4.95	NA	5.59	5.5	5.84
14	4.33	4.61	4.83	4.85	5.05	5.01	5.02	3.18	3.88	4.56	NA	5.03	5.18	5.16	5.27
15	4.1	4.39	4.61	4.6	NA	4.8	NA	NA	3.8	4.48	4.65	NA	4.88	4.93	4.96
16	4.03	4.26	4.37	4.42	4.44	4.65	4.63	4.55	3.72	4.17	NA	4.45	NA	4.76	4.81
17	3.98	4.16	4.28	4.27	NA	4.47	NA	4.45	3.65	NA	4.33	NA	4.42	4.56	4.67
18	3.95	NA	4.24	4.25	4.31	4.36	4.42	4.43	3.72	4.1	NA	4.32	NA	NA	4.61
19	3.93	4.13	4.24	4.26	NA	4.33	NA	4.43	3.76	NA	4.23	NA	4.38	4.51	4.6
20	3.95	NA	NA	4.26	4.32	4.32	4.38	4.43	4.08	4.12	NA	4.3	4.38	4.5	4.6
21	3.96	4.2	4.25	4.27	4.32	4.33	NA	4.44	NA	NA	4.23	NA	4.39	4.5	4.58
22	3.96	4.24	4.27	4.29	4.32	4.35	4.38	4.46	4.36	4.15	NA	4.3	4.4	NA	4.58
