,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
2012-01-02,27.7869031529,27.7995795273,27.7982921747,27.797664141,27.7996941543,27.8032390623,27.8029183281,27.8028126943,27.8028958822,27.8025151069,27.8014869366,27.7995471858,27.7987554936,27.7987931175,27.8007331226,27.7997778014,27.7990439369,27.7995284958,27.7975863038,27.7934603299,27.7736327953,27.7565451492,27.7055571136
2012-01-03,22.4300991925,27.9830957686,27.9935722077,27.9921092827,27.9963048162,28.0034736652,28.0028332081,28.0026193574,28.0027841324,28.0020115214,27.9999152435,27.9959858512,27.9943704264,27.9944620908,27.9983729743,27.9964471434,27.9949672022,27.9959281863,27.9919799543,27.9822987859,27.9426802504,27.905416008,27.8116210035
2012-01-04,21.467092071,26.6106256931,28.1841823337,28.1829812289,28.1895000113,28.2002617708,28.1993657263,28.1990472157,28.1992759602,28.1981070699,28.1948822578,28.1889649089,28.1864703985,28.1866808076,28.1924861371,28.18963002,28.1874241012,28.1887832034,28.1827041874,28.1642614783,28.1053884621,28.0440920527,27.9232602565
2012-01-05,21.2911077073,22.9877422113,28.3128610757,28.370246358,28.3788859889,28.3933332421,28.3921819632,28.3917546441,28.3920500598,28.3904722596,28.3860924592,28.3781224329,28.374729406,28.3750391729,28.3828372201,28.3790029691,28.3760259714,28.377844693,28.3694657084,28.339012632,28.2602205206,28.1757482893,28.0374763827
2012-01-06,21.1224007469,23.2169800697,28.4846918788,28.5531053084,28.5641684627,28.5824278084,28.5810030765,28.5804632158,28.5808309008,28.5788311322,28.5732682209,28.5631812737,28.5588705253,28.5592748726,28.5691337103,28.5642876704,28.5605158041,28.5628137743,28.5520652111,28.5107343132,28.4111891108,28.3055640098,28.1394440969
2012-01-07,20.8222727881,20.8228766211,27.9512524569,28.7314650899,28.7451384235,28.7672917093,28.7656024259,28.7649497459,28.7653888503,28.7629572881,28.7561756325,28.7439287595,28.7386721111,28.7391825287,28.7511331551,28.7452610209,28.740679264,28.7434599788,28.730413226,28.6837049023,28.561825718,28.4360593954,28.2173365091
2012-01-08,20.6053801709,20.605361973,28.2398687686,28.9051227654,28.9215549422,28.9478454148,28.9458015522,28.945027147,28.9455606107,28.9426792634,28.9346726151,28.920154069,28.9139577093,28.9145271947,28.9287299465,28.9217495811,28.9163122837,28.919644718,28.9042721766,28.8509806742,28.7062919178,28.5592154157,28.2908450659
2012-01-09,20.3523649682,20.3524841662,28.3897546764,29.0729534312,29.0932018212,29.1236724135,29.1213087218,29.1204147284,29.1210364848,29.1176985619,29.1084264008,29.0916117627,29.0844408879,29.0850946574,29.101548603,29.0934621747,29.087162632,29.0910303029,29.073192628,29.0100149847,28.8428054382,28.6713785968,28.3666235474
2012-01-10,19.811201773,21.1837597779,28.6855504069,29.2350649711,29.2598679196,29.2945610385,29.2919101643,29.2908987491,29.2916034028,29.2878023193,29.2772263824,29.2580900849,29.2499115919,29.2506714623,29.269381713,29.26018834,29.2530176818,29.2574098252,29.2369858991,29.1623414717,28.9723331181,28.7752295332,28.4380670997
2012-01-11,19.1814324263,19.1912874403,25.4779012231,29.3910343473,29.4216092446,29.46049697,29.4576246154,29.4565014607,29.457274882,29.453007387,29.4410802724,29.4196240061,29.4103925821,29.4113019809,29.4322235489,29.421948854,29.4139101845,29.4187947513,29.3958597863,29.3150855893,29.1002586455,28.8796967176,28.4824679199
2012-01-12,18.816431312,18.8168928274,25.9971748586,29.5421808664,29.5784458442,29.6215041228,29.6184895785,29.6172602883,29.618087212,29.6133496964,29.6000252411,29.5762546671,29.5659245046,29.5670285719,29.5901079487,29.5787827619,29.5698817668,29.5752165679,29.5496848996,29.4625843574,29.2223874913,28.9771028505,28.5164934936
2012-01-13,18.6753356862,18.6764010673,26.489305413,29.6883240463,29.7305335511,29.7774221665,29.7745616971,29.7732455179,29.7740662163,29.7688665251,29.7540566361,29.7281080447,29.7165749076,29.7180178881,29.7429580537,29.7307449043,29.7210442557,29.726656254,29.6983236163,29.6043870079,29.338782137,29.0664974722,28.5407605299
2012-01-14,17.8723896138,17.8723218854,17.8760628949,28.4337044402,29.878197443,29.9282723345,29.9258979988,29.9245064213,29.9252859144,29.919617858,29.9032762168,29.8752133925,29.8624129071,29.8642623039,29.8909114622,29.8779016812,29.8674228924,29.8732457314,29.8422617741,29.7417220225,29.4494162987,29.1495652606,28.5499910229
