depths,2008-08-13,2011-11-02,2012-08-08,2012-08-29,2012-10-02,2012-10-09,2012-11-02,2012-11-12,2012-12-04,2013-01-14,2013-03-27,2013-05-10,2013-06-17,2013-07-17,2013-08-12,2013-08-15,2013-08-16
00,,,,2315.9595375722542,,1733.9463087248323,5698.1911764705883,3674.8611898016998,97.5,1547.494623655914,45.0,4042.083984375,,,,,
01,,,2251.475935828877,3040.1400778210118,3974.0289389067525,2733.6954545454546,,2776.6019417475727,,1607.7571428571428,,,215.42857142857142,972.304347826087,,2756.9193548387098,
02,,,2387.2307692307695,2992.3485477178424,2720.9779735682819,2396.9625668449198,5675.7048710601721,3345.8994974874372,1822.5106382978724,1804.3400000000001,4883.0438413361171,,,,4045.4849699398796,,4006.3245967741937
03,3094.3481012658231,,2294.015544041451,656.20000000000005,4406.9603960396034,2547.8125,4721.5640138408307,3529.6629834254145,,2315.6903553299494,39.142857142857139,,3784.8947368421054,1049.6133333333332,2880.2586206896549,,
04,,,3078.1011235955057,3804.9463722397477,2415.8979591836733,2610.1585903083701,,3998.9891696750901,3022.625,3133.7991266375548,418.04761904761904,1488.159090909091,,,5193.0734966592427,,
05,,3976.2094594594591,2769.7095435684651,2905.0614334470988,3129.8571428571431,3251.0361010830325,4888.5081206496525,3359.5287009063445,,1956.4561403508771,114.09090909090909,,3864.6842105263158,2239.0694444444443,205.5,,
06,,,2868.9294605809127,2996.126696832579,2344.7643312101909,3327.2624999999998,,4027.2066420664205,1843.4216867469879,589.61016949152543,204.9375,2426.983870967742,,2654.3672566371679,2077.7456140350878,,
07,,,2518.0641025641025,3665.132530120482,5049.5616438356165,4001.4829396325458,4542.1471389645776,3867.9210526315792,,,5294.9367088607596,,3002.6744186046512,1990.9791666666665,4027.3758542141231,,
08,,,3509.7558139534885,3988.5757575757575,3214.8620689655172,2981.7946428571431,6028.6875,3943.0037313432836,1793.909090909091,1817.8380281690143,122.52631578947368,2985.994318181818,,,3485.1345646437994,,320.60000000000002
09,,,2132.5588235294117,3374.9068825910931,4022.9002770083102,3218.1527777777778,3690.0173913043482,2499.6879432624114,,,2757.1238938053098,,284.48387096774195,7077.4710500490673,3572.3611859838275,,
10,,,3133.6527777777778,2815.5550660792951,2959.2737642585553,1013.6034482758621,4162.390625,6788.6063122923588,938.56818181818187,3599.9652996845425,3.0,3892.2059800664451,,1009.5441176470588,4705.1661392405058,,
11,,,6108.1284046692608,2290.4342857142856,3470.6907630522091,4085.0114942528735,4170.1451612903229,4186.4729729729734,,,3283.5287958115186,,3393.5427350427353,3936.5466666666666,5274.015082956259,,
12,,,3653.9799196787149,2363.4150943396226,,2531.6018957345968,3047.5836575875487,2814.766355140187,4867.4552631578954,1970.4925373134329,4898.5698113207545,3707.6370967741937,,3757.9016949152542,1882.6573426573427,,3999.0093457943926
13,,,3721.1764705882351,2664.2799999999997,2272.5735294117649,646.75,,3393.5,,,4094.5756097560975,216.33333333333334,2969.7123287671234,,2872.7058823529414,,
14,,,,4700.4774193548383,1430.1764705882351,,3857.6350148367956,3250.4301470588234,2698.7038626609442,2025.9407894736842,4511.2600000000002,440.11111111111109,,3067.7931034482758,3510.0102739726026,,
15,,,3302.7547169811323,4083.875,3234.4138972809669,3405.7809187279154,,930.15873015873012,,,33.5,1767.5537190082646,179.80000000000001,,483.4666666666667,,3239.439024390244
16,,,,4441.6236263736264,323.53846153846155,6.0,1322.7037037037037,3264.7509025270756,1128.0133333333333,2200.140703517588,612.38297872340422,1412.0,,6298.5549645390074,,,
17,,,3025.8443579766536,2100.8400000000001,3549.7261538461539,5905.5350553505541,,1538.1376146788991,,2392.0638297872338,5323.3358024691352,,4880.5816091954021,,3343.5,,
18,,,,,3236.8095238095239,3776.9735099337749,4588.0472440944886,3368.3822393822393,3972.5322580645161,2953.1422413793102,5171.2539964476018,27.0,,4336.6764705882351,,,
19,23.0,,4464.5625,4487.4495412844035,2715.1094224924013,2260.6810810810812,,6984.4369449378337,,2913.3571428571431,3997.7468879668049,,734.22580645161293,,,,
20,,3308.5393258426966,,,,3656.7176079734218,4128.6485849056608,4789.8067885117489,5339.3009478672984,4309.69696969697,6183.5686274509808,,,6327.5442561205273,5440.0939597315437,4038.666666666667,5532.3231707317073
21,,,2961.2391304347825,4621.0339943342769,,3565.8839285714284,3651.0,3589.5425531914893,,3841.927419354839,,,3401.0827338129493,,6254.7508896797153,5203.8103448275861,
22,,,3284.0797101449275,2632.0460526315792,,3652.4210526315792,5484.0709219858154,5347.3061674008804,1169.8499999999999,,5601.1525423728817,3057.7462686567164,,4063.8194945848372,4877.1803713527852,1948.5683453237411,
