depths,2008-08-13,2011-11-02,2012-08-08,2012-08-29,2012-10-02,2012-10-09,2012-11-02,2012-11-12,2012-12-04,2013-01-14,2013-03-27,2013-05-10,2013-06-17,2013-07-17,2013-08-12,2013-08-15,2013-08-16
00,,,,1910.9698795180723,,1440.6363636363635,3723.4460641399419,2726.622950819672,97.5,1226.5617977528091,36.0,2926.7852112676055,,,,,
01,,,1825.1142857142859,2390.1861471861471,3109.855670103093,2254.3380281690143,,2176.644329896907,,1148.5877192982457,,,207.85714285714286,796.9677419354839,,2242.4909090909091,
02,,,1906.0408163265306,2374.5622119815671,2129.9748743718592,1975.672131147541,3548.8523489932886,2585.958333333333,1550.063829787234,1327.375,3208.0630914826497,,,,3079.5252525252527,,3052.1352112676059
03,2124.4647887323945,,1857.4055555555556,615.70000000000005,3131.1673151750974,2049.7844036697247,3182.761363636364,2685.3197278911566,,1562.4728682170544,39.142857142857139,,2455.0,884.20000000000005,2324.792682926829,,
04,,,2392.7596566523607,2797.3962264150941,1999.1605504587155,2132.1333333333332,,2994.308300395257,2306.2407407407409,2074.7236180904524,394.71428571428572,1255.6190476190477,,,3484.0027624309391,,
05,,2845.16796875,2306.6457399103138,2279.2765957446809,2474.7768240343348,2583.4000000000001,3270.5678670360112,2568.4035087719299,,1285.3591549295775,114.09090909090909,,2809.255681818182,1623.8970588235293,191.5,,
06,,,2309.3466666666668,2427.0,1879.04,2622.6636363636362,,2929.0850202429147,1557.2941176470588,478.43859649122805,186.8125,1747.3333333333335,,2013.3333333333335,1802.4128440366972,,
07,,,2074.6423841059604,2762.0,3439.3445595854923,2960.7804878048782,3256.2618296529968,2906.7416267942581,,,3176.4670846394984,,2274.5735294117649,1496.6102941176471,3116.2596685082872,,
08,,,2770.0041493775934,2975.3116438356165,2585.1120000000001,2438.449275362319,4042.4629258517034,2994.0819672131147,1469.9302325581396,1286.2035398230089,119.31578947368422,2108.8741721854303,,,2738.9179810725554,,312.5
09,,,1819.6707317073169,2766.6681614349773,3049.1554770318021,2575.4595959595963,2833.6729559748428,1950.3333333333335,,,1777.8095238095239,,269.45161290322579,4549.7142857142853,2827.6158536585367,,
10,,,2585.875,2244.1714285714288,2343.3373493975905,908.25862068965512,3170.1375838926174,4140.877800407332,789.55813953488371,2497.6290322580644,1.0,2667.5126050420167,,900.69230769230762,3469.2255319148935,,
11,,,4286.5207468879671,1953.9397590361446,2886.3648068669527,3125.3455284552847,3095.7883959044366,2918.6619718309857,,,2177.318181818182,,2469.5118483412325,2876.125,3884.267716535433,,
12,,,2954.9008620689656,2008.1683168316831,,2001.6146341463414,2499.3536585365855,2331.4048780487806,3313.2920353982299,1407.4330708661419,2894.3112033195021,2553.7650000000003,,2801.1955719557195,1489.0,,2947.5501730103806
13,,,3007.8693877551023,2249.0054054054053,1947.8222222222221,593.0,,2891.4549999999999,,,2621.0172413793102,210.75,2256.5048076923076,,2294.3696682464456,,
14,,,,3613.2608695652175,1295.4545454545455,,3153.4196721311473,2613.36186770428,2291.641255605381,1429.5,2788.5375939849623,410.22222222222223,,2474.1278538812785,2866.6888888888889,,
15,,,2734.7469879518076,3268.0656934306571,2575.6771300448431,2767.6226415094343,,839.38095238095241,,,33.5,1540.3486238532109,179.80000000000001,,463.02222222222224,,2713.8200000000002
16,,,,3338.179640718563,301.23076923076923,6.0,1221.3499999999999,2641.8113207547167,1020.8,1787.6896551724139,538.59574468085111,1228.0,,4349.778270509978,,,
17,,,2531.060975609756,1846.4285714285716,2895.8086642599278,4219.1257861635222,,1361.2844036697247,,1976.53216374269,3525.2228260869565,,3357.9027431421446,,2794.719298245614,,
18,,,,,2583.1595744680853,3040.3711340206182,3498.230113636364,2695.265060240964,3109.8461538461538,2378.6098654708521,3718.9118329466355,27.0,,3222.5412087912086,,,
19,17.75,,3320.8369905956115,3428.5828025477704,2188.9605263157896,1896.3315217391305,,4479.8356997971605,,2446.2049999999999,2982.625,,683.22580645161293,,,,
20,,2553.8804780876494,,,,2771.9014598540143,3134.8153846153846,3489.158904109589,3850.7963446475196,3177.1910112359551,4453.7548387096776,,,4125.3261339092878,3844.666666666667,3187.0089820359281,4034.4842767295595
21,,,2402.5,3440.6698113207549,,2719.9870967741936,2957.5055762081784,2745.2836363636361,,2878.3724340175954,,,2767.2452107279696,,4081.1860465116279,3726.5618556701029,
22,,,2636.0,1879.0,,2891.1262135922329,3814.3792207792208,3848.9384236453202,1060.9166666666665,,3729.6842105263158,2502.5930232558139,,3105.706766917293,3459.3534482758623,1675.6788321167883,
