depths,2008-08-13,2011-11-02,2012-08-08,2012-08-29,2012-10-02,2012-10-09,2012-11-02,2012-11-12,2012-12-04,2013-01-14,2013-03-27,2013-05-10,2013-06-17,2013-07-17,2013-08-12,2013-08-15,2013-08-16
00,,,,25.313478271702369,,41.916226889143694,36.922701374468929,39.339102338011365,16.899999999999995,24.751960126999361,8.0,18.145288453330313,,,,,
01,,,14.385081658362351,28.186043253442932,38.506959836378662,47.837805617420607,,47.742541579781211,,23.528220925349011,,,32.014492753623209,11.19842466699734,,31.311394646689862,
02,,,24.180210876490946,22.354381763741763,22.256492284174641,66.728421246577071,39.524237723419603,51.076215563708821,44.081482725795702,18.420910714900856,43.045378697946951,,,,25.909665012081746,,25.322184396410435
03,38.45218533101523,,24.075068150027153,20.35303879171548,42.373493886567239,37.628146145812792,40.856315587660426,39.867930805179959,,22.030595966703054,19.599999999999998,,46.22903061680519,32.309026981794069,38.342155281897142,,
04,,,38.272816238373593,42.17216176715224,17.216703824862066,55.250018433343833,,60.746297011668084,41.850967665222498,29.914087638998758,40.355088020609827,22.483546026602905,,,41.793184158341994,,
05,,54.340222992628064,78.129011803884183,47.577065679246267,31.196323616092791,56.166313395667856,70.178357133553035,28.968669208734244,,23.184289223445401,33.397350993377536,,32.757704692018699,58.69554864999656,13.333333333333332,,
06,,,36.274622196063838,49.89444779018725,71.231607251758973,54.097157998864922,,49.269004729446372,36.116470546913533,18.818851207909677,43.396482813749046,41.322653031808059,,60.941695926874246,34.491400356302798,,
07,,,48.96710034874252,34.20737404309785,73.374255007576977,47.374982617119578,36.312073814753596,59.334862978558668,,,39.318547946762514,,48.499085035809699,47.75639931952815,38.556719210074903,,
08,,,50.73627042839059,45.240973502397594,40.933373324991905,32.507987576943108,25.744534441556954,66.005850706615348,31.782297229843749,26.835034252230731,34.8591549295775,57.23002418114941,,,46.694390473806422,,47.97370068879129
09,,,41.139227690632552,42.325001177340141,54.016654990501067,37.579469069048422,22.748875165869208,50.857379993250859,,,42.494038938413667,,40.007089745806788,33.927816785101406,44.632205438548993,,
10,,,39.94351735298391,28.949467298734223,42.486396120864335,26.088599794591115,35.038181530824168,48.78830579198825,44.733194545883158,26.961982523082135,1.0,65.10944834867469,,49.21378728025347,43.194608180737951,,
11,,,47.250448410613835,25.673566324861731,22.995708356667176,41.056046979933171,15.270754088371817,47.894950654180931,,,33.796051131720276,,76.977406135487712,48.333772141139342,44.354329131707608,,
12,,,18.512620820541088,32.681718129513101,,43.376568870602448,38.680133907971722,11.340120235761256,48.939279933885821,29.977473383464769,32.756905624319032,63.746537597754241,,40.46748570510718,48.018907089486213,,39.580613370092671
13,,,38.164706703298734,27.625600098570221,19.39792208616932,23.596189255449953,,23.182233150893371,,,31.768303370306139,41.913642052565656,38.460253640299115,,27.931383339679822,,
14,,,,31.16552590855099,46.034399756741671,,31.300319082433326,34.019042994484181,36.20438447718076,25.24820436513097,29.129469420760117,39.680259929712726,,26.495796221215443,28.070703568909831,,
15,,,28.49518050302747,48.007266741278748,60.56942218892695,26.541838053704776,,40.723795724748079,,,10.285714285714283,3.2630356041179187,27.194906621392132,,29.199032432715594,,28.272011661126559
16,,,,26.564686172149258,21.004807461179844,3.0,39.067325568462586,28.720358902886058,45.488470358525134,11.207117263594142,24.171510057147497,14.776332617240103,,34.276259994885748,,,
17,,,28.72386324552847,32.614519558335914,77.198560507565489,44.905928863467601,,23.805192375680043,,13.551143751739271,20.868032568687386,,30.414513742873865,,39.127495647527525,,
18,,,,,26.583787609442691,48.291102025035556,45.933654870214554,22.213311858929028,52.614169984718785,19.941001726553704,12.452810269354165,10.888888888888886,,41.26696604679632,,,
19,1.6680441795127163,,58.463728906019263,56.297584347852947,60.742346621413631,26.181517052238956,,52.938717489358176,,10.516223183157949,5.8177544196657207,,47.018728461659968,,,,
20,,35.229122874912733,,,,18.23259722940919,24.726997353018888,48.068098466823514,57.927539374524351,20.718729444804008,11.545955113320547,,,41.93968986890625,53.422348922225495,60.24976861291583,47.327434160616356
21,,,27.827431042503882,25.698489598948804,,23.537924200547813,45.139773654107842,25.918274012995667,,22.777065235137439,,,44.850399533372645,,63.256429315856835,62.418570123386893,
22,,,63.913613216626665,149.52444262630283,,47.173203406326138,51.509102988920027,48.044684913005298,74.268317812562032,,67.518637214872143,35.114299262196369,,52.315231968933873,63.031291898433487,64.04197845942673,
