depths,2008-08-13,2011-11-02,2012-08-08,2012-08-29,2012-10-02,2012-10-09,2012-11-02,2012-11-12,2012-12-04,2013-01-14,2013-03-27,2013-05-10,2013-06-17,2013-07-17,2013-08-12,2013-08-15,2013-08-16
00,,,,92.749734175869136,,160.13289832869384,139.1837089584221,159.65376399580677,19.129881928292832,84.371969601988084,7.9999999999999982,58.80690391562144,,,,,
01,,,69.345207183347824,115.62355512237744,158.86957932189216,163.80999132253311,,142.03157469450969,,51.705125262135645,,,46.208320210398497,44.507985255396562,,111.77227838226733,
02,,,98.063085782257005,89.109194872318582,135.77040892460693,186.89788412889351,147.53679232220392,148.72411476016208,110.5226638815848,47.515881270107215,107.06712441976853,,,,98.765041875042087,,96.24177822994767
03,150.76106841722805,,96.903159231385871,68.398454906949496,177.61885828811623,161.50265625698367,146.81236491004228,153.73274738153282,,50.237258926093638,20.80392004791727,,149.64413698446481,104.57916333118965,135.32382346278797,,
04,,,146.31134912358877,156.6851108345667,111.73807623240234,163.0196829782864,,162.37448608908193,114.75380260617045,103.98243382764842,72.503335669922862,56.955242421017978,,,148.87339108284007,,
05,,194.6938836729073,217.88047084239091,171.63127774518065,139.27688189229704,169.75099896476206,202.89186359200076,120.60811147045578,,53.550310247682475,45.102077316347014,,136.8165249090921,148.0362407906448,21.703003118641778,,
06,,,163.75013513128826,154.58587995002213,204.95068030672252,180.15921317493957,,153.33244988466956,129.49198414111882,41.175512128177033,62.349886833570679,90.909826131712379,,158.06655836588641,101.25007068940718,,
07,,,147.96480598331408,121.39653278397472,243.77128838193133,213.0123398339378,134.25861303346869,166.67737212544463,,,97.814191524546402,,125.058573347218,140.81952455200886,111.79967762122108,,
08,,,154.9743453887354,134.84321605826287,115.67924385088408,104.33275814965491,96.739199926643437,170.65919466644669,118.65424009632748,59.942787878603738,50.969658206600862,120.43778894500386,,,117.56990920816618,,86.013515786022168
09,,,123.44440297432776,128.58572919737495,164.21580666081144,114.24835484399371,103.68343614459255,141.61719683478665,,,107.64228176835567,,79.633166810956922,118.00956342945068,112.88064668402964,,
10,,,133.53030774026345,120.97700922856968,159.0060312686594,82.846717158965276,169.52670402429484,148.28176045193734,104.37428921521895,100.49814656447251,1.0,131.77301876451526,,117.20720342585564,113.80397381478542,,
11,,,144.98246844761709,100.13827734121885,100.32590359091175,133.52976123409852,79.045255979810449,139.08646462758688,,,92.996511016906069,,168.21548926069636,124.64956129705089,115.24035674540302,,
12,,,75.634364780807559,120.57200283452761,,150.36498266429189,150.27723962248655,76.983363082387399,132.92578594387339,98.735786456091645,92.819746385938714,131.5416166437501,,113.99934962884099,112.42861390043329,,117.8198754013642
13,,,113.41816427987796,97.538767438427342,71.265358734269668,68.952722881282156,,89.91724355783883,,,98.123461491946586,61.447920339038227,115.17787942025723,,90.939127991408427,,
14,,,,126.68668962209644,136.07488131667333,,119.02217277019736,122.1396096749075,130.44974994109677,62.541773145975689,84.399380774767664,79.927594704856901,,81.412414419724541,96.223399056618902,,
15,,,96.051903702709495,169.85541555128972,177.8362471830396,109.73215234940794,,109.72679601986027,,,10.690784617684079,13.622743088649065,52.989223196135157,,76.9472112817121,,93.240758289995526
16,,,,114.35151881511349,52.397580847115364,2.9999999999999996,121.3110783963767,117.09586325074478,125.07939672191155,36.983345422673615,65.728831884923309,62.976085696731523,,122.30912507734919,,,
17,,,117.28503366928614,124.66567534743371,232.6583581792211,160.78880239386888,,93.74523854664028,,55.354934691040505,73.023541983564641,,110.31827910012598,,122.25668968466455,,
18,,,,,125.33184012107195,164.4556086396409,165.78346364408009,108.15800893751437,194.34112936295068,116.04048369101483,57.754112022859481,11.48469498410693,,147.60028861889992,,,
19,2.0378465883891757,,187.31409986829593,178.59820338452963,195.78306319944252,111.01722234837915,,184.17996719480385,,42.205130321430183,30.078317916220811,,116.43419859769119,,,,
20,,142.26804570998681,,,,94.988524270524124,122.74278689282322,180.49309618343804,214.12773482802268,123.29242963586476,54.075489344066185,,,154.41397634395855,178.3476791414042,187.81108965787342,164.41950249991544
21,,,116.8910954239489,113.82526205943057,,112.30156290785042,159.97795444979099,126.20825070071906,,129.22087504262234,,,141.84977612588429,,199.22889227017538,196.93421961109181,
22,,,189.96424936826463,400.46062898901567,,173.06241993888884,197.53732920576641,199.17633810032271,179.79394527234348,,208.40849884234274,115.80454655755706,,181.63493699828598,205.48202081874186,175.40013751724149,
