Months Elapsed Since 8/8/12,ENSPIE Mean,ENSPIE Std,,,
0,41.55416778,16.99569792,,,
0.70,35.84613925,10.36865309,,,
1.83,41.00036832,18.92387035,,,
2.07,39.47244974,13.21833752,,,
2.87,38.17527152,9.314065535,,,
3.20,42.05956541,13.84578198,,,
3.93,43.4323232,8.471572243,,,
5.30,22.06037104,6.034915916,,,
7.70,30.79089984,14.49971076,,,
9.17,32.63993922,19.89723667,,,
10.43,43.72559487,12.47660798,,,
11.43,40.19972451,13.66858522,,,
12.30,40.49739259,10.13152196,,,
12.40,55.19966258,15.81531407,,,
12.43,36.91261235,9.238745438,,,
,Chao1 Mean,Chao1 STD,N,,
0.1,3163.767624,943.2485263,20,,
0.80,3180.684118,1015.070963,21,,
1.93,3164.657671,1143.244904,20,,
2.17,2831.288486,1234.533441,23,,
2.97,4256.863031,1266.031777,18,,
3.30,3527.478927,1448.468322,25,,
4.03,2917.26005,1375.965215,10,,
5.40,2187.296871,912.0265849,17,,
7.80,4413.688501,1438.917399,16,,
9.27,2573.243228,1238.172453,13,,
10.53,3376.064705,850.0349094,13,,
11.53,3171.212292,1835.05816,23,,
12.40,3302.259524,1441.979614,26,,
12.50,3486.991178,1431.964103,4,,
12.53,3911.669731,895.6788784,7,,
