Iteration	parent	child	p-val
0	19430.0	19429.0	0.587978780192
1	19429.0	19428.0	0.0
2	19429.0	19427.0	0.163134538815
3	19430.0	19426.0	0.0
4	19428.0	19425.0	9.58690739863e-149
5	19427.0	19424.0	0.437898422091
6	19428.0	19423.0	1.5753080834e-22
7	19426.0	19422.0	7.57171045605e-12
8	19425.0	19421.0	5.48383106961e-108
9	19425.0	19420.0	1.5651761939e-33
10	19424.0	19419.0	1.30534366346e-209
11	19423.0	19418.0	6.24152024481e-74
12	19424.0	19417.0	3.64436732885e-13
13	19423.0	19416.0	3.50745502646e-54
14	19420.0	19415.0	9.76672447683e-20
15	19426.0	19414.0	1.28413991988e-222
16	19419.0	19413.0	0.0
17	19417.0	19412.0	1.66381565091e-147
18	19412.0	19411.0	0.604113817583
19	19415.0	19410.0	1.19942096961e-49
20	19422.0	19409.0	5.08490438761e-07
21	19427.0	19408.0	0.0
22	19418.0	19407.0	2.1066649832e-39
23	19417.0	19406.0	4.45282953103e-23
24	19422.0	19405.0	5.30007074268e-260
25	19420.0	19404.0	1.98067890856e-154
26	19408.0	19403.0	1.12929351309e-16
27	19413.0	19402.0	2.53923682608e-06
28	19419.0	19401.0	0.000252623548623
29	19406.0	19400.0	0.733067160483
30	19421.0	19399.0	1.74929490133e-32
31	19421.0	19398.0	3.2424829836e-105
32	19413.0	19397.0	5.0393405421e-271
33	19405.0	19396.0	2.99167687271e-32
34	19416.0	19395.0	6.24458582e-128
35	19418.0	19394.0	1.60208868984e-97
36	19416.0	19393.0	6.71899370336e-28
37	19399.0	19392.0	6.0068467475e-35
38	19414.0	19391.0	3.95349398247e-07
39	19398.0	19390.0	0.0610700265189
40	19410.0	19389.0	1.13617243506e-39
41	19415.0	19388.0	1.3228319335e-77
42	19402.0	19387.0	8.07089499527e-31
43	19392.0	19386.0	1.81920857547e-44
44	19403.0	19385.0	0.0201371590721
45	19407.0	19384.0	2.64543205472e-28
46	19393.0	19383.0	7.48189773534e-63
47	19401.0	19382.0	0.00132956201532
48	19409.0	19381.0	4.84912164148e-39
49	19411.0	19380.0	0.00144658750767
50	19400.0	19379.0	0.0
51	19386.0	19378.0	3.32419958177e-15
52	19396.0	19377.0	6.38960694346e-12
53	19390.0	19376.0	3.7548817089e-05
54	19402.0	19375.0	1.0528400249e-118
55	19388.0	19374.0	1.93384390615e-34
56	19395.0	19373.0	2.79652247686e-21
57	19401.0	19372.0	0.0
58	19403.0	19371.0	0.0
59	19410.0	19370.0	1.07400873068e-90
60	19389.0	19369.0	7.79190855913e-38
61	19407.0	19368.0	4.93770120699e-122
62	19400.0	19367.0	0.000445427867607
63	19404.0	19366.0	1.21154563565e-59
64	19376.0	19365.0	5.3187803948e-64
65	19391.0	19364.0	1.82090250253e-08
66	19409.0	19363.0	1.71971279367e-99
67	19392.0	19362.0	2.42321338845e-77
68	19397.0	19361.0	1.28214180346e-113
69	19406.0	19360.0	0.0
70	19382.0	19359.0	2.2369962674e-20
71	19395.0	19358.0	9.56224122883e-151
72	19405.0	19357.0	4.55446079229e-105
73	19391.0	19356.0	5.63934244126e-252
74	19399.0	19355.0	5.27660265259e-103
75	19385.0	19354.0	0.00634113362939
76	19387.0	19353.0	1.04686272253e-10
77	19404.0	19352.0	1.93531653401e-57
78	19355.0	19351.0	3.03454277006e-16
79	19393.0	19350.0	7.42222469913e-64
80	19367.0	19349.0	1.65144751881e-139
81	19363.0	19348.0	0.141715566916
82	19388.0	19347.0	1.19157720815e-98
83	19394.0	19346.0	6.29198943452e-95
84	19367.0	19345.0	4.31423347735e-25
85	19366.0	19344.0	5.39318255703e-45
86	19411.0	19343.0	0.0
87	19371.0	19342.0	2.40623909553e-51
88	19408.0	19341.0	5.10376840866e-180
89	19389.0	19340.0	3.10165519656e-88
90	19394.0	19339.0	7.12492741165e-39
91	19352.0	19338.0	1.91898850919e-40
92	19370.0	19337.0	1.17774956166e-38
93	19361.0	19336.0	3.30464111439e-08
94	19396.0	19335.0	6.50298898226e-182
95	19353.0	19334.0	0.131086510357
96	19412.0	19333.0	0.0
97	19380.0	19332.0	5.39973968397e-142
98	19380.0	19331.0	3.09400178191e-24
99	19376.0	19330.0	2.08311976844e-55
100	19339.0	19329.0	8.06936159378e-56
101	19414.0	19328.0	4.82899602816e-281
102	19372.0	19327.0	7.44362032313e-31
103	19379.0	19326.0	0.0194372096038
104	19339.0	19325.0	1.67521018142e-69
105	19359.0	19324.0	2.13023929111e-263
106	19375.0	19323.0	2.72841469855e-124
107	19357.0	19322.0	8.40446181051e-28
108	19351.0	19321.0	2.2904066335e-06
109	19386.0	19320.0	1.20482813429e-163
110	19348.0	19319.0	7.9327435865e-55
111	19370.0	19318.0	3.83683540732e-74
112	19369.0	19317.0	2.82582202185e-36
113	19378.0	19316.0	8.22413788975e-05
114	19345.0	19315.0	7.70687855395e-17
115	19331.0	19314.0	3.52160813644e-22
116	19325.0	19313.0	8.6560794128e-45
117	19374.0	19312.0	6.66534808048e-40
118	19356.0	19311.0	7.58347746167e-58
119	19360.0	19310.0	1.77583460319e-11
120	19332.0	19309.0	0.0669433359098
121	19330.0	19308.0	2.54733590427e-19
122	19368.0	19307.0	1.07102305621e-43
123	19352.0	19306.0	5.3644676167e-73
124	19385.0	19305.0	0.0
125	19340.0	19304.0	1.11206093379e-07
126	19361.0	19303.0	4.55149058144e-207
127	19360.0	19302.0	3.39428143615e-219
128	19373.0	19301.0	9.75327463727e-47
129	19350.0	19300.0	5.32084418531e-41
130	19390.0	19299.0	4.22845668828e-313
131	19384.0	19298.0	1.01718405556e-224
132	19377.0	19297.0	7.32344598107e-45
133	19322.0	19296.0	3.75130093307e-31
134	19358.0	19295.0	6.80490203144e-100
135	19349.0	19294.0	0.112802266082
136	19372.0	19293.0	1.5492567385e-118
137	19362.0	19292.0	2.90811553704e-15
138	19307.0	19291.0	0.0746246206419
139	19344.0	19290.0	1.36762411525e-19
140	19347.0	19289.0	3.05972551495e-11
141	19337.0	19288.0	1.12584443012e-57
142	19324.0	19287.0	3.59438732547e-11
143	19317.0	19286.0	1.3113174526e-47
144	19346.0	19285.0	2.07319540762e-55
145	19314.0	19284.0	0.000217672791391
146	19299.0	19283.0	1.09847979071e-05
147	19368.0	19282.0	1.54763687911e-82
148	19343.0	19281.0	1.63262442643e-64
149	19355.0	19280.0	1.09077318933e-165
150	19321.0	19279.0	1.48179831888e-13
151	19364.0	19278.0	8.74031941777e-65
152	19373.0	19277.0	1.73615097697e-79
153	19329.0	19276.0	6.95156658373e-25
154	19374.0	19275.0	2.69141917185e-87
155	19342.0	19274.0	4.59269827941e-114
156	19363.0	19273.0	0.0
157	19365.0	19272.0	4.2540483723e-60
158	19369.0	19271.0	1.25530446519e-89
159	19384.0	19270.0	4.45519682778e-11
160	19306.0	19269.0	3.81444622477e-23
161	19381.0	19268.0	7.52871322288e-21
162	19366.0	19267.0	9.71103218276e-68
163	19334.0	19266.0	8.81990124991e-127
164	19338.0	19265.0	1.697874234e-29
165	19382.0	19264.0	6.10160206273e-161
166	19353.0	19263.0	0.0
167	19383.0	19262.0	9.02746616887e-08
168	19354.0	19261.0	1.40519024987e-51
169	19315.0	19260.0	3.27211660956e-261
170	19333.0	19259.0	0.00453058260934
171	19345.0	19258.0	8.80079417007e-182
172	19341.0	19257.0	6.31350697358e-120
173	19318.0	19256.0	3.79965402641e-53
174	19379.0	19255.0	0.0
175	19354.0	19254.0	2.60097136942e-76
176	19381.0	19253.0	1.03893242922e-154
177	19308.0	19252.0	1.35124623088e-28
178	19397.0	19251.0	2.48844847206e-29
179	19383.0	19250.0	4.14693464237e-263
180	19316.0	19249.0	2.38139121192e-42
181	19359.0	19248.0	1.36414561347e-08
182	19294.0	19247.0	2.22120776915e-15
183	19312.0	19246.0	5.77764028041e-26
184	19346.0	19245.0	3.05170919916e-59
185	19254.0	19244.0	8.01431749591e-09
186	19357.0	19243.0	5.12153307135e-94
