depths,2008-08-13,2011-11-02,2012-08-08,2012-08-29,2012-10-02,2012-10-09,2012-11-02,2012-11-12,2012-12-04,2013-01-14,2013-03-27,2013-05-10,2013-06-17,2013-07-17,2013-08-12,2013-08-15,2013-08-16
00,,,,94.988907873763623,,171.10889385210407,147.22081163407339,168.35909237923971,19.129881928292832,90.211664870300666,9.0000000000000018,59.802693810527956,,,,,
01,,,70.912358011908267,118.73342016075368,163.41187555072642,167.81533854212086,,146.70048503119213,,53.331646252270652,,,47.050292680826132,46.124150672490899,,115.59487051038147,
02,,,100.24591426362163,90.966420455084986,145.46851173214893,191.56471128193226,157.44466944595746,153.07060440281657,112.32607427307541,49.012298118367809,116.3986946778905,,,,100.84278324866473,,98.255416557551669
03,160.15172173913007,,98.873882058665387,69.739100477602051,185.00618824428923,171.26347073772058,155.84345967054688,162.43313353650481,,52.102499979543261,20.80392004791727,,161.14475514245416,108.87735751741938,138.77486508145296,,
04,,,149.67586135947519,162.21922810529176,118.1062829773316,167.65446246354418,,167.38698065678645,117.49388289058044,113.47158237033497,74.145119331833186,58.084619657446062,,,156.93514869485239,,
05,,211.56212617741917,223.24639415850413,181.30638854641671,143.79000540715344,175.03009289466104,215.88179628174333,127.58917687639048,,55.4822711450255,45.102077316347014,,145.08925428121591,156.46186035345991,22.579810220933609,,
06,,,169.23976634433097,159.13488941179489,217.69114799150367,186.67334563328563,,158.82690262522084,135.81572173540138,42.631608382613408,64.847148474962722,92.976443200024306,,166.46003816860909,104.20164157178137,,
07,,,152.45347644071805,126.87819217227415,257.65415533071615,231.86868989128195,141.09804233628748,172.66799970948998,,,103.87806465837919,,129.44928986418478,150.19907741959051,115.10782395902989,,
08,,,159.6827141807097,139.61557724503419,120.59327691961069,107.81889307557073,100.91392812131058,176.14040378078397,123.93628238331365,62.08984464828994,51.642729925097548,124.32266158321266,,,121.02894828261253,,86.792692765178586
09,,,126.3252226154582,131.89577416782294,173.69482528566306,118.51818489482213,109.74445631127472,147.77855340655532,,,115.72153376180229,,81.495252103144367,123.86122954831049,115.48624354292903,,
10,,,136.91134303196924,128.44535034533871,168.57010824915437,85.389209100077352,182.38574363485765,156.99780994771314,109.19712730971814,110.73132972518444,2.0,136.92058186244071,,121.04933453391055,117.6690719707878,,
11,,,148.47233558824638,104.89294472294709,103.26800628255569,138.19474164599518,82.558682891217686,146.2246406728633,,,98.756603211529324,,176.27707586303637,129.37671900259485,119.71765333022644,,
12,,,77.312365000479701,125.89430623672538,,159.44436128131855,158.62329433597884,81.418638289926278,138.74325993679557,107.7340056021538,99.320221651308941,136.82151062754838,,117.84413560054269,117.26550453107389,,121.99536545779397
13,,,115.78106418583761,101.42164956770267,72.584186651864883,70.820952608637498,,92.0703027418934,,,105.96782200284392,62.151226635847799,119.35107896780404,,93.555907144633622,,
14,,,,129.75641154335187,140.09530133738357,,124.66093143473957,128.17532027980383,134.13388191289636,64.720369094948126,89.875498212110656,81.521135289245308,,83.361546586137024,98.540404333399522,,
15,,,99.282412545433928,175.77641266177213,192.1811205185746,114.39570417560061,,113.21884743278586,,,10.690784617684079,13.788663424848329,52.989223196135157,,78.088919397657193,,94.980505554000345
16,,,,119.6197085925612,53.808259907706862,2.9999999999999996,125.07409837441844,123.0120259013465,128.95400467955611,38.117107151971567,67.758808370224429,64.42649005966878,,125.91601367814691,,,
17,,,122.15787850673884,130.23713970199114,244.11422446506401,167.10954773987578,,98.03105161523284,,57.317587593269018,76.338296990538467,,113.69029116946359,,124.97735473038074,,
18,,,,,131.46213017561877,169.81525294858238,173.086694084615,113.38252250676614,202.30859898428179,122.31552083745262,59.866991988946232,11.48469498410693,,152.26773865007274,,,
19,2.0647620487882583,,194.64254919053013,184.69583756473037,214.70276807955111,115.89939012025839,,192.18719715461847,,44.140224276476445,30.874930952543192,,119.17194638318828,,,,
20,,151.28168042392679,,,,100.47560761954318,129.9664915043696,188.67626212054108,224.72478479913983,130.47910930509488,55.457297524817093,,,159.64901320775695,184.44896140269358,193.90851660166734,169.78415275678006
21,,,122.85564485070468,120.23908040790205,,118.52821226354943,166.34138838598642,133.54861177571635,,137.31825238998829,,,145.60806024564332,,207.78757745620521,203.91554002340871,
22,,,197.04661256451189,476.88530288538823,,180.10572365800203,208.78668890705006,209.25624994740826,221.26137443288212,,219.95819310599856,118.56498277860909,,188.09938233491761,215.34783500157531,183.37065133249214,
