	n	dtp	twp	score
690	9	0.5	0.05	-89385951.8275
680	9	0.45	0.05	-89387732.6994
670	9	0.4	0.05	-89389694.9698
660	9	0.35	0.05	-89391599.8124
650	9	0.3	0.05	-89393755.3592
640	9	0.25	0.05	-89395664.2387
630	9	0.2	0.05	-89397598.6077
620	9	0.15	0.05	-89399659.7331
610	9	0.1	0.05	-89401783.5858
600	9	0.05	0.05	-89404284.8812
691	9	0.5	0.1	-89435273.815
681	9	0.45	0.1	-89436316.0563
671	9	0.4	0.1	-89437415.8411
661	9	0.35	0.1	-89438382.9076
651	9	0.3	0.1	-89439398.1893
641	9	0.25	0.1	-89440409.4679
631	9	0.2	0.1	-89441487.0453
621	9	0.15	0.1	-89442574.6566
611	9	0.1	0.1	-89443688.5323
601	9	0.05	0.1	-89445205.7397
692	9	0.5	0.15	-89471123.1053
682	9	0.45	0.15	-89471839.3767
672	9	0.4	0.15	-89472489.9825
662	9	0.35	0.15	-89473036.3712
652	9	0.3	0.15	-89473609.6162
642	9	0.25	0.15	-89474110.8941
632	9	0.2	0.15	-89474653.3197
622	9	0.15	0.15	-89475130.4685
612	9	0.1	0.15	-89475683.3539
602	9	0.05	0.15	-89476516.2933
693	9	0.5	0.2	-89502368.4559
683	9	0.45	0.2	-89502781.6501
673	9	0.4	0.2	-89503135.3026
663	9	0.35	0.2	-89503456.9894
653	9	0.3	0.2	-89503786.045
643	9	0.25	0.2	-89504061.9792
633	9	0.2	0.2	-89504342.4813
623	9	0.15	0.2	-89504670.7648
613	9	0.1	0.2	-89505016.0168
603	9	0.05	0.2	-89505664.4525
1240	11	0.05	0.5	-89518655.2114
1250	11	0.1	0.5	-89519171.3702
1260	11	0.15	0.5	-89519894.7855
1270	11	0.2	0.5	-89520677.3721
1280	11	0.25	0.5	-89521455.002
1290	11	0.3	0.5	-89522251.7139
1300	11	0.35	0.5	-89523026.2097
1310	11	0.4	0.5	-89523791.8079
1320	11	0.45	0.5	-89524543.4808
1330	11	0.5	0.5	-89525278.7675
1340	11	0.55	0.5	-89526000.0364
1350	11	0.6	0.5	-89526711.2204
1360	11	0.65	0.5	-89527414.8502
1370	11	0.7	0.5	-89528112.3532
1380	11	0.75	0.5	-89528804.5571
1390	11	0.8	0.5	-89529492.0963
1400	11	0.85	0.5	-89530175.3927
1410	11	0.9	0.5	-89530854.7961
694	9	0.5	0.25	-89544749.2039
684	9	0.45	0.25	-89544881.7283
674	9	0.4	0.25	-89544965.7361
664	9	0.35	0.25	-89545026.2001
654	9	0.3	0.25	-89545099.7447
644	9	0.25	0.25	-89545122.4946
634	9	0.2	0.25	-89545157.7268
624	9	0.15	0.25	-89545232.0359
614	9	0.1	0.25	-89545378.3158
604	9	0.05	0.25	-89545779.8924
1241	11	0.05	0.55	-89576825.9027
1251	11	0.1	0.55	-89577345.7653
1261	11	0.15	0.55	-89578073.2914
1271	11	0.2	0.55	-89578863.2433
1281	11	0.25	0.55	-89579647.1462
1291	11	0.3	0.55	-89580451.3595
1301	11	0.35	0.55	-89581231.6874
1311	11	0.4	0.55	-89582001.9175
1321	11	0.45	0.55	-89582758.4965
1331	11	0.5	0.55	-89583498.5087
1341	11	0.55	0.55	-89584224.3531
1351	11	0.6	0.55	-89584939.9302
1361	11	0.65	0.55	-89585647.7829
1371	11	0.7	0.55	-89586349.3734
1381	11	0.75	0.55	-89587045.5564
1391	11	0.8	0.55	-89587736.9593
1401	11	0.85	0.55	-89588424.0284
1411	11	0.9	0.55	-89589107.1151
615	9	0.1	0.3	-89600996.5783
625	9	0.15	0.3	-89601043.0984
635	9	0.2	0.3	-89601162.1403
605	9	0.05	0.3	-89601228.6426
645	9	0.25	0.3	-89601314.8849
655	9	0.3	0.3	-89601456.0396
665	9	0.35	0.3	-89601548.044
675	9	0.4	0.3	-89601651.6024
685	9	0.45	0.3	-89601756.5749
695	9	0.5	0.3	-89601820.4937
1242	11	0.05	0.6	-89634589.8574
1252	11	0.1	0.6	-89635106.8217
1262	11	0.15	0.6	-89635837.1951
1272	11	0.2	0.6	-89636628.1925
1282	11	0.25	0.6	-89637419.6698
1292	11	0.3	0.6	-89638228.767
1302	11	0.35	0.6	-89639016.4768
500	8	0.05	0.05	-89639562.7217
1312	11	0.4	0.6	-89639791.6345
510	8	0.1	0.05	-89640355.4047
1322	11	0.45	0.6	-89640552.5868
1332	11	0.5	0.6	-89641297.1615
520	8	0.15	0.05	-89641474.6388
1342	11	0.55	0.6	-89642027.4256
1352	11	0.6	0.6	-89642747.2375
530	8	0.2	0.05	-89642871.3965
1362	11	0.65	0.6	-89643459.2013
