depths,2008-08-13,2011-11-02,2012-08-08,2012-08-29,2012-10-02,2012-10-09,2012-11-02,2012-11-12,2012-12-04,2013-01-14,2013-03-27,2013-05-10,2013-06-17,2013-07-17,2013-08-12,2013-08-15,2013-08-16
00,,,,1910.9698795180723,,1440.6363636363635,3707.3596491228072,2722.3606557377052,97.5,1221.8876404494381,36.0,2924.3028169014083,,,,,
01,,,1821.457142857143,2390.1861471861471,3106.1546391752577,2254.3380281690143,,2176.0777202072541,,1141.5263157894738,,,207.85714285714286,796.9677419354839,,2238.2606060606058,
02,,,1906.0408163265306,2378.1981566820277,2129.9748743718592,1975.672131147541,3544.8053691275168,2585.958333333333,1550.063829787234,1323.6333333333332,3208.0630914826497,,,,3074.05303030303,,3048.4816901408449
03,2124.4647887323945,,1857.4055555555556,615.70000000000005,3131.1673151750974,2046.3715596330276,3182.761363636364,2682.0204081632655,,1557.6279069767443,39.142857142857139,,2450.0,884.20000000000005,2329.564417177914,,
04,,,2392.7596566523607,2797.3962264150941,1995.7660550458716,2128.5999999999999,,2994.308300395257,2297.0617283950614,2074.7236180904524,394.71428571428572,1255.6190476190477,,,3480.5,,
05,,2848.4705882352941,2306.6457399103138,2279.2765957446809,2474.7768240343348,2583.4000000000001,3270.5678670360112,2561.5999999999999,,1285.3591549295775,114.09090909090909,,2809.255681818182,1623.8970588235293,191.5,,
06,,,2305.6933333333336,2427.0,1879.04,2622.6636363636362,,2929.0850202429147,1549.6535947712418,478.43859649122805,186.8125,1747.3333333333335,,2013.3333333333335,1802.4128440366972,,
07,,,2074.6423841059604,2762.0,3439.3445595854923,2957.3932926829266,3263.7350157728706,2902.2775119617227,,,3175.5377358490568,,2270.5490196078431,1496.6102941176471,3116.2596685082872,,
08,,,2766.0,2971.6095890410961,2581.3440000000001,2442.5700483091787,4042.5542168674701,2994.0819672131147,1465.8139534883721,1278.5132743362833,119.31578947368422,2104.3774834437086,,,2738.9179810725554,,312.5
09,,,1819.6707317073169,2762.5156950672645,3049.1554770318021,2575.4595959595963,2833.6729559748428,1950.3333333333335,,,1777.8095238095239,,269.45161290322579,4549.7142857142853,2827.6158536585367,,
10,,,2581.6298076923076,2244.1714285714288,2343.3373493975905,908.25862068965512,3173.4579124579122,4140.877800407332,784.16279069767438,2497.6290322580644,1.0,2667.5126050420167,,900.69230769230762,3466.4638297872343,,
11,,,4286.5207468879671,1941.1987951807228,2882.0686695278973,3125.3455284552847,3091.8634812286691,2914.1455399061033,,,2177.6342857142859,,2464.331753554502,2872.9749999999999,3884.267716535433,,
12,,,2950.6681034482758,2004.3613861386139,,2001.6146341463414,2495.439024390244,2331.4048780487806,3309.5516224188791,1411.51968503937,2890.0207468879671,2553.7650000000003,,2801.1955719557195,1489.0,,2947.5501730103806
13,,,3007.8693877551023,2249.0054054054053,1947.8222222222221,593.0,,2891.4549999999999,,,2627.4624277456646,210.75,2252.5144230769229,,2290.4312796208533,,
14,,,,3609.2207357859534,1295.4545454545455,,3145.8032786885246,2617.1595330739301,2291.641255605381,1428.5,2788.5375939849623,410.22222222222223,,2478.1643835616437,2862.8444444444444,,
15,,,2734.7469879518076,3263.9306569343066,2575.6771300448431,2771.4377358490565,,834.76190476190482,,,33.5,1540.3486238532109,179.80000000000001,,463.02222222222224,,2713.8200000000002
16,,,,3338.179640718563,301.23076923076923,6.0,1221.3499999999999,2641.8113207547167,1020.8,1790.5086705202311,538.59574468085111,1228.0,,4344.4478935698444,,,
17,,,2527.207317073171,1841.9047619047619,2895.8086642599278,4217.4411764705883,,1361.2844036697247,,1976.53216374269,3524.2179836512259,,3351.4862842892767,,2787.4315789473685,,
18,,,,,2577.4381625441697,3036.5979381443299,3498.230113636364,2687.3654618473893,3109.8461538461538,2378.6098654708521,3718.9118329466355,27.0,,3209.9313186813188,,,
19,17.75,,3320.8369905956115,3428.5828025477704,2188.9605263157896,1900.2391304347825,,4479.8356997971605,,2442.0149999999999,2982.625,,683.22580645161293,,,,
20,,2553.8804780876494,,,,2767.164835164835,3133.8153846153846,3489.158904109589,3847.211488250653,3170.4747191011238,4449.7548387096776,,,4119.09071274298,3838.6206896551721,3187.0089820359281,4027.5490605427976
21,,,2402.5,3436.0220820189274,,2721.7572815533981,2957.5055762081784,2745.2836363636361,,2873.4117647058824,,,2769.1621621621621,,4082.3347457627119,3719.7603092783502,
22,,,2632.3370786516853,1879.0,,2887.6245954692558,3814.3792207792208,3849.9384236453202,2224.2149532710282,,3722.1654135338345,2502.5930232558139,,3109.1056603773586,3459.3534482758623,1671.3065693430658,
