depths,2008-08-13,2011-11-02,2012-08-08,2012-08-29,2012-10-02,2012-10-09,2012-11-02,2012-11-12,2012-12-04,2013-01-14,2013-03-27,2013-05-10,2013-06-17,2013-07-17,2013-08-12,2013-08-15,2013-08-16
00,,,,25.313478271702369,,41.916226889143694,36.916743576963547,39.331786627453532,16.899999999999995,24.74369694060664,8.0,18.145250524120069,,,,,
01,,,14.384485690553497,28.186043253442932,38.505853517348037,47.837805617420607,,47.734484520836837,,23.526387215737792,,,32.014492753623209,11.19842466699734,,31.30999707115474,
02,,,24.180210876490946,22.354866014322742,22.256492284174641,66.728421246577071,39.52309030182699,51.076215563708821,44.081482725795702,18.420267938644603,43.045378697946951,,,,25.909288370150296,,25.321543192990855
03,38.45218533101523,,24.075068150027153,20.35303879171548,42.373493886567239,37.624883966255879,40.856315587660426,39.866427785412093,,22.028548151245914,19.599999999999998,,46.225462410332973,32.309026981794069,38.338353700737514,,
04,,,38.272816238373593,42.17216176715224,17.215140738311696,55.24720451823854,,60.746297011668084,41.847514966455783,29.914087638998758,40.355088020609827,22.483546026602905,,,41.792370122225762,,
05,,54.332799829400194,78.129011803884183,47.577065679246267,31.196323616092791,56.166313395667856,70.178357133553035,28.965961317968752,,23.184289223445401,33.397350993377536,,32.757704692018699,58.69554864999656,13.333333333333332,,
06,,,36.272675121795167,49.89444779018725,71.231607251758973,54.097157998864922,,49.269004729446372,36.104970392059755,18.818851207909677,43.396482813749046,41.322653031808059,,60.941695926874246,34.491400356302798,,
07,,,48.96710034874252,34.20737404309785,73.374255007576977,47.372066354569213,36.314276677215545,59.332446974656392,,,39.316157332166135,,48.496631234910559,47.75639931952815,38.556719210074903,,
08,,,50.734255760416303,45.23979463254939,40.931672938891332,32.509734578009564,25.74299001594737,66.005850706615348,31.776307019942635,26.832813104142193,34.8591549295775,57.2281006809717,,,46.694390473806422,,47.97370068879129
09,,,41.139227690632552,42.323590571302994,54.016654990501067,37.579469069048422,22.748875165869208,50.857379993250859,,,42.494038938413667,,40.007089745806788,33.927816785101406,44.632205438548993,,
10,,,39.941449641350424,28.949467298734223,42.486396120864335,26.088599794591115,35.03253205300247,48.78830579198825,44.701379064445099,26.961982523082135,1.0,65.10944834867469,,49.21378728025347,43.194244351028196,,
11,,,47.250448410613835,25.661491604357973,22.994657724661369,41.056046979933171,15.270161844436918,47.892328820632059,,,33.789574039064391,,76.957177561489743,48.332992700394463,44.354329131707608,,
12,,,18.512126423938589,32.677905929172518,,43.376568870602448,38.675606436931922,11.340120235761256,48.938144135210507,29.984082527032424,32.755662498830041,63.746537597754241,,40.46748570510718,48.018907089486213,,39.580613370092671
13,,,38.164706703298734,27.625600098570221,19.39792208616932,23.596189255449953,,23.182233150893371,,,31.764629650620655,41.913642052565656,38.458240843774433,,27.930065774051982,,
14,,,,31.164833526601203,46.034399756741671,,31.297229039958722,34.021632699729324,36.20438447718076,25.244532135349388,29.129469420760117,39.680259929712726,,26.496747173731872,28.069927315301637,,
15,,,28.49518050302747,48.00472771661201,60.56942218892695,26.543420856189186,,40.691243020086809,,,10.285714285714283,3.2630356041179187,27.194906621392132,,29.199032432715594,,28.272011661126559
16,,,,26.564686172149258,21.004807461179844,3.0,39.067325568462586,28.720358902886058,45.488470358525134,11.206216464224799,24.171510057147497,14.776332617240103,,34.274138748114318,,,
17,,,28.721397452472665,32.605556868387254,77.198560507565489,44.903846606552641,,23.805192375680043,,13.551143751739271,20.866768119058275,,30.413625041619294,,39.125056032946695,,
18,,,,,26.585713382324293,48.288865997631433,45.933654870214554,22.209871283252465,52.614169984718785,19.941001726553704,12.452810269354165,10.888888888888886,,41.264036419301341,,,
19,1.6680441795127163,,58.463728906019263,56.297584347852947,60.742346621413631,26.185920042860118,,52.938717489358176,,10.515768651226072,5.8177544196657207,,47.018728461659968,,,,
20,,35.229122874912733,,,,18.22857089343157,24.723747123544339,48.068098466823514,57.925842174448078,20.717131805551329,11.545485058838366,,,41.938833104348447,53.420580075491536,60.24976861291583,47.328185887863199
21,,,27.827431042503882,25.694474467145106,,23.535506617229146,45.139773654107842,25.918274012995667,,22.772412948529134,,,44.842310494037768,,63.254817731032759,62.415821018809602,
22,,,63.909576672080981,149.52444262630283,,47.170702381627073,51.509102988920027,48.048430618140856,74.094145197625394,,67.511736067123181,35.114299262196369,,52.310799354757691,63.031291898433487,64.023218912455434,
