depths,2008-08-13,2011-11-02,2012-08-08,2012-08-29,2012-10-02,2012-10-09,2012-11-02,2012-11-12,2012-12-04,2013-01-14,2013-03-27,2013-05-10,2013-06-17,2013-07-17,2013-08-12,2013-08-15,2013-08-16
00,,,,92.749734175869136,,160.13289832869384,139.10243738254294,159.56891645889371,19.129881928292832,84.297744174403519,7.9999999999999982,58.806246445900349,,,,,
01,,,69.334367334361545,115.62355512237744,158.85341210020286,163.80999132253311,,141.95888233410491,,51.689205561975633,,,46.208320210398497,44.507985255396562,,111.7548285109677,
02,,,98.063085782257005,89.116862385266515,135.77040892460693,186.89788412889351,147.52148498756338,148.72411476016208,110.5226638815848,47.509169601215646,107.06712441976853,,,,98.758629544951106,,96.231773021958659
03,150.76106841722805,,96.903159231385871,68.398454906949496,177.61885828811623,161.46089422315612,146.81236491004228,153.71290946359477,,50.219603560407769,20.80392004791727,,149.6085712883538,104.57916333118965,135.28351394525853,,
04,,,146.31134912358877,156.6851108345667,111.70619426880789,162.99274959206508,,162.37448608908193,114.72043933932116,103.98243382764842,72.503335669922862,56.955242421017978,,,148.8624628629843,,
05,,194.62303550645893,217.88047084239091,171.63127774518065,139.27688189229704,169.75099896476206,202.89186359200076,120.5693690180341,,53.550310247682475,45.102077316347014,,136.8165249090921,148.0362407906448,21.703003118641778,,
06,,,163.72187851423672,154.58587995002213,204.95068030672252,180.15921317493957,,153.33244988466956,129.3769428200597,41.175512128177033,62.349886833570679,90.909826131712379,,158.06655836588641,101.25007068940718,,
07,,,147.96480598331408,121.39653278397472,243.77128838193133,212.97280133287691,134.28792958197073,166.65467340064285,,,97.792019987676539,,125.03718951487706,140.81952455200886,111.79967762122108,,
08,,,154.95346403153104,134.83031048688565,115.66234480681521,104.35204552631855,96.71749561881937,170.65919466644669,118.59274627275506,59.923702473698199,50.969658206600862,120.42320550104438,,,117.56990920816618,,86.013515786022168
09,,,123.44440297432776,128.5704137401282,164.21580666081144,114.24835484399371,103.68343614459255,141.61719683478665,,,107.64228176835567,,79.633166810956922,118.00956342945068,112.88064668402964,,
10,,,133.50725452095816,120.97700922856968,159.0060312686594,82.846717158965276,169.45429222076783,148.28176045193734,104.21398467988085,100.49814656447259,1.0,131.77301876451526,,117.20720342585564,113.79983095073098,,
11,,,144.98246844761709,100.00051932384144,100.30967809344644,133.52976123409852,79.033788671759808,139.06143718500434,,,92.939828227909359,,168.09776218193869,124.64161739514381,115.24035674540302,,
12,,,75.626387806078313,120.53008128105895,,150.36498266429189,150.22677066550804,76.983363082387399,132.91425428728843,98.795962992226848,92.806812816425037,131.5416166437501,,113.99934962884099,112.42861390043329,,117.8198754013642
13,,,113.41816427987796,97.538767438427342,71.265358734269668,68.952722881282156,,89.91724355783883,,,98.088421231031035,61.447920339038227,115.1573636472197,,90.923800056996924,,
14,,,,126.67604086700652,136.07488131667333,,118.98203576385583,122.16924692536753,130.44974994109677,62.51267776317232,84.399380774767593,79.927594704856901,,81.42341632666944,96.213256631940908,,
15,,,96.051903702709495,169.82662992294351,177.8362471830396,109.75415603571872,,109.54473783277226,,,10.690784617684079,13.622743088649065,52.989223196135157,,76.9472112817121,,93.240758289995526
16,,,,114.35151881511349,52.397580847115364,2.9999999999999996,121.3110783963767,117.09586325074478,125.07939672191155,36.972179936995857,65.728831884923309,62.976085696731523,,122.28054347853939,,,
17,,,117.25334726360342,124.57873902936356,232.6583581792211,160.76185065825669,,93.74523854664028,,55.354934691040505,73.006394506231416,,110.3051852945697,,122.22900267077773,,
18,,,,,125.35460469639099,164.43058018715209,165.78346364408009,108.10375705861279,194.34112936295068,116.04048369101483,57.754112022859481,11.48469498410693,,147.56026917687237,,,
19,2.0378465883891757,,187.31409986829593,178.59820338452963,195.78306319944252,111.07024377496671,,184.17996719480385,,42.197833466083544,30.078317916220811,,116.43419859769119,,,,
20,,142.26804570998681,,,,94.919323763926528,122.69581071887077,180.49309618343804,214.10650856491915,123.25895187907605,54.065372678794581,,,154.40112864137956,178.32828962208899,187.81108965787342,164.42857716294344
21,,,116.8910954239489,113.76512154400729,,112.26604741833421,159.97795444979099,126.20825070071918,,129.13682884004621,,,141.76769486309388,,199.21118131236548,196.90327430005269,
22,,,189.92753093349432,400.46062898901567,,173.03311628729617,197.53732920576641,199.22186074791369,211.64884211691398,,208.339311824231,115.80454655755706,,181.5897511408424,205.48202081874186,175.27995451794743,
