,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
2012-01-02,12.1890431638,12.182853036,12.1850772085,12.1856896865,12.1842792202,12.1817431767,12.1820008807,12.1820934422,12.1820433323,12.1823257141,12.1830747501,12.184483558,12.1850598376,12.1850337776,12.1836273362,12.1843204953,12.1848531336,12.1845018195,12.1859115405,12.188911005,12.2034221184,12.2160599101,12.25452814
2012-01-03,44.3966388189,11.9366856953,11.8882207914,11.8900331729,11.8870341737,11.8817753771,11.8822978487,11.8824866321,11.8823836945,11.8829686365,11.884530961,11.887453014,11.8886576603,11.8885919754,11.8856869997,11.8871181352,11.8882186747,11.8875047705,11.8904426083,11.8976830227,11.9276535796,11.9565086379,12.0316828843
2012-01-04,49.5761824134,21.6099491498,11.6111294462,11.6105423175,11.6057622596,11.597696725,11.59843655,11.5987197362,11.598575602,11.5994733635,11.6019283592,11.6064266197,11.6083293224,11.608172463,11.6037628636,11.6059326605,11.6076101524,11.6065782662,11.6112080555,11.6254110088,11.6714375908,11.7211691387,11.8234375303
2012-01-05,49.3328362322,42.925910386,11.6967601169,11.3448548274,11.3384879879,11.3275740194,11.3285127529,11.3288864222,11.3287042935,11.3298972614,11.3332284182,11.339382014,11.3420249247,11.3417877536,11.3357405361,11.3387136432,11.3410249884,11.3396158249,11.3461379959,11.3702703203,11.4339162317,11.5054334125,11.628422823
2012-01-06,48.6121684557,42.0267207697,11.5266736386,11.0917136407,11.0835402739,11.0696419802,11.0707925367,11.0712585928,11.0710334085,11.0725309714,11.0767465941,11.0846272065,11.0880505518,11.0877337149,11.0799403794,11.0837699954,11.086755293,11.084940842,11.0934773988,11.1270318729,11.2096957468,11.3024109702,11.4576326767
2012-01-07,47.8255786421,47.8230746895,17.3175566779,10.8496331631,10.8394838357,10.8224378982,10.8237995517,10.8243596085,10.8240889471,10.8259075276,10.8310656796,10.8407593913,10.8450086793,10.8446002949,10.8349849847,10.839707451,10.8433985064,10.8411642007,10.8517152971,10.8903286467,10.9935486052,11.1069627299,11.3222455425
2012-01-08,46.9421783685,46.9419969985,16.9136082016,10.6170016789,10.6052157662,10.5847393978,10.5863870338,10.5870496416,10.5867132198,10.5888772846,10.5950119011,10.6066595385,10.6117506942,10.611286669,10.5996722203,10.6053771777,10.6098292139,10.6071079268,10.6197449594,10.6645325725,10.7894720461,10.9257900679,11.2034113039
2012-01-09,46.0638203409,46.0631268704,18.0077666905,10.3972990871,10.3793508446,10.3553405935,10.357259482,10.3580253013,10.3576247485,10.3601500209,10.3673216097,10.3809887277,10.3869684931,10.3864270752,10.3727699588,10.3794773877,10.3847126905,10.3815070606,10.3963929457,10.4503672143,10.5977761162,10.7618061096,11.0919464797
2012-01-10,45.3526591583,44.6285139261,17.6237770848,10.1870957421,10.1608657516,10.1332207831,10.1353951611,10.1362646253,10.135801524,10.1387026695,10.1469680947,10.1627157277,10.1696281347,10.1689895625,10.1532476241,10.1609768675,10.1670173837,10.1633274678,10.1806080483,10.2453720795,10.4163187883,10.6109699688,10.9926505531
2012-01-11,44.6819717293,44.6689360429,30.2697485496,9.99876440263,9.94921171462,9.91792116095,9.92030835374,9.92127904248,9.92076206297,9.92405038388,9.93347312598,9.95133353489,9.959231526,9.95845702963,9.94063659859,9.94938154144,9.95623704934,9.9520828946,9.97172888483,10.0425902073,10.2385573881,10.4606448263,10.931567719
