,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
2012-01-02,27.786934167,27.7996243975,27.7983368544,27.7977087044,27.7997389169,27.8032842042,27.8029634232,27.8028577708,27.8029409634,27.8025601431,27.8015318569,27.7995918893,27.7988001083,27.7988377357,27.8007779564,27.7998225288,27.7990885825,27.7995731953,27.797630787,27.7935043525,27.7736745759,27.7565849615,27.7055908401
2012-01-03,22.4301095082,27.9832767448,27.9937535392,27.992290112,27.9964862843,28.0036563438,28.0030157213,28.0028018004,28.0029665848,28.0021938232,28.0000971645,27.9961670656,27.9945513486,27.9946430262,27.9985546084,27.9966284323,27.9951482256,27.996109382,27.9921604434,27.9824776207,27.9428517166,27.9055804807,27.8117654906
2012-01-04,21.4670951618,26.6109284668,28.1845902782,28.183388323,28.1899081283,28.2006718616,28.1997754981,28.1994568419,28.1996855838,28.1985164285,28.1952909651,28.1893724199,28.1868774102,28.1870878415,28.1928943486,28.1900376486,28.1878312804,28.1891906728,28.1831104538,28.1646646458,28.1057790403,28.0444696259,27.9236043474
2012-01-05,21.29110935,22.9878307056,28.3135776607,28.3709685257,28.3796089575,28.3940584235,28.3929066448,28.3924790885,28.3927744664,28.3911963265,28.3868157534,28.3788442932,28.3754506816,28.3757604493,28.3835599219,28.3797249617,28.3767474196,28.3785665146,28.3701861373,28.3397303837,28.2609229104,28.1764350985,28.0381170648
2012-01-06,21.1224018059,23.2171145521,28.4858035667,28.5542298996,28.565293005,28.5835537992,28.5821283798,28.581588184,28.5819557635,28.5799556705,28.5743921624,28.5643040639,28.5599928875,28.5603971721,28.5702571834,28.5654105499,28.56163824,28.563936563,28.5531870776,28.5118585575,28.4123009127,28.3066654467,28.1404873533
2012-01-07,20.8222739443,20.8228778793,27.9525471012,28.7330785891,28.7467500045,28.7689024698,28.7672123308,28.766559223,28.7669981104,28.7645663813,28.7577847523,28.7455378058,28.7402812506,28.7407914872,28.7527422636,28.7468700257,28.7422882271,28.7450691079,28.7320228536,28.6853273034,28.563447576,28.4376920999,28.2189066436
2012-01-08,20.605381021,20.6053628345,28.2416317957,28.9073109343,28.9237379608,28.9500232964,28.947978484,28.9472035751,28.9477366536,28.9448554913,28.9368500931,28.922333637,28.9161383792,28.9167075011,28.9309083127,28.9239288531,28.9184923281,28.9218245004,28.9064550863,28.8531913969,28.7085275746,28.5614989306,28.2931033056
2012-01-09,20.3523658627,20.3524851167,28.3919424941,29.0758008534,29.0960397673,29.1264983213,29.1241336851,29.123239142,29.1238602727,29.120523137,29.1112541976,29.0944451952,29.0872770407,29.0879301988,29.1043787432,29.0962948958,29.0899974675,29.0938641332,29.0760338394,29.0129065504,28.8457658038,28.6744443388,28.3697572252
2012-01-10,19.8112022641,21.1837643583,28.6883233999,29.2386554202,29.2634434165,29.2981145293,29.2954628179,29.2944508455,29.2951545563,29.2913551642,29.2807853347,29.261659874,29.2534864711,29.2542453869,29.2729451478,29.2637568193,29.2565902506,29.2609802808,29.2405700233,29.1660093394,28.9761362818,28.7792283632,28.442289154
2012-01-11,19.1814326468,19.1912876976,25.4796161424,29.395448958,29.4260041905,29.4648564138,29.4619833861,29.4608597112,29.4616318002,29.4573672526,29.4454502238,29.4240118989,29.4147888456,29.4156967975,29.4366009542,29.4263346499,29.418302773,29.4231837292,29.4002708893,29.3196200968,29.1050206023,28.8847908553,28.4880666056
2012-01-12,18.8164314713,18.8168929952,25.9992487319,29.5475004285,29.5837413858,29.6267468405,29.6237317647,29.6225020386,29.6233271795,29.6185942691,29.6052851583,29.5815417704,29.5712243414,29.5723262508,29.5953792858,29.5840667962,29.5751761132,29.5805054165,29.5550070309,29.4680780782,29.228234181,28.9834681477,28.5238372198
2012-01-13,18.6753359403,18.676401359,26.4917760351,29.6946241973,29.7368099686,29.7836249377,29.7807635631,29.7794470644,29.7802655496,29.7750725631,29.7602848068,29.7343748056,29.7228601148,29.7242997819,29.7492029044,29.7370075662,29.7273215596,29.732926014,29.7046413537,29.6109343963,29.3458471893,29.0743324052,28.5503096309
2012-01-14,17.8723955335,17.8723278056,17.8760701182,28.4389236155,29.8855358604,29.9355115015,29.9331348532,29.9317431189,29.9325200249,29.9268612761,29.9105502718,29.8825397788,29.8697650023,29.8716093946,29.8982089725,29.8852229298,29.8747640022,29.8805770937,29.8496588198,29.7494172274,29.4578397843,29.1590859825,28.5623475714
2012-01-15,17.389843006,17.3897626452,17.3897226917,17.3918712763,29.1270489177,30.0823931183,30.0808979753,30.079471382,30.0801449855,30.0740081367,30.0561177329,30.0261585923,30.012037265,30.014416746,30.0423487426,30.0287860507,30.017638952,30.0233754724,29.9876697064,29.8500254263,29.5397722436,29.1932829343,28.6702996977
2012-01-16,17.10558625,17.1056160469,17.10844275,17.1330935022,29.5670506934,30.2251430561,30.2241414256,30.2226730806,30.2232824556,30.2166427176,30.1972039358,30.1651437361,30.1497160787,30.1525201277,30.1820513667,30.1677774974,30.1558648431,30.1616677268,30.121175244,29.9551419514,29.6208298913,29.2436198078,28.7322286874
