time,ShortWave,LongWave,AirTemp,RelHum,WindSpeed,Rain,Snow
2010-01-01,36.9014792442,283.979217529,-0.8,38.4049110413,3.4,0.0,0.0
2010-01-02,31.9783730507,280.65032959,-3.6,39.6505012512,6.9,0.0109,0.163
2010-01-03,34.5839223862,258.095703125,-4.45,36.9660682678,9.3,0.0051,0.094
2010-01-04,64.7339515686,237.287689209,-0.8,41.4954185486,7.0,0.0,0.0
2010-01-05,46.2569904327,242.76109314,-0.85,21.791639328,4.5,0.0,0.0
2010-01-06,77.032705307,217.00668335,-1.65,32.545715332,5.9,0.0,0.0
2010-01-07,82.5746765137,218.940139771,1.1,31.2324542999,5.9,0.0,0.0
2010-01-08,52.9868202209,238.833908081,-3.9,31.1377811432,3.7,0.0003,0.005
2010-01-09,85.3241558075,195.880828857,-6.7,27.3077964783,6.6,0.0,0.0
2010-01-10,81.0592098236,183.271408081,-6.95,23.1665115356,5.1,0.0,0.0
2010-01-11,73.3650169373,213.556671143,-3.05,31.6897659302,4.7,0.0,0.0
2010-01-12,59.3556156158,247.734405518,-3.9,43.8833770752,6.0,0.0,0.0
2010-01-13,66.1109409332,211.769073486,-5.55,24.7278327942,5.8,0.0,0.0
2010-01-14,73.9711360931,247.398406982,-2.75,27.7741107941,2.9,0.0,0.0
2010-01-15,50.6692848206,278.364562988,3.6,33.7069778442,5.4,0.0,0.0
2010-01-16,88.5356884003,247.143066406,4.45,25.8417434692,4.7,0.0,0.0
2010-01-17,42.7972669601,267.903381348,2.2,46.801815033,4.1,0.0109,0.0
2010-01-18,40.1153078079,285.36026001,0.25,54.1494522095,8.4,0.018,0.048
2010-01-19,18.5771431923,286.277770996,0.8,38.7620277405,1.8,0.0076,0.02
2010-01-20,42.116771698,278.825744629,1.1,22.2681102753,4.1,0.0,0.0
2010-01-21,93.3013038635,217.717758179,1.4,16.1749839783,4.3,0.0,0.0
2010-01-22,79.6592321396,234.356216431,-0.55,23.3317508698,4.4,0.0,0.0
2010-01-23,93.0388450623,216.590209961,-2.2,16.2604064941,2.9,0.0,0.0
2010-01-24,49.9870986938,254.151916504,0.55,40.481262207,2.5,0.0,0.0
2010-01-25,15.5930643082,319.37322998,8.35,65.9023132324,7.6,0.0206,0.0
2010-01-26,70.3407077789,286.137786865,6.4,31.9487438202,6.0,0.0,0.0
2010-01-27,85.2149715424,239.340270996,3.05,25.4166526794,5.0,0.0,0.0
2010-01-28,51.0339860916,253.665756226,-1.95,29.9133148193,6.0,0.0005,0.005
2010-01-29,96.5012016296,198.571609497,-9.15,16.8941841125,11.0,0.0,0.0
2010-01-30,88.8075313568,194.028549194,-10.0,25.2085437775,5.1,0.0,0.0
2010-01-31,100.573740005,209.270874023,-6.15,33.4386367798,5.3,0.0,0.0
2010-02-01,111.349369049,213.864440918,-1.95,22.2685585022,6.8,0.0,0.0
2010-02-02,76.5589323044,227.988189697,-2.5,40.3499298096,3.3,0.0,0.0
2010-02-03,62.9347600937,264.871063232,-1.65,36.8931694031,2.5,0.0005,0.01
2010-02-04,109.118261337,212.635894775,-1.4,20.3260269165,5.7,0.0,0.0
2010-02-05,96.080116272,220.747421265,-1.95,33.0440673828,4.6,0.0,0.0
2010-02-06,65.3390598297,252.218093872,-5.85,40.1268539429,6.1,0.0,0.0
2010-02-07,114.427566528,205.948852539,-4.45,22.0893268585,7.4,0.0,0.0
2010-02-08,111.22259903,217.777435303,-2.5,22.1457977295,7.1,0.0,0.0
2010-02-09,118.78834343,226.479156494,0.0,32.4856376648,4.7,0.0,0.0
2010-02-10,33.5006146431,280.215332031,0.25,50.9110527039,6.8,0.0051,0.03
2010-02-11,113.040843964,255.181259155,1.35,42.7376403809,7.0,0.0,0.0
2010-02-12,133.329872131,210.694656372,0.0,24.786687851,6.0,0.0,0.0
2010-02-13,102.445087433,226.366012573,-0.85,30.428155899,5.4,0.0,0.0
2010-02-14,103.133045197,254.231369019,1.1,43.0284919739,7.8,0.0,0.0
2010-02-15,83.0477972031,273.35635376,1.65,36.0524368286,5.9,0.0,0.0
2010-02-16,35.4910840988,272.705657959,0.0,30.9392261505,5.4,0.0165,0.135
2010-02-17,69.8377895355,271.152252197,0.3,35.8952331543,5.8,0.0,0.0
2010-02-18,109.542821884,271.058654785,4.2,35.8923301697,6.9,0.0,0.0
2010-02-19,107.003879547,257.418121338,2.75,27.6405982971,7.8,0.0,0.0
2010-02-20,124.835016251,249.713226318,5.55,29.7409915924,6.3,0.0,0.0
2010-02-21,130.831762314,239.880462646,2.8,27.3999824524,6.3,0.0,0.0
2010-02-22,135.088056564,234.029785156,3.35,31.0005912781,4.5,0.0,0.0
2010-02-23,30.2198295593,297.549530029,2.5,47.3358001709,6.0,0.0,0.0
2010-02-24,17.619582653,303.533172607,3.9,55.1570549011,7.6,0.0284,0.0
2010-02-25,29.0014891624,301.933044434,5.0,49.4611129761,7.7,0.0325,0.0
2010-02-26,67.8912372589,301.622009277,3.9,34.6842651367,7.8,0.0008,0.0
2010-02-27,67.5998773575,292.658996582,1.9,28.3561725616,3.4,0.001,0.003
