time,FLOW
2010-01-01,46.4
2010-01-02,41.6
2010-01-03,38.4
2010-01-04,36.0
2010-01-05,41.6
2010-01-06,43.2
2010-01-07,36.0
2010-01-08,30.4
2010-01-09,26.4
2010-01-10,24.0
2010-01-11,20.0
2010-01-12,20.0
2010-01-13,18.4
2010-01-14,17.6
2010-01-15,16.8
2010-01-16,17.6
2010-01-17,20.8
2010-01-18,44.0
2010-01-19,37.6
2010-01-20,35.2
2010-01-21,36.8
2010-01-22,26.4
2010-01-23,24.0
2010-01-24,21.6
2010-01-25,102.4
2010-01-26,179.2
2010-01-27,108.0
2010-01-28,71.2
2010-01-29,60.8
2010-01-30,48.8
2010-01-31,43.2
2010-02-01,38.4
2010-02-02,34.4
2010-02-03,32.0
2010-02-04,29.6
2010-02-05,27.2
2010-02-06,25.6
2010-02-07,23.2
2010-02-08,21.6
2010-02-09,20.0
2010-02-10,20.0
2010-02-11,20.0
2010-02-12,20.0
2010-02-13,19.2
2010-02-14,17.6
2010-02-15,16.8
2010-02-16,18.4
2010-02-17,20.0
2010-02-18,20.8
2010-02-19,20.8
2010-02-20,19.2
2010-02-21,18.4
2010-02-22,24.8
2010-02-23,18.4
2010-02-24,152.8
2010-02-25,269.6
2010-02-26,368.0
2010-02-27,207.2
2010-02-28,144.0
2010-03-01,127.2
2010-03-02,108.0
2010-03-03,85.6
2010-03-04,79.2
2010-03-05,71.2
2010-03-06,63.2
2010-03-07,57.6
2010-03-08,52.8
2010-03-09,48.8
2010-03-10,48.0
2010-03-11,28.8
2010-03-12,27.2
2010-03-13,59.2
2010-03-14,519.2
2010-03-15,1136.0
2010-03-16,896.0
2010-03-17,354.4
2010-03-18,210.4
2010-03-19,168.8
2010-03-20,143.2
2010-03-21,122.4
2010-03-22,111.2
2010-03-23,197.6
2010-03-24,184.0
2010-03-25,100.0
2010-03-26,103.2
2010-03-27,108.0
2010-03-28,116.8
2010-03-29,151.2
2010-03-30,418.4
2010-03-31,888.0
2010-04-01,442.4
2010-04-02,224.0
2010-04-03,174.4
2010-04-04,147.2
2010-04-05,113.6
2010-04-06,81.6
2010-04-07,69.6
2010-04-08,57.6
2010-04-09,79.2
2010-04-10,113.6
2010-04-11,80.8
2010-04-12,68.0
2010-04-13,62.4
2010-04-14,68.0
2010-04-15,82.4
2010-04-16,72.0
2010-04-17,95.2
2010-04-18,92.0
2010-04-19,72.8
2010-04-20,56.0
2010-04-21,52.0
2010-04-22,48.0
2010-04-23,43.2
2010-04-24,40.0
2010-04-25,36.8
2010-04-26,35.2
2010-04-27,34.4
2010-04-28,32.8
2010-04-29,29.6
2010-04-30,26.4
2010-05-01,24.8
2010-05-02,23.2
2010-05-03,22.4
2010-05-04,20.8
2010-05-05,20.0
2010-05-06,12.8
2010-05-07,10.4
2010-05-08,44.0
2010-05-09,42.4
2010-05-10,20.8
2010-05-11,16.0
2010-05-12,14.4
2010-05-13,14.4
2010-05-14,12.8
2010-05-15,14.4
2010-05-16,12.0
2010-05-17,12.0
2010-05-18,12.8
2010-05-19,91.2
2010-05-20,45.6
2010-05-21,26.4
2010-05-22,16.8
2010-05-23,14.4
2010-05-24,12.8
2010-05-25,12.0
2010-05-26,11.2
2010-05-27,14.4
2010-05-28,11.2
2010-05-29,10.4
2010-05-30,9.6
2010-05-31,8.8
2010-06-01,16.0
2010-06-02,10.4
2010-06-03,15.2
2010-06-04,28.0
2010-06-05,28.8
2010-06-06,30.4
2010-06-07,26.4
2010-06-08,13.6
2010-06-09,10.4
2010-06-10,12.0
2010-06-11,15.2
2010-06-12,12.0
2010-06-13,12.8
2010-06-14,10.4
2010-06-15,16.8
2010-06-16,9.6
2010-06-17,9.6
2010-06-18,8.8
2010-06-19,8.0
2010-06-20,7.52
2010-06-21,7.36
2010-06-22,5.04
2010-06-23,3.36
2010-06-24,7.36
2010-06-25,8.0
2010-06-26,6.08
2010-06-27,6.48
2010-06-28,8.0
2010-06-29,12.8
2010-06-30,3.28
2010-07-01,0.96
2010-07-02,2.56
2010-07-03,3.92
2010-07-04,3.76
2010-07-05,3.44
2010-07-06,3.52
2010-07-07,3.84
2010-07-08,3.2
2010-07-09,2.96
2010-07-10,19.2
2010-07-11,10.4
2010-07-12,6.0
2010-07-13,13.6
2010-07-14,28.8
2010-07-15,14.4
2010-07-16,6.8
2010-07-17,5.76
2010-07-18,4.16
2010-07-19,3.44
2010-07-20,3.36
2010-07-21,3.12
2010-07-22,4.4
2010-07-23,7.92
2010-07-24,9.6
2010-07-25,4.4
2010-07-26,3.6
2010-07-27,2.88
2010-07-28,2.56
2010-07-29,2.4
2010-07-30,2.08
2010-07-31,2.08
2010-08-01,2.08
2010-08-02,1.92
2010-08-03,2.0
2010-08-04,1.92
2010-08-05,2.0
2010-08-06,1.92
2010-08-07,1.52
2010-08-08,1.68
2010-08-09,1.76
2010-08-10,2.0
2010-08-11,2.0
2010-08-12,1.52
2010-08-13,1.52
2010-08-14,1.52
2010-08-15,1.44
2010-08-16,1.84
2010-08-17,1.84
2010-08-18,1.52
2010-08-19,1.44
2010-08-20,1.44
2010-08-21,1.28
2010-08-22,1.6
2010-08-23,13.6
2010-08-24,12.8
2010-08-25,151.2
2010-08-26,84.8
2010-08-27,20.0
2010-08-28,8.8
2010-08-29,6.8
2010-08-30,5.6
2010-08-31,4.96
2010-09-01,11.2
2010-09-02,6.8
2010-09-03,8.0
2010-09-04,19.2
2010-09-05,6.08
2010-09-06,4.48
2010-09-07,4.0
2010-09-08,4.88
2010-09-09,4.88
2010-09-10,4.48
2010-09-11,4.16
2010-09-12,3.92
2010-09-13,3.68
2010-09-14,3.12
2010-09-15,5.04
2010-09-16,0.488
2010-09-17,3.04
2010-09-18,3.2
2010-09-19,2.8
2010-09-20,2.32
2010-09-21,2.08
2010-09-22,2.32
2010-09-23,2.08
2010-09-24,1.92
2010-09-25,2.0
2010-09-26,1.52
2010-09-27,1.6
2010-09-28,38.4
2010-09-29,38.4
2010-09-30,14.4
2010-10-01,21.6
2010-10-02,50.4
2010-10-03,11.2
2010-10-04,12.0
2010-10-05,5.12
2010-10-06,48.0
2010-10-07,52.0
2010-10-08,16.8
2010-10-09,8.8
2010-10-10,7.2
2010-10-11,6.4
2010-10-12,6.0
2010-10-13,5.52
2010-10-14,5.12
2010-10-15,116.8
2010-10-16,63.2
2010-10-17,21.6
2010-10-18,12.8
2010-10-19,10.4
2010-10-20,9.6
2010-10-21,8.8
2010-10-22,7.68
2010-10-23,6.88
2010-10-24,6.4
2010-10-25,6.4
2010-10-26,6.16
2010-10-27,6.32
2010-10-28,6.08
2010-10-29,5.28
2010-10-30,5.2
2010-10-31,4.96
2010-11-01,4.56
2010-11-02,4.4
2010-11-03,4.48
2010-11-04,28.0
2010-11-05,52.8
2010-11-06,24.0
2010-11-07,13.6
2010-11-08,42.4
2010-11-09,49.6
2010-11-10,36.0
2010-11-11,23.2
2010-11-12,17.6
2010-11-13,14.4
2010-11-14,12.8
2010-11-15,11.2
2010-11-16,11.2
2010-11-17,71.2
2010-11-18,54.4
2010-11-19,31.2
2010-11-20,20.8
2010-11-21,16.8
2010-11-22,14.4
2010-11-23,13.6
2010-11-24,12.0
2010-11-25,10.4
2010-11-26,16.8
2010-11-27,14.4
2010-11-28,12.0
2010-11-29,10.4
2010-11-30,9.6
2010-12-01,16.0
2010-12-02,39.2
2010-12-03,21.6
2010-12-04,15.2
2010-12-05,12.8
2010-12-06,11.2
2010-12-07,10.4
2010-12-08,9.6
2010-12-09,8.8
2010-12-10,7.84
2010-12-11,7.6
2010-12-12,40.0
2010-12-13,183.2
2010-12-14,100.8
2010-12-15,54.4
2010-12-16,37.6
2010-12-17,28.8
2010-12-18,23.2
2010-12-19,20.8
2010-12-20,19.2
2010-12-21,18.4
2010-12-22,16.8
2010-12-23,17.6
2010-12-24,16.0
2010-12-25,14.4
2010-12-26,13.6
2010-12-27,16.8
2010-12-28,13.6
2010-12-29,12.8
2010-12-30,12.8
2010-12-31,12.0
2011-01-01,13.6
2011-01-02,19.2
2011-01-03,21.6
2011-01-04,18.4
2011-01-05,16.0
2011-01-06,14.4
2011-01-07,12.8
2011-01-08,12.0
2011-01-09,12.0
2011-01-10,10.4
2011-01-11,10.4
2011-01-12,13.6
2011-01-13,12.8
2011-01-14,12.0
2011-01-15,10.4
2011-01-16,10.4
2011-01-17,9.6
2011-01-18,16.8
2011-01-19,60.8
2011-01-20,52.8
2011-01-21,38.4
2011-01-22,28.0
2011-01-23,21.6
2011-01-24,17.6
2011-01-25,16.0
2011-01-26,15.2
2011-01-27,17.6
2011-01-28,16.0
2011-01-29,15.2
2011-01-30,14.4
2011-01-31,12.0
2011-02-01,12.8
2011-02-02,16.0
2011-02-03,15.2
2011-02-04,14.4
2011-02-05,14.4
2011-02-06,29.6
2011-02-07,26.4
2011-02-08,33.6
2011-02-09,28.8
2011-02-10,23.2
2011-02-11,19.2
2011-02-12,17.6
2011-02-13,16.0
2011-02-14,18.4
2011-02-15,23.2
2011-02-16,19.2
2011-02-17,20.8
