# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-06-30 10:07:12 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01104430 HOBBS BK BELOW CAMBRIDGE RES NR KENDALL GREEN, MA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01104430
#    DD parameter statistic   Description
#    02   00060     00003     Discharge, cubic feet per second (Mean)
#    03   00010     00001     Temperature, water, degrees Celsius (Maximum)
#    03   00010     00002     Temperature, water, degrees Celsius (Minimum)
#    03   00010     00003     Temperature, water, degrees Celsius (Mean)
#    04   00095     00001     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Maximum)
#    04   00095     00002     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Minimum)
#    04   00095     00003     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Mean)
#    13   00020     00001     Temperature, air, degrees Celsius (Maximum)
#    13   00020     00002     Temperature, air, degrees Celsius (Minimum)
#    13   00020     00003     Temperature, air, degrees Celsius (Mean)
#    14   00045     00006     Precipitation, total, inches (Sum)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	02_00060_00003	02_00060_00003_cd	03_00010_00001	03_00010_00001_cd	03_00010_00002	03_00010_00002_cd	03_00010_00003	03_00010_00003_cd	04_00095_00001	04_00095_00001_cd	04_00095_00002	04_00095_00002_cd	04_00095_00003	04_00095_00003_cd	13_00020_00001	13_00020_00001_cd	13_00020_00002	13_00020_00002_cd	13_00020_00003	13_00020_00003_cd	14_00045_00006	14_00045_00006_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	01104430	2005-10-01	26	A	21.1	A	20.3	A	20.7	A	815	A	799	A	805	A							0.00	A
USGS	01104430	2005-10-02	24	A	21.1	A	20.0	A	20.6	A	812	A	797	A	804	A							0.00	A
USGS	01104430	2005-10-03	20	A	20.8	A	20.4	A	20.6	A	813	A	796	A	807	A							0.00	A
USGS	01104430	2005-10-04	16	A	20.8	A	20.3	A	20.6	A	816	A	803	A	809	A							0.00	A
USGS	01104430	2005-10-05	16	A	20.9	A	20.4	A	20.7	A	817	A	798	A	807	A							0.00	A
USGS	01104430	2005-10-06	16	A	21.1	A	20.7	A	20.9	A	819	A	802	A	812	A							0.01	A
USGS	01104430	2005-10-07	1.4	A	21.1	A	16.9	A	17.4	A	814	A	798	A	803	A							0.00	A
USGS	01104430	2005-10-08	0.88	A	17.7	A	16.6	A	17.1	A	807	A	800	A	803	A							0.00	A
USGS	01104430	2005-10-09	6.3	A	17.6	A	16.8	A	17.2	A	807	A	799	A	803	A							0.00	A
USGS	01104430	2005-10-10	13	A	17.4	A	17.1	A	17.2	A	804	A	796	A	801	A							0.00	A
USGS	01104430	2005-10-11	13	A	17.6	A	17.0	A	17.3	A	805	A	790	A	803	A							0.00	A
USGS	01104430	2005-10-12	0.58	A	18.7	A	17.1	A	17.9	A	804	A	795	A	800	A							0.42	A
USGS	01104430	2005-10-13	0.05	A	17.4	A	16.8	A	17.1	A	800	A	792	A	797	A							0.13	A
USGS	01104430	2005-10-14	0.06	A	17.5	A	16.8	A	17.1	A	799	A	687	A	781	A							2.04	A
USGS	01104430	2005-10-15	0.14	A	17.6	A	16.3	A	17.0	A	697	A	599	A	659	A							3.31	A
USGS	01104430	2005-10-16	0.09	A	16.9	A	15.3	A	16.0	A	749	A	697	A	730	A							0.28	A
USGS	01104430	2005-10-17	0.09	A	17.1	A	14.9	A	15.6	A	768	A	746	A	754	A							0.00	A
USGS	01104430	2005-10-18	0.08	A	16.5	A	13.9	A	14.8	A	773	A	751	A	765	A							0.01	A
