# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-06-30 10:13:06 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01104405 HOBBS BROOK AT MILL ST NR LINCOLN, MA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01104405
#    DD parameter statistic   Description
#    02   00060     00003     Discharge, cubic feet per second (Mean)
#    03   00010     00003     Temperature, water, degrees Celsius (Mean)
#    04   00095     00003     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	02_00060_00003	02_00060_00003_cd	03_00010_00003	03_00010_00003_cd	04_00095_00003	04_00095_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s
USGS	01104405	2011-11-15	3.7	A	11.5	A	260	A
USGS	01104405	2011-11-16	4.2	A	11.3	A	264	A
USGS	01104405	2011-11-17	5.7	A	10.2	A	256	A
USGS	01104405	2011-11-18	4.4	A	6.5	A	254	A
USGS	01104405	2011-11-19	3.8	A	5.6	A	259	A
USGS	01104405	2011-11-20	3.6	A	8.3	A	262	A
USGS	01104405	2011-11-21	3.4	A	8.4	A	264	A
USGS	01104405	2011-11-22	3.2	A	5.5	A	268	A
USGS	01104405	2011-11-23	16	A	6.0	A	221	A
USGS	01104405	2011-11-24	10	A	4.5	A	202	A
USGS	01104405	2011-11-25	6.1	A	4.9	A	220	A
USGS	01104405	2011-11-26	5.0	A	6.5	A	235	A
USGS	01104405	2011-11-27	4.4	A	6.3	A	244	A
USGS	01104405	2011-11-28	4.2	A	8.7	A	249	A
USGS	01104405	2011-11-29	4.0	A	10.2	A	253	A
USGS	01104405	2011-11-30	12	A	10.7	A	215	A
USGS	01104405	2011-12-01	6.7	A	7.1	A	216	A
USGS	01104405	2011-12-02	5.1	A	5.1	A	226	A
USGS	01104405	2011-12-03	4.5	A	4.6	A	235	A
USGS	01104405	2011-12-04	4.1	A	4.5	A	243	A
USGS	01104405	2011-12-05	4.0	A	6.5	A	246	A
USGS	01104405	2011-12-06	4.0	A	9.0	A	248	A
USGS	01104405	2011-12-07	9.5	A	9.5	A	225	A
USGS	01104405	2011-12-08	30	A	6.3	A	163	A
USGS	01104405	2011-12-09	12	A	4.9	A	172	A
USGS	01104405	2011-12-10	7.9	A	5.4	A	196	A
USGS	01104405	2011-12-11	6.3	A	2.8	A	211	A
USGS	01104405	2011-12-12	5.7	A	2.5	A	222	A
USGS	01104405	2011-12-13	5.3	A	2.2	A	228	A
USGS	01104405	2011-12-14	5.1	A	3.2	A	231	A
USGS	01104405	2011-12-15	5.1	A	4.9	A	232	A
USGS	01104405	2011-12-16	5.0	A	6.2	A	232	A
USGS	01104405	2011-12-17	4.6	A	3.9	A	234	A
USGS	01104405	2011-12-18	4.0	A	1.1	A	243	A
USGS	01104405	2011-12-19	3.5	A	1.0	A	261	A
USGS	01104405	2011-12-20	3.9	A	2.3	A	251	A
USGS	01104405	2011-12-21	4.0	A	2.8	A	249	A
