# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-06-30 10:49:15 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01104410 CAMBRIDGE RES., UNNAMED TRIB 1, NR LEXINGTON, MA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01104410
#    DD parameter statistic   Description
#    02   00060     00003     Discharge, cubic feet per second (Mean)
#    03   00010     00003     Temperature, water, degrees Celsius (Mean)
#    04   00095     00003     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	02_00060_00003	02_00060_00003_cd	03_00010_00003	03_00010_00003_cd	04_00095_00003	04_00095_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s
USGS	01104410	2011-11-16	0.80	A	11.7	A	1020	A
USGS	01104410	2011-11-17	1.00	A	10.2	A	1000	A
USGS	01104410	2011-11-18	0.65	A	6.9	A	1070	A
USGS	01104410	2011-11-19	0.46	A	6.5	A	1070	A
USGS	01104410	2011-11-20	0.51	A	9.2	A	1080	A
USGS	01104410	2011-11-21	0.58	A	8.7	A	1090	A
USGS	01104410	2011-11-22	0.45	A	6.2	A	1100	A
USGS	01104410	2011-11-23	3.4	A	6.1	A	641	A
USGS	01104410	2011-11-24	1.3	A	5.4	A	806	A
USGS	01104410	2011-11-25	1.0	A	6.1	A	860	A
USGS	01104410	2011-11-26	0.98	A	7.5	A	900	A
USGS	01104410	2011-11-27	0.82	A	7.2	A	922	A
USGS	01104410	2011-11-28	0.83	A	9.6	A	941	A
USGS	01104410	2011-11-29	0.75	A	11.0	A	955	A
USGS	01104410	2011-11-30	2.8	A	10.9	A	710	A
USGS	01104410	2011-12-01	1.2	A	7.5	A	841	A
USGS	01104410	2011-12-02	0.95	A	6.0	A	866	A
USGS	01104410	2011-12-03	0.86	A	5.5	A	900	A
USGS	01104410	2011-12-04	0.72	A	5.7	A	917	A
USGS	01104410	2011-12-05	0.73	A	7.5	A	948	A
USGS	01104410	2011-12-06	0.75	A	9.9	A	949	A
USGS	01104410	2011-12-07	2.7	A	9.7	A	695	A
USGS	01104410	2011-12-08	5.7	A	6.4	A	453	A
USGS	01104410	2011-12-09	2.1	A	5.9	A	603	A
USGS	01104410	2011-12-10	1.8	A	6.3	A	667	A
USGS	01104410	2011-12-11	1.4	A	4.0	A	711	A
USGS	01104410	2011-12-12	1.2	A	4.0	A	732	A
USGS	01104410	2011-12-13	1.1	A	3.7	A	762	A
USGS	01104410	2011-12-14	1.1	A	4.7	A	794	A
USGS	01104410	2011-12-15	0.90	A	6.0	A	836	A
USGS	01104410	2011-12-16	1.2	A	6.8	A	871	A
USGS	01104410	2011-12-17	0.99	A	4.9	A	860	A
USGS	01104410	2011-12-18	0.85	A	2.3	A	909	A
USGS	01104410	2011-12-19	0.62	A	2.5	A	933	A
USGS	01104410	2011-12-20	0.89	A	3.9	A	918	A
USGS	01104410	2011-12-21	0.65	A	4.6	A	921	A
USGS	01104410	2011-12-22	2.1	A	5.3	A	832	A
USGS	01104410	2011-12-23	2.9	A	4.7	A	693	A
USGS	01104410	2011-12-24	1.3	A	2.7	A	816	A
USGS	01104410	2011-12-25	0.72	A	2.5	A	860	A
USGS	01104410	2011-12-26	1.0	A	3.7	A	866	A
USGS	01104410	2011-12-27	0.78	A	4.0	A	798	A
USGS	01104410	2011-12-28	1.6	A	4.6	A	858	A
USGS	01104410	2011-12-29	1.0	A	1.9	A	973	A
USGS	01104410	2011-12-30	0.80	A	3.2	A	988	A
USGS	01104410	2011-12-31	0.79	A	4.2	A	988	A
USGS	01104410	2012-01-01	0.76	A	4.5	A	1010	A
USGS	01104410	2012-01-02	0.90	A	4.7	A	1020	A
