# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-06-30 10:46:54 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01104415 CAMBRIDGE RES., UNNAMED TRIB 2, NR LEXINGTON, MA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01104415
#    DD parameter statistic   Description
#    02   00060     00003     Discharge, cubic feet per second (Mean)
#    03   00010     00001     Temperature, water, degrees Celsius (Maximum)
#    03   00010     00002     Temperature, water, degrees Celsius (Minimum)
#    03   00010     00003     Temperature, water, degrees Celsius (Mean)
#    04   00095     00001     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Maximum)
#    04   00095     00002     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Minimum)
#    04   00095     00003     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	02_00060_00003	02_00060_00003_cd	03_00010_00001	03_00010_00001_cd	03_00010_00002	03_00010_00002_cd	03_00010_00003	03_00010_00003_cd	04_00095_00001	04_00095_00001_cd	04_00095_00002	04_00095_00002_cd	04_00095_00003	04_00095_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	01104415	2004-10-01	0.62	A	15.8	A	13.7	A	14.7	A	1340	A	1170	A	1260	A
USGS	01104415	2004-10-02	0.57	A	15.5	A	13.9	A	14.6	A	1570	A	1080	A	1370	A
USGS	01104415	2004-10-03	0.51	A	15.4	A	12.4	A	14.2	A	1570	A	1160	A	1330	A
USGS	01104415	2004-10-04	0.41	A	14.4	A	11.4	A	12.9	A	1590	A	1450	A	1530	A
USGS	01104415	2004-10-05	0.34	A	13.6	A	10.6	A	12.4	A	1720	A	1500	A	1640	A
USGS	01104415	2004-10-06	0.29	A	12.3	A	9.2	A	10.7	A	1770	A	1700	A	1730	A
USGS	01104415	2004-10-07	0.26	A	13.6	A	10.3	A	11.8	A	1920	A	1760	A	1830	A
USGS	01104415	2004-10-08	0.23	A	14.6	A	11.4	A	13.0	A	1890	A	1780	A	1820	A
USGS	01104415	2004-10-09	0.21	A	15.1	A	13.0	A	14.0	A	1940	A	1810	A	1870	A
USGS	01104415	2004-10-10	0.21	A	14.3	A	12.9	A	13.9	A	2000	A	1900	A	1950	A
USGS	01104415	2004-10-11	0.21	A	13.5	A	12.1	A	12.7	A	2050	A	1840	A	1980	A
USGS	01104415	2004-10-12	0.24	A	12.4	A	11.3	A	11.8	A	2150	A	1810	A	2040	A
USGS	01104415	2004-10-13	0.18	A	12.7	A	10.2	A	11.5	A	2150	A	1960	A	2050	A
USGS	01104415	2004-10-14	0.18	A	12.5	A	10.3	A	11.5	A	2110	A	2050	A	2080	A
USGS	01104415	2004-10-15	0.62	A	14.1	A	12.3	A	12.8	A	2200	A	791	A	1970	A
USGS	01104415	2004-10-16	2.4	A	14.1	A	12.5	A	13.6	A	1220	A	218	A	751	A
USGS	01104415	2004-10-17	0.40	A	12.5	A	11.0	A	11.9	A	1590	A	1220	A	1410	A
USGS	01104415	2004-10-18	0.29	A	11.7	A	9.9	A	10.7	A	1770	A	1590	A	1670	A
USGS	01104415	2004-10-19	1.1	A	11.2	A	10.4	A	10.9	A	1770	A	589	A	1090	A
USGS	01104415	2004-10-20	0.48	A	11.1	A	9.4	A	10.4	A	1490	A	922	A	1260	A
USGS	01104415	2004-10-21	0.37	A	10.4	A	9.3	A	9.8	A	1660	A	1490	A	1580	A
USGS	01104415	2004-10-22	0.34	A	10.4	A	9.7	A	10.0	A	1750	A	1660	A	1690	A
USGS	01104415	2004-10-23	0.30	A	10.1	A	9.3	A	9.6	A	1830	A	1740	A	1770	A
USGS	01104415	2004-10-24	0.28	A	10.2	A	9.6	A	9.9	A	1910	A	1800	A	1850	A
USGS	01104415	2004-10-25	0.24	A	10.9	A	9.7	A	10.2	A	1960	A	1900	A	1930	A
USGS	01104415	2004-10-26	0.22	A	10.8	A	8.9	A	9.8	A	1980	A	1910	A	1950	A
USGS	01104415	2004-10-27	0.20	A	10.8	A	8.1	A	9.5	A	2030	A	1980	A	2000	A
USGS	01104415	2004-10-28	0.17	A	9.8	A	7.9	A	8.9	A	2050	A	2010	A	2020	A
USGS	01104415	2004-10-29	0.19	A	10.2	A	7.6	A	8.9	A	2090	A	2050	A	2080	A
USGS	01104415	2004-10-30	0.22	A	11.4	A	8.5	A	9.6	A	2100	A	2070	A	2090	A
USGS	01104415	2004-10-31	0.21	A	13.4	A	11.4	A	12.3	A	2070	A	2010	A	2030	A
USGS	01104415	2004-11-01	0.17	A	12.0	A	9.7	A	11.1	A	2110	A	2030	A	2080	A
USGS	01104415	2004-11-02	0.16	A	10.2	A	8.2	A	9.3	A	2190	A	2110	A	2150	A
USGS	01104415	2004-11-03	0.19	A	10.9	A	8.3	A	10.1	A	2190	A	2170	A	2180	A
USGS	01104415	2004-11-04	1.0	A	9.4	A	6.8	A	8.0	A	2210	A	414	A	2040	A
USGS	01104415	2004-11-05	1.1	A	9.4	A	7.4	A	8.6	A	1320	A	301	A	885	A
USGS	01104415	2004-11-06	0.29	A	9.3	A	7.0	A	8.2	A	1620	A	1320	A	1500	A
USGS	01104415	2004-11-07	0.24	A	10.9	A	7.9	A	9.5	A	1730	A	1620	A	1670	A
USGS	01104415	2004-11-08	0.21	A	10.5	A	7.5	A	9.1	A	1870	A	1730	A	1810	A
USGS	01104415	2004-11-09	0.19	A	7.5	A	5.0	A	6.3	A	1940	A	1870	A	1900	A
USGS	01104415	2004-11-10	0.23	A	6.6	A	3.6	A	5.1	A	2000	A	1470	A	1830	A
USGS	01104415	2004-11-11	0.17	A	8.2	A	5.4	A	6.8	A	2000	A	1880	A	1920	A
USGS	01104415	2004-11-12	0.26	A	7.1	A	4.3	A	5.9	A	4820	A	1760	A	2270	A
USGS	01104415	2004-11-13	0.44	A	4.4	A	2.7	A	3.6	A	10800	A	4820	A	7420	A
USGS	01104415	2004-11-14	0.25	A	5.0	A	2.4	A	3.8	A	6880	A	4960	A	6200	A
USGS	01104415	2004-11-15	0.35	A	6.6	A	3.4	A	4.8	A	4960	A	2810	A	3850	A
USGS	01104415	2004-11-16	0.34	A	6.4	A	4.3	A	5.3	A	2810	A	2230	A	2360	A
USGS	01104415	2004-11-17	0.32	A	7.2	A	4.7	A	6.0	A	2260	A	2140	A	2200	A
USGS	01104415	2004-11-18	0.34	A	8.9	A	6.6	A	7.7	A	2190	A	1990	A	2060	A
USGS	01104415	2004-11-19	0.26	A	10.1	A	6.9	A	8.7	A	2020	A	1950	A	1970	A
USGS	01104415	2004-11-20	0.26	A	8.0	A	5.8	A	7.0	A	2230	A	1720	A	2060	A
USGS	01104415	2004-11-21	0.41	A	8.2	A	7.4	A	7.8	A	2910	A	2000	A	2360	A
USGS	01104415	2004-11-22	0.23	A	8.7	A	6.4	A	7.9	A	2000	A	1950	A	1970	A
USGS	01104415	2004-11-23	0.19	A	7.5	A	5.0	A	6.2	A	2270	A	1950	A	2160	A
USGS	01104415	2004-11-24	0.42	A	9.6	A	6.0	A	7.8	A	3590	A	1570	A	2260	A
USGS	01104415	2004-11-25	1.0	A	12.4	A	8.8	A	11.2	A	2060	A	1000	A	1360	A
USGS	01104415	2004-11-26	0.38	A	8.8	A	4.6	A	6.2	A	1750	A	1310	A	1540	A
USGS	01104415	2004-11-27	0.27	A	6.8	A	3.9	A	5.4	A	1890	A	1750	A	1840	A
USGS	01104415	2004-11-28	3.0	A	10.3	A	6.0	A	7.8	A	1880	A	297	A	1360	A
USGS	01104415	2004-11-29	1.0	A	9.1	A	6.2	A	7.4	A	1220	A	378	A	955	A
USGS	01104415	2004-11-30	0.64	A	8.0	A	6.1	A	7.0	A	1360	A	1140	A	1300	A
USGS	01104415	2004-12-01	2.3	A	10.0	A	7.2	A	8.2	A	1410	A	308	A	871	A
USGS	01104415	2004-12-02	0.84	A	7.7	A	6.1	A	6.8	A	1180	A	785	A	1050	A
USGS	01104415	2004-12-03	0.69	A	7.6	A	5.8	A	6.6	A	1290	A	1170	A	1230	A
USGS	01104415	2004-12-04	0.59	A	6.3	A	4.9	A	5.5	A	1390	A	1290	A	1340	A
USGS	01104415	2004-12-05	0.55	A	7.2	A	4.7	A	6.0	A	1500	A	1380	A	1430	A
USGS	01104415	2004-12-06	0.49	A	4.7	A	3.5	A	4.0	A	1550	A	1500	A	1530	A
USGS	01104415	2004-12-07	3.6	A	4.8	A	3.7	A	4.2	A	6180	A	497	A	3040	A
USGS	01104415	2004-12-08	1.7	A	7.3	A	4.6	A	6.0	A	1150	A	496	A	917	A
USGS	01104415	2004-12-09	0.94	A	6.9	A	5.3	A	6.2	A	1230	A	1140	A	1190	A
USGS	01104415	2004-12-10	2.1	A	7.2	A	6.3	A	6.8	A	1240	A	403	A	1030	A
USGS	01104415	2004-12-11	2.9	A	7.5	A	6.1	A	6.9	A	917	A	327	A	669	A
USGS	01104415	2004-12-12	1.2	A	7.4	A	6.4	A	7.0	A	1100	A	917	A	1020	A
USGS	01104415	2004-12-13	0.99	A	7.9	A	6.4	A	7.0	A	1200	A	1100	A	1140	A
USGS	01104415	2004-12-14	0.83	A	6.4	A	3.2	A	5.0	A	1260	A	1150	A	1230	A
USGS	01104415	2004-12-15	0.72	A	3.7	A	2.2	A	2.8	A	1340	A	1260	A	1300	A
USGS	01104415	2004-12-16	0.69	A	4.7	A	1.7	A	3.2	A	1370	A	1210	A	1330	A
USGS	01104415	2004-12-17	0.67	A	5.4	A	3.0	A	4.3	A	1410	A	1330	A	1360	A
USGS	01104415	2004-12-18	0.59	A	4.2	A	1.7	A	3.0	A	1460	A	1400	A	1430	A
USGS	01104415	2004-12-19	0.60	A	5.4	A	2.9	A	4.3	A	1450	A	1380	A	1430	A
USGS	01104415	2004-12-20	0.64	A	5.1	A	0.0	A	2.2	A	6080	A	1450	A	4730	A
USGS	01104415	2004-12-21	0.51	A	1.7	A	0.0	A	0.8	A	3930	A	2040	A	2520	A
USGS	01104415	2004-12-22	0.52	A	4.0	A	1.0	A	2.5	A	2580	A	1930	A	2110	A
USGS	01104415	2004-12-23	4.0	A	10.4	A	3.7	A	6.1	A	3890	A	663	A	2320	A
USGS	01104415	2004-12-24	1.8	A	7.4	A	3.7	A	4.8	A	1150	A	617	A	952	A
USGS	01104415	2004-12-25	0.89	A	4.0	A	2.3	A	3.2	A	1220	A	1140	A	1190	A
USGS	01104415	2004-12-26	0.79	A	2.7	A	0.0	A	1.8	A	2380	A	1220	A	1610	A
USGS	01104415	2004-12-27	0.75	A	2.2	A	0.5	A	1.2	A	2310	A	1500	A	1900	A
USGS	01104415	2004-12-28	0.69	A	2.2	A	0.0	A	1.2	A	2070	A	1440	A	1630	A
USGS	01104415	2004-12-29	0.68	A	4.4	A	2.2	A	3.4	A	1640	A	1410	A	1490	A
USGS	01104415	2004-12-30	0.63	A	5.3	A	2.5	A	4.0	A	1620	A	1440	A	1510	A
USGS	01104415	2004-12-31	0.78	A	5.1	A	2.3	A	3.9	A	2360	A	1430	A	1670	A
USGS	01104415	2005-01-01	1.1	A	5.7	A	3.4	A	4.5	A	2250	A	1230	A	1510	A
