# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-06-30 10:54:04 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01104420 CAMBRIDGE RES., UNNAMED TRIB 3, NR LEXINGTON, MA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01104420
#    DD parameter statistic   Description
#    02   00060     00003     Discharge, cubic feet per second (Mean)
#    17   00095     00003     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Mean), 25ft Downstream of pier
#    18   00010     00003     Temperature, water, degrees Celsius (Mean), 25ft Downstream of pier
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	02_00060_00003	02_00060_00003_cd	17_00095_00003	17_00095_00003_cd	18_00010_00003	18_00010_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s
USGS	01104420	2012-03-26	0.50	A	1420	A	9.4	A
USGS	01104420	2012-03-27	0.43	A	1420	A	6.1	A
USGS	01104420	2012-03-28	0.36	A	1390	A	6.8	A
USGS	01104420	2012-03-29	0.51	A	1390	A	7.8	A
USGS	01104420	2012-03-30	0.47	A	1430	A	7.6	A
USGS	01104420	2012-03-31	0.40	A	1400	A	7.4	A
USGS	01104420	2012-04-01	0.42	A	1420	A	6.6	A
USGS	01104420	2012-04-02	0.76	A	1400	A	8.5	A
USGS	01104420	2012-04-03	0.57	A	1420	A	7.9	A
USGS	01104420	2012-04-04	0.51	A	1410	A	9.7	A
USGS	01104420	2012-04-05	0.52	A	1420	A	9.1	A
USGS	01104420	2012-04-06	0.48	A	1420	A	8.4	A
USGS	01104420	2012-04-07	0.44	A	1420	A	8.2	A
USGS	01104420	2012-04-08	0.39	A	1460	A	8.3	A
USGS	01104420	2012-04-09	0.43	A	1450	A	8.6	A
USGS	01104420	2012-04-10	0.40	A	1460	A	9.7	A
USGS	01104420	2012-04-11	0.35	A	1480	A	10.7	A
USGS	01104420	2012-04-12	0.66	A	1310	A	9.3	A
USGS	01104420	2012-04-13	0.84	A	1410	A	10.5	A
USGS	01104420	2012-04-14	0.60	A	1430	A	12.1	A
USGS	01104420	2012-04-15	0.51	A	1460	A	14.2	A
USGS	01104420	2012-04-16	0.45	A	1470	A	17.4	A
USGS	01104420	2012-04-17	0.43	A	1470	A	17.7	A
USGS	01104420	2012-04-18	0.35	A	1470	A	14.3	A
USGS	01104420	2012-04-19	0.29	A	1520	A	14.0	A
USGS	01104420	2012-04-20	0.27	A	1530	A	14.8	A
USGS	01104420	2012-04-21	0.26	A	1540	A	15.6	A
USGS	01104420	2012-04-22	0.61	A	1240	A	13.5	A
USGS	01104420	2012-04-23	13	A	588	A	10.9	A
USGS	01104420	2012-04-24	5.5	A	542	A	12.3	A
USGS	01104420	2012-04-25	2.1	A	735	A	12.7	A
USGS	01104420	2012-04-26	1.2	A	877	A	12.7	A
USGS	01104420	2012-04-27	1.1	A	993	A	13.3	A
USGS	01104420	2012-04-28	0.78	A	1080	A	11.3	A
USGS	01104420	2012-04-29	0.68	A	1110	A	11.9	A
USGS	01104420	2012-04-30	0.55	A	1170	A	11.7	A
USGS	01104420	2012-05-01	1.8	A	1010	A	11.3	A
USGS	01104420	2012-05-02	2.1	A	1060	A	10.6	A
USGS	01104420	2012-05-03	1.2	A	1070	A	10.7	A
USGS	01104420	2012-05-04	0.95	A	1060	A	11.3	A
USGS	01104420	2012-05-05	1.7	A	961	A	12.4	A
USGS	01104420	2012-05-06	1.3	A	1080	A	13.1	A
USGS	01104420	2012-05-07	0.94	A	1070	A	14.4	A
USGS	01104420	2012-05-08	0.86	A	1050	A	13.5	A
USGS	01104420	2012-05-09	1.1	A	1020	A	13.7	A
USGS	01104420	2012-05-10	9.1	A	654	A	14.9	A
USGS	01104420	2012-05-11	4.4	A	589	A	14.1	A
USGS	01104420	2012-05-12	2.2	A	687	A	15.0	A
USGS	01104420	2012-05-13	1.6	A	785	A	16.9	A
USGS	01104420	2012-05-14	1.4	A	823	A	17.2	A
USGS	01104420	2012-05-15	1.7	A	838	A	17.1	A
USGS	01104420	2012-05-16	3.1	A	845	A	17.9	A
USGS	01104420	2012-05-17	2.1	A	975	A	17.7	A
USGS	01104420	2012-05-18	1.6	A	969	A	17.0	A
USGS	01104420	2012-05-19	1.1	A	1010	A	16.9	A
USGS	01104420	2012-05-20	1.0	A	1070	A	17.7	A
USGS	01104420	2012-05-21	0.87	A	1100	A	16.8	A
USGS	01104420	2012-05-22	1.2	A	1050	A	16.5	A
USGS	01104420	2012-05-23	1.8	A	1050	A	18.0	A
USGS	01104420	2012-05-24	1.4	A	1120	A	19.2	A
USGS	01104420	2012-05-25	1.0	A	1200	A	18.8	A
USGS	01104420	2012-05-26	0.92	A	1220	A	20.1	A
USGS	01104420	2012-05-27	0.72	A	1240	A	19.7	A
USGS	01104420	2012-05-28	0.61	A	1240	A	19.7	A
USGS	01104420	2012-05-29	0.59	A	1250	A	19.0	A
USGS	01104420	2012-05-30	0.78	A	1150	A	19.1	A
USGS	01104420	2012-05-31	0.75	A	1270	A	19.7	A
USGS	01104420	2012-06-01	0.65	A	1290	A	18.5	A
USGS	01104420	2012-06-02	3.8	A	889	A	16.6	A
USGS	01104420	2012-06-03	4.9	A	675	A	16.6	A
USGS	01104420	2012-06-04	2.4	A	673	A	15.0	A
USGS	01104420	2012-06-05	2.0	A	726	A	13.6	A
USGS	01104420	2012-06-06	1.5	A	846	A	14.2	A
USGS	01104420	2012-06-07	1.2	A	930	A	15.9	A
USGS	01104420	2012-06-08	1.2	A	914	A	17.1	A
USGS	01104420	2012-06-09	1.3	A	981	A	18.7	A
USGS	01104420	2012-06-10	1.0	A	1050	A	19.3	A
USGS	01104420	2012-06-11	0.69	A	1110	A	18.7	A
USGS	01104420	2012-06-12	0.56	A	1170	A	18.5	A
USGS	01104420	2012-06-13	1.8	A	777	A	18.5	A
USGS	01104420	2012-06-14	1.9	A	920	A	19.1	A
USGS	01104420	2012-06-15	1.1	A	1020	A	18.7	A
USGS	01104420	2012-06-16	0.74	A	1030	A	18.0	A
USGS	01104420	2012-06-17	0.56	A	1050	A	17.3	A
USGS	01104420	2012-06-18	0.49	A	1060	A	17.2	A
USGS	01104420	2012-06-19	0.46	A	1100	A	17.7	A
USGS	01104420	2012-06-20	0.48	A	1160	A	20.3	A
USGS	01104420	2012-06-21	0.42	A	1200	A	22.7	A
USGS	01104420	2012-06-22	0.36	A	1200	A	22.9	A
USGS	01104420	2012-06-23	1.4	A	1010	A	22.0	A
USGS	01104420	2012-06-24	2.7	A	854	A	22.2	A
USGS	01104420	2012-06-25	2.3	A	706	A	21.3	A
USGS	01104420	2012-06-26	2.1	A	694	A	19.9	A
USGS	01104420	2012-06-27	1.3	A	765	A	19.3	A
USGS	01104420	2012-06-28	1.00	A	804	A	20.3	A
USGS	01104420	2012-06-29	0.91	A	802	A	21.4	A
USGS	01104420	2012-06-30	0.84	A	865	A	21.8	A
USGS	01104420	2012-07-01	0.80	A	886	A	22.6	A
USGS	01104420	2012-07-02	0.67	A	923	A	22.1	A
USGS	01104420	2012-07-03	0.58	A	962	A	21.6	A
USGS	01104420	2012-07-04	0.66	A	756	A	22.1	A
USGS	01104420	2012-07-05	0.57	A	875	A	22.8	A
USGS	01104420	2012-07-06	0.45	A	1000	A	22.2	A
USGS	01104420	2012-07-07	0.39	A	1060	A	22.4	A
USGS	01104420	2012-07-08	0.37	A	1070	A	22.1	A
USGS	01104420	2012-07-09	0.28	A	1160	A	20.9	A
USGS	01104420	2012-07-10	0.22	A	1190	A	19.9	A
USGS	01104420	2012-07-11	0.18	A	1190	A	20.3	A
USGS	01104420	2012-07-12	0.17	A	1280	A	21.0	A
USGS	01104420	2012-07-13	0.15	A	1370	A	21.1	A
USGS	01104420	2012-07-14	0.14	A	1390	A	21.6	A
USGS	01104420	2012-07-15	0.13	A	1460	A	21.5	A
USGS	01104420	2012-07-16	0.13	A	1500	A	22.1	A
USGS	01104420	2012-07-17	0.12	A	1540	A	21.9	A
USGS	01104420	2012-07-18	0.46	A	1390	A	22.2	A
USGS	01104420	2012-07-19	0.47	A	1050	A	22.7	A
USGS	01104420	2012-07-20	0.35	A	941	A	21.4	A
USGS	01104420	2012-07-21	0.20	A	999	A	20.0	A
USGS	01104420	2012-07-22	0.16	A	1050	A	20.4	A
USGS	01104420	2012-07-23	0.12	A	1120	A	21.1	A
USGS	01104420	2012-07-24	0.11	A	932	A	22.3	A
