"UNH ID #","Depth","Collection Date","MeasurementType","Project","Sub_Project","Cl (mg Cl/L)","NO3 (mg N/L)","SO4 (mg S/L)","Acetate (mg/L)","Formate (mg/L)","Oxalate (mg/L)"
132319,"EB ","12-Aug-13",,"Mystic Lake","MIT Lake samples",5.36,0.055,0.163,0.09,0.046,0.027
132318,"SB ","12-Aug-13",,"Mystic Lake","MIT Lake samples",5.241,0.057,0.141,0.474,0.05,0.001
132317,"FB ","12-Aug-13",,"Mystic Lake","MIT Lake samples",144.286,0.794,5.63,2.412,0.409,0.016
132316,22,"12-Aug-13",,"Mystic Lake","MIT Lake samples",393.507,0.053,1.471,0,0.088,0.075
132315,21,"12-Aug-13",,"Mystic Lake","MIT Lake samples",320.569,0.05,1.549,2.63,0.068,0.008
132314,20,"12-Aug-13",,"Mystic Lake","MIT Lake samples",402.243,0.056,2.048,0,0.037,0.04
132313,19,"12-Aug-13",,"Mystic Lake","MIT Lake samples",4.918,0.005,1.724,0,0.075,0.076
132312,17,"12-Aug-13",,"Mystic Lake","MIT Lake samples",388.421,0.047,3.874,0,0.061,0.015
132310,14,"12-Aug-13",,"Mystic Lake","MIT Lake samples",333.159,0.388,5.054,1.69,0,0.008
132308,12,"12-Aug-13",,"Mystic Lake","MIT Lake samples",139.347,0.69,3.053,0,0.001,0.001
132307,11,"12-Aug-13",,"Mystic Lake","MIT Lake samples",290.36,1.031,6.183,0,0.191,0.028
132306,9,"12-Aug-13",,"Mystic Lake","MIT Lake samples",292.974,1.448,6.257,0,0.067,0
132305,8,"12-Aug-13",,"Mystic Lake","MIT Lake samples",288.018,1.416,6.228,,,
132304,7,"12-Aug-13",,"Mystic Lake","MIT Lake samples",252.488,1.325,6.022,0,0.434,0.035
132303,6,"12-Aug-13",,"Mystic Lake","MIT Lake samples",236.549,1.055,6.136,0,0.418,0
132302,5,"12-Aug-13",,"Mystic Lake","MIT Lake samples",154.851,0.51,4.328,0,0.511,0.028
132300,3,"12-Aug-13",,"Mystic Lake","MIT Lake samples",145.69,0.617,5.241,0,0.196,0
132299,2,"12-Aug-13",,"Mystic Lake","MIT Lake samples",,,,0,0.162,0.001
132298,1,"12-Aug-13",,"Mystic Lake","MIT Lake samples",138.119,0.601,4.787,0,0.298,0.027
132297,"Negative","16-Aug-13","RNA","Mystic Lake","MIT Lake samples",4.887,0.049,0.093,0.264,0.206,0.001
132296,"Negative","16-Aug-13","DNA","Mystic Lake","MIT Lake samples",5.203,0.057,0.136,0.086,0.057,0.001
132295,12,"16-Aug-13","RNA","Mystic Lake","MIT Lake samples",229.014,0.827,5.671,0,0.421,0.034
132294,15,"16-Aug-13","DNA","Mystic Lake","MIT Lake samples",351.559,0.061,4.469,0,0.216,0.034
132293,8,"16-Aug-13","RNA","Mystic Lake","MIT Lake samples",122.356,0.528,4.605,0,0.048,0.001
132292,2,"16-Aug-13","DNA","Mystic Lake","MIT Lake samples",396.523,0.056,2.108,0,0.067,0.027
132291,8,"16-Aug-13","DNA","Mystic Lake","MIT Lake samples",285.854,1.39,6.199,0,0.311,0.027
132290,12,"16-Aug-13","DNA","Mystic Lake","MIT Lake samples",327.779,1.313,5.879,1.19,0,0.002
132289,20,"16-Aug-13","RNA","Mystic Lake","MIT Lake samples",348.581,0.054,2.091,0,0.156,0.066
132288,"FB ","01-Apr-13",,"Mystic Lake","MIT Lake samples",5.661,0.054,0.229,0.541,0.39,0.036
132287,20,"01-Apr-13",,"Mystic Lake","MIT Lake samples",397.205,0.054,2.436,1.464,0,0.069
