"Depth","Collection_Date","Sample_Type","Filtered/ unfiltered?","Preservation","Number of containers","pH","Spec_Cond µS/cm","DO_Conc mg/L","Temperature degrees C"
1,8/10/2012,"Lake","Filtered","Frozen",1,9.08,626.1,4.66,27.67
2,8/10/2012,"Lake","Filtered","Frozen",1,9.1,625.7,4.88,27.32
3,8/10/2012,"Lake","Filtered","Frozen",1,9.08,625.6,5.03,26.93
4,8/10/2012,"Lake","Filtered","Frozen",1,8.48,631.8,3.22,22.54
5,8/10/2012,"Lake","Filtered","Frozen",1,8.12,689.5,1.16,17.1
6,8/10/2012,"Lake","Filtered","Frozen",1,8.01,845,0.56,12.5
7,8/10/2012,"Lake","Filtered","Frozen",1,7.99,891.3,1.77,10.52
8,8/10/2012,"Lake","Filtered","Frozen",1,7.99,913.4,2.15,8.85
9,8/10/2012,"Lake","Filtered","Frozen",1,7.98,927.6,1.81,7.7
10,8/10/2012,"Lake","Filtered","Frozen",1,7.96,962.7,0.85,6.64
11,8/10/2012,"Lake","Filtered","Frozen",1,7.96,1037,0.43,5.76
12,8/10/2012,"Lake","Filtered","Frozen",1,7.94,1127,0.33,5.15
13,8/10/2012,"Lake","Filtered","Frozen",1,8.17,1251,0.26,4.59
15,8/10/2012,"Lake","Filtered","Frozen",1,8.34,1442,0.21,4.1
17,8/10/2012,"Lake","Filtered","Frozen",1,8.61,1517,0.2,3.98
19,8/10/2012,"Lake","Filtered","Frozen",1,8.78,1549,0.18,3.93
21,8/10/2012,"Lake","Filtered","Frozen",1,8.91,1567,0.23,3.96
22,8/10/2012,"Lake","Filtered","Frozen",1,8.98,1572,0.18,3.96
0,8/29/2012,"Lake","Filtered","Frozen",1,11,593,7.42,25.85
1,8/29/2012,"Lake","Filtered","Frozen",1,10.7,592,7.53,25.67
2,8/29/2012,"Lake","Filtered","Frozen",1,10.62,593,7.49,25.38
3,8/29/2012,"Lake","Filtered","Frozen",1,10.4,591.4,6.95,25.16
4,8/29/2012,"Lake","Filtered","Frozen",1,9.9,584,3.9,24.5
5,8/29/2012,"Lake","Filtered","Frozen",1,9.78,714.7,0.9,19.18
6,8/29/2012,"Lake","Filtered","Frozen",1,9.49,851.6,0.21,14.02
7,8/29/2012,"Lake","Filtered","Frozen",1,8.94,925.1,0.65,10.83
8,8/29/2012,"Lake","Filtered","Frozen",1,8.79,944,1.02,9.23
9,8/29/2012,"Lake","Filtered","Frozen",1,8.73,970.5,0.53,7.75
10,8/29/2012,"Lake","Filtered","Frozen",1,8.69,1010,0.54,6.79
11,8/29/2012,"Lake","Filtered","Frozen",1,8.69,1054,0.58,6.15
12,8/29/2012,"Lake","Filtered","Frozen",1,8.71,1137,0.63,5.6
13,8/29/2012,"Lake","Filtered","Frozen",1,8.75,1270,0.67,4.97
14,8/29/2012,"Lake","Filtered","Frozen",1,8.85,1380,0.71,4.61
15,8/29/2012,"Lake","Filtered","Frozen",1,8.97,1472,0.73,4.39
16,8/29/2012,"Lake","Filtered","Frozen",1,9.1,1553,0.74,4.26
17,8/29/2012,"Lake","Filtered","Frozen",1,9.17,1587,0.75,4.16
19,8/29/2012,"Lake","Filtered","Frozen",1,9.25,1620,0.75,4.13
21,8/29/2012,"Lake","Filtered","Frozen",1,9.28,1628,0.74,4.2
