# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-06-30 11:24:43 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01103010 MYSTIC RIVER AT ARLINGTON, MA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01103010
#    DD parameter statistic   Description
#    02   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     P  Provisional data subject to revision.  
# 
agency_cd	site_no	datetime	02_00060_00003	02_00060_00003_cd
5s	15s	20d	14n	10s
USGS	01103010	2015-09-23	-4.4	P
USGS	01103010	2015-09-24	-22	P
USGS	01103010	2015-09-25	-17	P
USGS	01103010	2015-09-26	-18	P
USGS	01103010	2015-09-27	-16	P
USGS	01103010	2015-09-28	-22	P
USGS	01103010	2015-09-29	-18	P
USGS	01103010	2015-09-30	-26	P
USGS	01103010	2015-10-01	-5.4	P
USGS	01103010	2015-10-02	22	P
USGS	01103010	2015-10-03	12	P
USGS	01103010	2015-10-04	14	P
USGS	01103010	2015-10-05	-17	P
USGS	01103010	2015-10-06	-19	P
USGS	01103010	2015-10-07	-30	P
USGS	01103010	2015-10-08	-18	P
USGS	01103010	2015-10-09		
USGS	01103010	2015-10-10	-20	P
USGS	01103010	2015-10-11	-20	P
USGS	01103010	2015-10-12	-26	P
USGS	01103010	2015-10-13	-5.8	P
USGS	01103010	2015-10-14	-2.3	P
USGS	01103010	2015-10-15	-20	P
USGS	01103010	2015-10-16	-20	P
USGS	01103010	2015-10-17	-29	P
USGS	01103010	2015-10-18	-7.2	P
USGS	01103010	2015-10-19	-28	P
USGS	01103010	2015-10-20	-32	P
USGS	01103010	2015-10-21	-35	P
USGS	01103010	2015-10-22	-25	P
USGS	01103010	2015-10-23	-28	P
USGS	01103010	2015-10-24	-40	P
USGS	01103010	2015-10-25	-15	P
USGS	01103010	2015-10-26	-29	P
USGS	01103010	2015-10-27	-36	P
USGS	01103010	2015-10-28		
USGS	01103010	2015-10-29	-27	P
USGS	01103010	2015-10-30	-9.5	P
