# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-05-12 14:20:03 EDT       (vaww01)
#
# Data for the following 3 site(s) are contained in this file
#    USGS 01104455 STONY BROOK, UNNAMED TRIBUTARY 1, NEAR WALTHAM, MA
#    USGS 01104715 CHARLES RIVER, NEW CHARLES RIVER DAM AT BOSTON, MA
#    USGS 422302071083801 FRESH POND IN GATE HOUSE AT CAMBRIDGE, MA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01104455
#    DD parameter statistic   Description
#    15   63680     00002     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Minimum)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	15_63680_00002	15_63680_00002_cd
5s	15s	20d	14n	10s
USGS	01104455	2007-04-22	0.5	A
USGS	01104455	2007-04-23	0.5	A
USGS	01104455	2007-04-24	0.5	A
USGS	01104455	2007-04-25	0.5	A
USGS	01104455	2007-04-26	0.5	A
USGS	01104455	2007-04-27	0.5	A
USGS	01104455	2007-04-28	0.5	A
USGS	01104455	2007-04-29	0.5	A
USGS	01104455	2007-04-30	0.5	A
USGS	01104455	2007-05-01	0.5	A
USGS	01104455	2007-05-02	0.5	A
USGS	01104455	2007-05-03	0.5	A
USGS	01104455	2007-05-04	0.5	A
USGS	01104455	2007-05-05	0.5	A
USGS	01104455	2007-05-06	0.5	A
USGS	01104455	2007-05-07	0.5	A
USGS	01104455	2007-05-08	0.5	A
USGS	01104455	2007-05-09	0.5	A
USGS	01104455	2007-05-10	0.5	A
USGS	01104455	2007-05-11	0.5	A
USGS	01104455	2007-05-12	0.5	A
USGS	01104455	2007-05-13	0.5	A
USGS	01104455	2007-05-14	0.5	A
USGS	01104455	2007-05-15	0.5	A
USGS	01104455	2007-05-16		
USGS	01104455	2007-05-17		
USGS	01104455	2007-05-18	0.5	A
USGS	01104455	2007-05-19	0.8	A
USGS	01104455	2007-05-20	0.5	A
USGS	01104455	2007-05-21	0.5	A
USGS	01104455	2007-05-22	1.7	A
USGS	01104455	2007-05-23	0.5	A
USGS	01104455	2007-05-24		
USGS	01104455	2007-05-25		
USGS	01104455	2007-05-26		
USGS	01104455	2007-05-27		
USGS	01104455	2007-05-28		
USGS	01104455	2007-05-29		
USGS	01104455	2007-05-30		
USGS	01104455	2007-05-31		
USGS	01104455	2007-06-01	0.5	A
USGS	01104455	2007-06-02	0.5	A
USGS	01104455	2007-06-03	0.5	A
USGS	01104455	2007-06-04	0.5	A
USGS	01104455	2007-06-05	0.5	A
USGS	01104455	2007-06-06	0.5	A
USGS	01104455	2007-06-07	0.5	A
USGS	01104455	2007-06-08	0.5	A
USGS	01104455	2007-06-09	0.5	A
USGS	01104455	2007-06-10	0.5	A
USGS	01104455	2007-06-11	0.5	A
USGS	01104455	2007-06-12	0.5	A
USGS	01104455	2007-06-13	0.5	A
USGS	01104455	2007-06-14	0.5	A
USGS	01104455	2007-06-15	0.5	A
USGS	01104455	2007-06-16	0.5	A
USGS	01104455	2007-06-17	0.5	A
USGS	01104455	2007-06-18	0.5	A
USGS	01104455	2007-06-19	0.5	A
USGS	01104455	2007-06-20	0.5	A
USGS	01104455	2007-06-21	0.5	A
USGS	01104455	2007-06-22	0.5	A
USGS	01104455	2007-06-23	0.5	A
USGS	01104455	2007-06-24	0.5	A
USGS	01104455	2007-06-25	0.5	A
USGS	01104455	2007-06-26	0.5	A
USGS	01104455	2007-06-27	0.5	A
USGS	01104455	2007-06-28	0.5	A
USGS	01104455	2007-06-29	0.5	A
USGS	01104455	2007-06-30	0.5	A
USGS	01104455	2007-07-01	0.5	A
USGS	01104455	2007-07-02	0.5	A
USGS	01104455	2007-07-03	0.5	A
USGS	01104455	2007-07-04	0.5	A
USGS	01104455	2007-07-05	0.5	A
USGS	01104455	2007-07-06	0.5	A
USGS	01104455	2007-07-07	0.5	A
USGS	01104455	2007-07-08	0.5	A
USGS	01104455	2007-07-09	0.5	A
USGS	01104455	2007-07-10	0.5	A
USGS	01104455	2007-07-11	0.5	A
USGS	01104455	2007-07-12	0.5	A
USGS	01104455	2007-07-13	0.5	A
USGS	01104455	2007-07-14	0.5	A
USGS	01104455	2007-07-15	0.5	A
USGS	01104455	2007-07-16	0.5	A
USGS	01104455	2007-07-17	0.5	A
USGS	01104455	2007-07-18	0.5	A
USGS	01104455	2007-07-19	0.5	A
USGS	01104455	2007-07-20	0.5	A
USGS	01104455	2007-07-21	0.5	A
USGS	01104455	2007-07-22	0.5	A
USGS	01104455	2007-07-23	0.5	A
USGS	01104455	2007-07-24	0.5	A
USGS	01104455	2007-07-25	0.5	A
USGS	01104455	2007-07-26	0.5	A
USGS	01104455	2007-07-27	0.5	A
USGS	01104455	2007-07-28	0.5	A
USGS	01104455	2007-07-29	0.5	A
USGS	01104455	2007-07-30	0.5	A
USGS	01104455	2007-07-31	0.5	A
USGS	01104455	2007-08-01	0.5	A
USGS	01104455	2007-08-02	0.5	A
USGS	01104455	2007-08-03	0.5	A
USGS	01104455	2007-08-04	0.5	A
USGS	01104455	2007-08-05	0.5	A
USGS	01104455	2007-08-06	0.5	A
USGS	01104455	2007-08-07	0.5	A
USGS	01104455	2007-08-08	0.5	A
USGS	01104455	2007-08-09	0.5	A
USGS	01104455	2007-08-10	0.5	A
USGS	01104455	2007-08-11	0.5	A
USGS	01104455	2007-08-12	0.5	A
USGS	01104455	2007-08-13	0.5	A
USGS	01104455	2007-08-14	0.5	A
USGS	01104455	2007-08-15	0.5	A
USGS	01104455	2007-08-16	0.5	A
USGS	01104455	2007-08-17	0.5	A
USGS	01104455	2007-08-18	0.5	A
USGS	01104455	2007-08-19	0.5	A
USGS	01104455	2007-08-20	0.5	A
USGS	01104455	2007-08-21	0.5	A
USGS	01104455	2007-08-22	0.5	A
USGS	01104455	2007-08-23	0.5	A
USGS	01104455	2007-08-24	0.5	A
