# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-05-12 14:22:14 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 422302071083801 FRESH POND IN GATE HOUSE AT CAMBRIDGE, MA
# -----------------------------------------------------------------------------------
#
# Data provided for site 422302071083801
#    DD parameter statistic   Description
#    01   62615     00003     Lake or reservoir water surface elevation above NAVD 1988, feet (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	01_62615_00003	01_62615_00003_cd
5s	15s	20d	14n	10s
USGS	422302071083801	2005-10-01	16.26	A
USGS	422302071083801	2005-10-02	16.30	A
USGS	422302071083801	2005-10-03	16.31	A
USGS	422302071083801	2005-10-04	16.28	A
USGS	422302071083801	2005-10-05	16.21	A
USGS	422302071083801	2005-10-06	16.17	A
USGS	422302071083801	2005-10-07	16.10	A
USGS	422302071083801	2005-10-08	16.09	A
USGS	422302071083801	2005-10-09	16.23	A
USGS	422302071083801	2005-10-10	16.22	A
USGS	422302071083801	2005-10-11	16.24	A
USGS	422302071083801	2005-10-12	16.28	A
USGS	422302071083801	2005-10-13	16.15	A
USGS	422302071083801	2005-10-14	16.06	A
USGS	422302071083801	2005-10-15	16.25	A
USGS	422302071083801	2005-10-16	16.23	A
USGS	422302071083801	2005-10-17	16.09	A
USGS	422302071083801	2005-10-18	15.92	A
USGS	422302071083801	2005-10-19	15.80	A
USGS	422302071083801	2005-10-20	15.76	A
USGS	422302071083801	2005-10-21	15.68	A
USGS	422302071083801	2005-10-22	15.61	A
USGS	422302071083801	2005-10-23	15.65	A
USGS	422302071083801	2005-10-24	15.57	A
USGS	422302071083801	2005-10-25	15.48	A
USGS	422302071083801	2005-10-26	15.38	A
USGS	422302071083801	2005-10-27	15.39	A
USGS	422302071083801	2005-10-28	15.42	A
USGS	422302071083801	2005-10-29	15.51	A
USGS	422302071083801	2005-10-30	15.61	A
USGS	422302071083801	2005-10-31	15.66	A
USGS	422302071083801	2005-11-01	15.75	A
USGS	422302071083801	2005-11-02	15.82	A
USGS	422302071083801	2005-11-03	15.87	A
USGS	422302071083801	2005-11-04	15.95	A
USGS	422302071083801	2005-11-05	15.92	A
USGS	422302071083801	2005-11-06	15.88	A
USGS	422302071083801	2005-11-07	15.85	A
USGS	422302071083801	2005-11-08	15.77	A
USGS	422302071083801	2005-11-09	15.79	A
USGS	422302071083801	2005-11-10	15.89	A
USGS	422302071083801	2005-11-11	15.91	A
USGS	422302071083801	2005-11-12	15.86	A
USGS	422302071083801	2005-11-13	15.81	A
USGS	422302071083801	2005-11-14	15.78	A
USGS	422302071083801	2005-11-15	15.74	A
USGS	422302071083801	2005-11-16	15.72	A
USGS	422302071083801	2005-11-17	15.72	A
USGS	422302071083801	2005-11-18	15.62	A
USGS	422302071083801	2005-11-19	15.59	A
USGS	422302071083801	2005-11-20	15.66	A
USGS	422302071083801	2005-11-21	15.73	A
USGS	422302071083801	2005-11-22	15.85	A
USGS	422302071083801	2005-11-23	15.88	A
USGS	422302071083801	2005-11-24	15.87	A
USGS	422302071083801	2005-11-25	15.89	A
USGS	422302071083801	2005-11-26	15.93	A
USGS	422302071083801	2005-11-27	15.98	A
USGS	422302071083801	2005-11-28	16.01	A
USGS	422302071083801	2005-11-29	15.95	A
USGS	422302071083801	2005-11-30	15.88	A
USGS	422302071083801	2005-12-01	15.79	A
USGS	422302071083801	2005-12-02	15.76	A
USGS	422302071083801	2005-12-03	15.72	A
USGS	422302071083801	2005-12-04	15.71	A
USGS	422302071083801	2005-12-05	15.71	A
USGS	422302071083801	2005-12-06	15.69	A
USGS	422302071083801	2005-12-07	15.63	A
USGS	422302071083801	2005-12-08	15.57	A
USGS	422302071083801	2005-12-09	15.66	A
USGS	422302071083801	2005-12-10	15.77	A
USGS	422302071083801	2005-12-11	15.79	A
USGS	422302071083801	2005-12-12	15.84	A
USGS	422302071083801	2005-12-13	15.88	A
USGS	422302071083801	2005-12-14	15.88	A
USGS	422302071083801	2005-12-15	15.87	A
USGS	422302071083801	2005-12-16	15.91	A
USGS	422302071083801	2005-12-17	15.85	A
USGS	422302071083801	2005-12-18	15.79	A
USGS	422302071083801	2005-12-19	15.72	A
USGS	422302071083801	2005-12-20	15.66	A
USGS	422302071083801	2005-12-21	15.70	A
USGS	422302071083801	2005-12-22	15.75	A
USGS	422302071083801	2005-12-23	15.77	A
USGS	422302071083801	2005-12-24	15.79	A
USGS	422302071083801	2005-12-25	15.83	A
USGS	422302071083801	2005-12-26	15.93	A
USGS	422302071083801	2005-12-27	15.95	A
USGS	422302071083801	2005-12-28	15.95	A
USGS	422302071083801	2005-12-29	15.99	A
USGS	422302071083801	2005-12-30	15.95	A
USGS	422302071083801	2005-12-31	15.87	A
USGS	422302071083801	2006-01-01	15.80	A
USGS	422302071083801	2006-01-02	15.71	A
USGS	422302071083801	2006-01-03	15.63	A
USGS	422302071083801	2006-01-04	15.54	A
USGS	422302071083801	2006-01-05	15.45	A
USGS	422302071083801	2006-01-06	15.44	A
USGS	422302071083801	2006-01-07	15.42	A
USGS	422302071083801	2006-01-08	15.42	A
USGS	422302071083801	2006-01-09	15.42	A
USGS	422302071083801	2006-01-10	15.44	A
USGS	422302071083801	2006-01-11	15.46	A
USGS	422302071083801	2006-01-12	15.50	A
USGS	422302071083801	2006-01-13	15.47	A
USGS	422302071083801	2006-01-14	15.52	A
USGS	422302071083801	2006-01-15	15.48	A
USGS	422302071083801	2006-01-16	15.40	A
USGS	422302071083801	2006-01-17	15.33	A
USGS	422302071083801	2006-01-18	15.29	A
USGS	422302071083801	2006-01-19	15.35	A
USGS	422302071083801	2006-01-20	15.34	A
USGS	422302071083801	2006-01-21	15.35	A
USGS	422302071083801	2006-01-22	15.35	A
USGS	422302071083801	2006-01-23	15.42	A
USGS	422302071083801	2006-01-24	15.46	A
USGS	422302071083801	2006-01-25	15.48	A
USGS	422302071083801	2006-01-26	15.49	A
USGS	422302071083801	2006-01-27	15.47	A
USGS	422302071083801	2006-01-28	15.48	A
USGS	422302071083801	2006-01-29	15.48	A
USGS	422302071083801	2006-01-30	15.52	A
USGS	422302071083801	2006-01-31	15.52	A
USGS	422302071083801	2006-02-01	15.54	A
USGS	422302071083801	2006-02-02	15.56	A
USGS	422302071083801	2006-02-03	15.59	A
USGS	422302071083801	2006-02-04	15.65	A
USGS	422302071083801	2006-02-05	15.75	A
USGS	422302071083801	2006-02-06	15.69	A
USGS	422302071083801	2006-02-07	15.60	A
USGS	422302071083801	2006-02-08	15.50	A
USGS	422302071083801	2006-02-09	15.43	A
USGS	422302071083801	2006-02-10	15.36	A
USGS	422302071083801	2006-02-11	15.32	A
