# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-03-19 13:57:03 EDT       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01102500 ABERJONA RIVER AT WINCHESTER, MA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01102500
#    DD parameter statistic   Description
#    01   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	01_00060_00003	01_00060_00003_cd
5s	15s	20d	14n	10s
USGS	01102500	2000-01-01	15	A
USGS	01102500	2000-01-02	15	A
USGS	01102500	2000-01-03	15	A
USGS	01102500	2000-01-04	24	A
USGS	01102500	2000-01-05	74	A
USGS	01102500	2000-01-06	45	A
USGS	01102500	2000-01-07	30	A
USGS	01102500	2000-01-08	19	A
USGS	01102500	2000-01-09	18	A
USGS	01102500	2000-01-10	39	A
USGS	01102500	2000-01-11	62	A
USGS	01102500	2000-01-12	42	A
USGS	01102500	2000-01-13	33	A
USGS	01102500	2000-01-14	28	A
USGS	01102500	2000-01-15	24	A
USGS	01102500	2000-01-16	24	A
USGS	01102500	2000-01-17	22	A
USGS	01102500	2000-01-18	20	A
USGS	01102500	2000-01-19	19	A
USGS	01102500	2000-01-20	19	A
USGS	01102500	2000-01-21	18	A
USGS	01102500	2000-01-22	16	A
USGS	01102500	2000-01-23	16	A
USGS	01102500	2000-01-24	15	A
USGS	01102500	2000-01-25	17	A
USGS	01102500	2000-01-26	17	A
USGS	01102500	2000-01-27	16	A
USGS	01102500	2000-01-28	15	A
USGS	01102500	2000-01-29	14	A
USGS	01102500	2000-01-30	14	A
USGS	01102500	2000-01-31	23	A
USGS	01102500	2000-02-01	22	A
USGS	01102500	2000-02-02	18	A
USGS	01102500	2000-02-03	16	A
USGS	01102500	2000-02-04	16	A
USGS	01102500	2000-02-05	16	A
USGS	01102500	2000-02-06	15	A
USGS	01102500	2000-02-07	15	A
USGS	01102500	2000-02-08	14	A
USGS	01102500	2000-02-09	15	A
USGS	01102500	2000-02-10	16	A
USGS	01102500	2000-02-11	19	A
USGS	01102500	2000-02-12	18	A
USGS	01102500	2000-02-13	16	A
USGS	01102500	2000-02-14	98	A
USGS	01102500	2000-02-15	76	A
USGS	01102500	2000-02-16	48	A
USGS	01102500	2000-02-17	38	A
USGS	01102500	2000-02-18	33	A
USGS	01102500	2000-02-19	34	A
USGS	01102500	2000-02-20	31	A
USGS	01102500	2000-02-21	28	A
USGS	01102500	2000-02-22	31	A
USGS	01102500	2000-02-23	40	A
USGS	01102500	2000-02-24	49	A
USGS	01102500	2000-02-25	78	A
USGS	01102500	2000-02-26	109	A
USGS	01102500	2000-02-27	99	A
USGS	01102500	2000-02-28	98	A
USGS	01102500	2000-02-29	88	A
USGS	01102500	2000-03-01	72	A
USGS	01102500	2000-03-02	62	A
USGS	01102500	2000-03-03	50	A
USGS	01102500	2000-03-04	37	A
USGS	01102500	2000-03-05	33	A
USGS	01102500	2000-03-06	26	A
USGS	01102500	2000-03-07	28	A
USGS	01102500	2000-03-08	23	A
USGS	01102500	2000-03-09	22	A
USGS	01102500	2000-03-10	22	A
USGS	01102500	2000-03-11	36	A
USGS	01102500	2000-03-12	94	A
USGS	01102500	2000-03-13	64	A
USGS	01102500	2000-03-14	49	A
USGS	01102500	2000-03-15	43	A
USGS	01102500	2000-03-16	44	A
USGS	01102500	2000-03-17	89	A
USGS	01102500	2000-03-18	71	A
USGS	01102500	2000-03-19	57	A
USGS	01102500	2000-03-20	50	A
USGS	01102500	2000-03-21	47	A
USGS	01102500	2000-03-22	46	A
USGS	01102500	2000-03-23	43	A
USGS	01102500	2000-03-24	41	A
USGS	01102500	2000-03-25	39	A
USGS	01102500	2000-03-26	36	A
USGS	01102500	2000-03-27	36	A
USGS	01102500	2000-03-28	100	A
USGS	01102500	2000-03-29	112	A
USGS	01102500	2000-03-30	86	A
USGS	01102500	2000-03-31	64	A
USGS	01102500	2000-04-01	57	A
USGS	01102500	2000-04-02	51	A
USGS	01102500	2000-04-03	44	A
USGS	01102500	2000-04-04	48	A
USGS	01102500	2000-04-05	48	A
USGS	01102500	2000-04-06	43	A
USGS	01102500	2000-04-07	42	A
USGS	01102500	2000-04-08	34	A
USGS	01102500	2000-04-09	57	A
USGS	01102500	2000-04-10	47	A
USGS	01102500	2000-04-11	36	A
USGS	01102500	2000-04-12	34	A
USGS	01102500	2000-04-13	31	A
USGS	01102500	2000-04-14	22	A
USGS	01102500	2000-04-15	27	A
USGS	01102500	2000-04-16	27	A
USGS	01102500	2000-04-17	26	A
USGS	01102500	2000-04-18	26	A
USGS	01102500	2000-04-19	58	A
USGS	01102500	2000-04-20	70	A
USGS	01102500	2000-04-21	89	A
USGS	01102500	2000-04-22	333	A
USGS	01102500	2000-04-23	289	A
USGS	01102500	2000-04-24	185	A
USGS	01102500	2000-04-25	119	A
USGS	01102500	2000-04-26	123	A
USGS	01102500	2000-04-27	124	A
USGS	01102500	2000-04-28	99	A
USGS	01102500	2000-04-29	82	A
USGS	01102500	2000-04-30	70	A
USGS	01102500	2000-05-01	59	A
USGS	01102500	2000-05-02	48	A
USGS	01102500	2000-05-03	48	A
USGS	01102500	2000-05-04	47	A
USGS	01102500	2000-05-05	46	A
USGS	01102500	2000-05-06	44	A
USGS	01102500	2000-05-07	41	A
USGS	01102500	2000-05-08	39	A
USGS	01102500	2000-05-09	36	A
USGS	01102500	2000-05-10	45	A
USGS	01102500	2000-05-11	81	A
USGS	01102500	2000-05-12	66	A
USGS	01102500	2000-05-13	48	A
USGS	01102500	2000-05-14	52	A
USGS	01102500	2000-05-15	47	A
USGS	01102500	2000-05-16	37	A
USGS	01102500	2000-05-17	37	A
USGS	01102500	2000-05-18	33	A
USGS	01102500	2000-05-19	42	A
USGS	01102500	2000-05-20	46	A
USGS	01102500	2000-05-21	38	A
USGS	01102500	2000-05-22	34	A
USGS	01102500	2000-05-23	35	A
USGS	01102500	2000-05-24	61	A
USGS	01102500	2000-05-25	55	A
USGS	01102500	2000-05-26	41	A
USGS	01102500	2000-05-27	33	A
USGS	01102500	2000-05-28	28	A
USGS	01102500	2000-05-29	26	A
USGS	01102500	2000-05-30	25	A
USGS	01102500	2000-05-31	13	A
USGS	01102500	2000-06-01	20	A
USGS	01102500	2000-06-02	26	A
USGS	01102500	2000-06-03	34	A
USGS	01102500	2000-06-04	23	A
USGS	01102500	2000-06-05	19	A
USGS	01102500	2000-06-06	102	A
USGS	01102500	2000-06-07	293	A
USGS	01102500	2000-06-08	138	A
USGS	01102500	2000-06-09	73	A
USGS	01102500	2000-06-10	55	A
USGS	01102500	2000-06-11	44	A
USGS	01102500	2000-06-12	48	A
USGS	01102500	2000-06-13	41	A
USGS	01102500	2000-06-14	38	A
USGS	01102500	2000-06-15	34	A
USGS	01102500	2000-06-16	32	A
USGS	01102500	2000-06-17	29	A
USGS	01102500	2000-06-18	27	A
USGS	01102500	2000-06-19	35	A
USGS	01102500	2000-06-20	16	A
USGS	01102500	2000-06-21	19	A
USGS	01102500	2000-06-22	19	A
USGS	01102500	2000-06-23	19	A
USGS	01102500	2000-06-24	18	A
USGS	01102500	2000-06-25	16	A
USGS	01102500	2000-06-26	16	A
USGS	01102500	2000-06-27	25	A
USGS	01102500	2000-06-28	23	A
USGS	01102500	2000-06-29	20	A
USGS	01102500	2000-06-30	17	A
USGS	01102500	2000-07-01	14	A
USGS	01102500	2000-07-02	13	A
USGS	01102500	2000-07-03	12	A
USGS	01102500	2000-07-04	11	A
USGS	01102500	2000-07-05	10	A
USGS	01102500	2000-07-06	9.3	A
USGS	01102500	2000-07-07	18	A
USGS	01102500	2000-07-08	11	A
USGS	01102500	2000-07-09	12	A
USGS	01102500	2000-07-10	29	A
USGS	01102500	2000-07-11	15	A
USGS	01102500	2000-07-12	11	A
USGS	01102500	2000-07-13	9.3	A
USGS	01102500	2000-07-14	9.1	A
USGS	01102500	2000-07-15	21	A
USGS	01102500	2000-07-16	74	A
USGS	01102500	2000-07-17	28	A
USGS	01102500	2000-07-18	18	A
USGS	01102500	2000-07-19	13	A
USGS	01102500	2000-07-20	11	A
USGS	01102500	2000-07-21	10	A
USGS	01102500	2000-07-22	25	A
USGS	01102500	2000-07-23	15	A
