# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-03-19 14:21:31 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01103025 ALEWIFE BROOK NEAR ARLINGTON, MA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01103025
#    DD parameter statistic   Description
#    04   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	04_00060_00003	04_00060_00003_cd
5s	15s	20d	14n	10s
USGS	01103025	2005-10-01	3.1	A:e
USGS	01103025	2005-10-02	3.1	A:e
USGS	01103025	2005-10-03	1.6	A:e
USGS	01103025	2005-10-04	1.6	A:e
USGS	01103025	2005-10-05	1.8	A:e
USGS	01103025	2005-10-06	2.1	A
USGS	01103025	2005-10-07	3.3	A
USGS	01103025	2005-10-08	6.2	A
USGS	01103025	2005-10-09	46	A
USGS	01103025	2005-10-10	19	A
USGS	01103025	2005-10-11	9.3	A
USGS	01103025	2005-10-12	6.7	A
USGS	01103025	2005-10-13	4.7	A
USGS	01103025	2005-10-14	10	A
USGS	01103025	2005-10-15	124	A
USGS	01103025	2005-10-16	102	A
USGS	01103025	2005-10-17	47	A
USGS	01103025	2005-10-18	21	A
USGS	01103025	2005-10-19	17	A
USGS	01103025	2005-10-20	23	A:e
USGS	01103025	2005-10-21	35	A:e
USGS	01103025	2005-10-22	52	A:e
USGS	01103025	2005-10-23	58	A:e
USGS	01103025	2005-10-24	41	A:e
USGS	01103025	2005-10-25	141	A:e
