# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-03-19 14:47:29 EDT       (nadww01)
#
# US Geological Survey groundwater levels
#
# Data for the following 1 site(s) are contained in this file
#    USGS 422627071154002 MA-LTW  104 LEXINGTON, MA 
# -----------------------------------------------------------------------------------
#
# The fields in this file include:
# ---------------------------------
# agency_cd     Agency code
# site_no       USGS site number
# site_tp_cd    Site type code
# lev_dt        Date level measured
# lev_tm        Time level measured
# lev_tz_cd     Time datum
# lev_va        Water-level value in feet below land surface
# sl_lev_va     Water-level value in feet above specific vertical datum
# sl_datum_cd   Referenced vertical datum
# lev_status_cd Status
# lev_agency_cd Measuring agency
# lev_dt_acy_cd Water-level date-time accuracy
# lev_acy_cd    Water-level accuracy
# lev_src_cd    Source of measurement
# lev_meth_cd   Method of measurement
# lev_age_cd    Water-level approval status
#
# Referenced agency codes (lev_agency_cd) included in this output:
#
#     ""         Not determined
#     MA035      Massachusetts Department of Environmental Protection
#     USGS       U.S. Geological Survey
#
# Referenced site type codes (site_tp_cd) included in this output:
#
#     GW         Well
#
# Referenced water-level site status codes (lev_status_cd) included in this output:
#
#     ""         The reported water-level measurement represents a static level
#
# Referenced water-level date-time accuracy codes (lev_dt_acy_cd) included in this output:
#
#     D          Date is accurate to the Day
#     m          Date is accurate to the Minute
#
# Referenced water-level accuracy codes (lev_acy_cd) included in this output:
#
#     0          Water level accuracy to nearest foot
#     1          Water level accuracy to nearest tenth of a foot
#     2          Water level accuracy to nearest hundredth of a foot
#
# Referenced source of measurement codes (lev_src_cd) included in this output:
#
#     A          Reported by another government agency (do not use "A" if reported by owner, use "O").
#     R          Reported by person other than the owner, driller, or another government agency.
#     S          Measured by personnel of reporting agency.
#     U          Source is unknown.
#
# Referenced method of measurement codes (lev_meth_cd) included in this output:
#
#     S          Steel-tape measurement.
#     T          Electric-tape measurement.
#     U          Unknown
#     V          Calibrated electric-tape measurement.
#
# Referenced water-level approval-status codes (lev_age_cd) included in this output:
#
#     A          Approved for publication -- Processing and review completed.
#     P          Provisional data subject to revision.
#
agency_cd	site_no	site_tp_cd	lev_dt	lev_tm	lev_tz_cd	lev_va	sl_lev_va	sl_datum_cd	lev_status_cd	lev_agency_cd	lev_dt_acy_cd	lev_acy_cd	lev_src_cd	lev_meth_cd	lev_age_cd
5s	15s	6s	10d	5d	5s	12s	12s	10s	1s	5s	1s	1s	1s	1s	1s
USGS	422627071154002	GW	1964-12-01			3.00					D	2	S	S	A
USGS	422627071154002	GW	1965-01-30			3.33					D	2	U	S	A
USGS	422627071154002	GW	1965-02-23			3.17					D	2	U	S	A
USGS	422627071154002	GW	1965-03-31			2.7					D	1	U	S	A
USGS	422627071154002	GW	1965-04-23			2.8					D	1	U	S	A
USGS	422627071154002	GW	1965-05-24			3.26					D	2	U	S	A
USGS	422627071154002	GW	1965-06-22			3.54					D	2	U	S	A
USGS	422627071154002	GW	1965-07-23			3.96					D	2	U	S	A
USGS	422627071154002	GW	1965-08-27			4.21					D	2	U	S	A
USGS	422627071154002	GW	1965-09-21			3.9					D	1	U	S	A
USGS	422627071154002	GW	1965-10-20			3.64					D	2	U	S	A
USGS	422627071154002	GW	1965-11-24			3.52					D	2	U	S	A
USGS	422627071154002	GW	1965-12-27			3.32					D	2	U	S	A
USGS	422627071154002	GW	1966-01-29			3.28					D	2	U	S	A
USGS	422627071154002	GW	1966-03-01			2.25					D	2	U	S	A
USGS	422627071154002	GW	1966-03-28			2.67					D	2	U	S	A
USGS	422627071154002	GW	1966-04-25			2.9					D	1	U	S	A
USGS	422627071154002	GW	1966-05-20			2.9					D	1	U	S	A
USGS	422627071154002	GW	1966-06-28			3.5					D	1	U	S	A
USGS	422627071154002	GW	1966-07-25			4.01					D	2	U	S	A
USGS	422627071154002	GW	1966-08-22			4.05					D	2	U	S	A
USGS	422627071154002	GW	1966-09-28			3.68					D	2	U	S	A
USGS	422627071154002	GW	1966-10-20			3.24					D	2	U	S	A
USGS	422627071154002	GW	1966-11-23			3.12					D	2	U	S	A
USGS	422627071154002	GW	1966-12-28			3.32					D	2	U	S	A
USGS	422627071154002	GW	1967-01-31			2.74					D	2	U	S	A
USGS	422627071154002	GW	1967-02-27			2.96					D	2	U	S	A
USGS	422627071154002	GW	1967-03-30			2.16					D	2	U	S	A
USGS	422627071154002	GW	1967-04-28			2.43					D	2	U	S	A
USGS	422627071154002	GW	1967-05-29			1.95					D	2	U	S	A
USGS	422627071154002	GW	1967-06-29			3.07					D	2	U	S	A
USGS	422627071154002	GW	1967-07-31			3.41					D	2	U	S	A
USGS	422627071154002	GW	1967-08-29			3.42					D	2	U	S	A
USGS	422627071154002	GW	1967-09-28			3.67					D	2	U	S	A
USGS	422627071154002	GW	1967-10-31			3.37					D	2	U	S	A
USGS	422627071154002	GW	1967-11-28			2.69					D	2	U	S	A
USGS	422627071154002	GW	1967-12-27			2.84					D	2	U	S	A
USGS	422627071154002	GW	1968-01-29			2.74					D	2	U	S	A
USGS	422627071154002	GW	1968-02-26			2.98					D	2	U	S	A
