# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-05-10 16:52:32 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 422302071083801 FRESH POND IN GATE HOUSE AT CAMBRIDGE, MA
# -----------------------------------------------------------------------------------
#
# Data provided for site 422302071083801
#    DD parameter statistic   Description
#    02   00010     00003     Temperature, water, degrees Celsius (Mean)
#    03   00020     00003     Temperature, air, degrees Celsius (Mean)
#    04   00095     00003     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Mean)
#    05   00045     00006     Precipitation, total, inches (Sum)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	02_00010_00003	02_00010_00003_cd	03_00020_00003	03_00020_00003_cd	04_00095_00003	04_00095_00003_cd	05_00045_00006	05_00045_00006_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s
USGS	422302071083801	2005-10-01	23.5	A			730	A	0.00	A
USGS	422302071083801	2005-10-02	23.4	A	16.8	A	732	A	0.03	A
USGS	422302071083801	2005-10-03	23.3	A	17.3	A	736	A	0.00	A
USGS	422302071083801	2005-10-04	23.2	A	18.3	A	740	A	0.00	A
USGS	422302071083801	2005-10-05	23.0	A	19.4	A	744	A	0.00	A
USGS	422302071083801	2005-10-06	23.4	A	21.7	A	754	A	0.01	A
USGS	422302071083801	2005-10-07	23.5	A	22.9	A	762	A	0.04	A
USGS	422302071083801	2005-10-08	23.1	A	20.5	A	761	A	1.55	A
USGS	422302071083801	2005-10-09	22.0	A	11.9	A	747	A	1.18	A
USGS	422302071083801	2005-10-10	21.6	A	12.9	A	737	A	0.13	A
USGS	422302071083801	2005-10-11	21.1	A	13.6	A	735	A	0.27	A
USGS	422302071083801	2005-10-12	20.4	A	12.4	A	730	A	0.12	A
USGS	422302071083801	2005-10-13	19.6	A	14.2	A	727	A	0.06	A
USGS	422302071083801	2005-10-14	19.1	A	15.1	A	728	A	1.80	A
USGS	422302071083801	2005-10-15	18.7	A	15.1	A	713	A	3.08	A
USGS	422302071083801	2005-10-16	17.8	A	13.4	A	707	A	0.00	A
USGS	422302071083801	2005-10-17	17.1	A	13.2	A	702	A	0.00	A
USGS	422302071083801	2005-10-18	16.7	A	12.4	A	702	A	0.01	A
USGS	422302071083801	2005-10-19	16.4	A	14.5	A	700	A	0.00	A
USGS	422302071083801	2005-10-20	16.1	A	10.9	A	697	A	0.00	A
USGS	422302071083801	2005-10-21	15.5	A	9.4	A	695	A	0.00	A
USGS	422302071083801	2005-10-22	14.9	A	7.1	A	694	A	0.42	A
USGS	422302071083801	2005-10-23	14.2	A	8.3	A	685	A	0.65	A
USGS	422302071083801	2005-10-24	13.6	A	7.9	A	684	A	0.16	A
USGS	422302071083801	2005-10-25	13.1	A	8.2	A	673	A	1.78	A
USGS	422302071083801	2005-10-26	12.5	A	6.4	A	668	A	0.02	A
USGS	422302071083801	2005-10-27	12.0	A	6.7	A	667	A	0.00	A
USGS	422302071083801	2005-10-28	11.6	A	5.9	A	664	A	0.00	A
USGS	422302071083801	2005-10-29	10.9	A	3.1	A	660	A	0.35	A
USGS	422302071083801	2005-10-30	10.7	A	11.3	A	656	A	0.00	A
USGS	422302071083801	2005-10-31	11.1	A	14.3	A	648	A	0.00	A
USGS	422302071083801	2005-11-01	11.3	A	14.5	A	642	A	0.00	A
USGS	422302071083801	2005-11-02	11.3	A	10.6	A	634	A	0.00	A
USGS	422302071083801	2005-11-03	11.1	A	12.2	A	627	A	0.00	A
USGS	422302071083801	2005-11-04	11.1	A	12.1	A	618	A	0.00	A
USGS	422302071083801	2005-11-05	11.3	A	12.1	A	616	A	0.00	A
USGS	422302071083801	2005-11-06	11.5	A	11.6	A	611	A	0.10	A
USGS	422302071083801	2005-11-07	11.6	A	12.5	A	602	A	0.00	A
USGS	422302071083801	2005-11-08			11.2	A	590	A	0.49	A
USGS	422302071083801	2005-11-09			7.9	A	580	A	0.36	A
USGS	422302071083801	2005-11-10			9.4	A	583	A	0.08	A
USGS	422302071083801	2005-11-11			2.8	A	578	A	0.00	A
USGS	422302071083801	2005-11-12			4.6	A	568	A	0.00	A
USGS	422302071083801	2005-11-13			11.1	A	567	A	0.00	A
USGS	422302071083801	2005-11-14			13.2	A	559	A:e	0.00	A
USGS	422302071083801	2005-11-15			8.7	A	551	A:e	0.11	A
USGS	422302071083801	2005-11-16			13.3	A	542	A:e	0.31	A
USGS	422302071083801	2005-11-17			6.1	A	536	A:e	0.14	A
USGS	422302071083801	2005-11-18			1.7	A	530	A:e	0.00	A
USGS	422302071083801	2005-11-19			2.2	A	525	A:e	0.00	A
USGS	422302071083801	2005-11-20			7.6	A	520	A:e	0.00	A
USGS	422302071083801	2005-11-21			10.1	A	515	A:e	0.26	A
USGS	422302071083801	2005-11-22			7.0	A	510	A:e	1.44	A
USGS	422302071083801	2005-11-23			-0.3	A	504	A:e	0.00	A
USGS	422302071083801	2005-11-24	8.3	A	2.1	A	500	A	0.05	A
USGS	422302071083801	2005-11-25	7.6	A	-2.6	A	499	A	0.00	A
USGS	422302071083801	2005-11-26	7.3	A	-0.7	A	502	A	0.00	A
USGS	422302071083801	2005-11-27	7.0	A	3.3	A	505	A	0.00	A
USGS	422302071083801	2005-11-28	7.0	A	6.3	A	508	A	0.00	A
USGS	422302071083801	2005-11-29	6.7	A	13.8	A	513	A	0.00	A
USGS	422302071083801	2005-11-30	6.8	A	14.6	A	513	A	0.96	A
USGS	422302071083801	2005-12-01	7.0	A	6.4	A	512	A	0.00	A
USGS	422302071083801	2005-12-02	7.0	A	4.8	A	506	A	0.00	A
USGS	422302071083801	2005-12-03	6.7	A	0.5	A	499	A	0.00	A
USGS	422302071083801	2005-12-04	6.2	A	-1.8	A	502	A	0.10	A
USGS	422302071083801	2005-12-05	5.9	A	-1.2	A	502	A	0.00	A
USGS	422302071083801	2005-12-06	5.6	A	0.0	A	502	A	0.00	A
USGS	422302071083801	2005-12-07	5.2	A	-3.0	A	499	A	0.00	A
USGS	422302071083801	2005-12-08	4.8	A	-3.5	A	499	A	0.00	A
USGS	422302071083801	2005-12-09	4.3	A	-1.4	A	501	A	0.56	A
USGS	422302071083801	2005-12-10	3.8	A	0.1	A	499	A	0.00	A
USGS	422302071083801	2005-12-11	3.7	A	1.4	A	501	A	0.00	A
USGS	422302071083801	2005-12-12	3.6	A	0.7	A	496	A	0.00	A
USGS	422302071083801	2005-12-13	3.0	A	-7.4	A	493	A	0.00	A
USGS	422302071083801	2005-12-14	1.6	A	-8.0	A	491	A	0.00	A
USGS	422302071083801	2005-12-15	1.8	A	-5.1	A	497	A	0.00	A
USGS	422302071083801	2005-12-16	1.9	A	3.3	A	504	A	0.85	A
USGS	422302071083801	2005-12-17	2.0	A	1.0	A	500	A	0.00	A
USGS	422302071083801	2005-12-18	2.0	A	-0.7	A	499	A	0.00	A
