# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-03-19 14:43:02 EDT       (nadww02)
#
# US Geological Survey groundwater levels
#
# Data for the following 1 site(s) are contained in this file
#    USGS 422819071065701 MA-XOW   14 WINCHESTER, MA 
# -----------------------------------------------------------------------------------
#
# The fields in this file include:
# ---------------------------------
# agency_cd     Agency code
# site_no       USGS site number
# site_tp_cd    Site type code
# lev_dt        Date level measured
# lev_tm        Time level measured
# lev_tz_cd     Time datum
# lev_va        Water-level value in feet below land surface
# sl_lev_va     Water-level value in feet above specific vertical datum
# sl_datum_cd   Referenced vertical datum
# lev_status_cd Status
# lev_agency_cd Measuring agency
# lev_dt_acy_cd Water-level date-time accuracy
# lev_acy_cd    Water-level accuracy
# lev_src_cd    Source of measurement
# lev_meth_cd   Method of measurement
# lev_age_cd    Water-level approval status
#
# Referenced agency codes (lev_agency_cd) included in this output:
#
#     ""         Not determined
#     MA035      Massachusetts Department of Environmental Protection
#     USGS       U.S. Geological Survey
#
# Referenced site type codes (site_tp_cd) included in this output:
#
#     GW         Well
#
# Referenced water-level site status codes (lev_status_cd) included in this output:
#
#     ""         The reported water-level measurement represents a static level
#
# Referenced water-level date-time accuracy codes (lev_dt_acy_cd) included in this output:
#
#     D          Date is accurate to the Day
#     m          Date is accurate to the Minute
#
# Referenced water-level accuracy codes (lev_acy_cd) included in this output:
#
#     0          Water level accuracy to nearest foot
#     1          Water level accuracy to nearest tenth of a foot
#     2          Water level accuracy to nearest hundredth of a foot
#
# Referenced source of measurement codes (lev_src_cd) included in this output:
#
#     A          Reported by another government agency (do not use "A" if reported by owner, use "O").
#     R          Reported by person other than the owner, driller, or another government agency.
#     S          Measured by personnel of reporting agency.
#     U          Source is unknown.
#
# Referenced method of measurement codes (lev_meth_cd) included in this output:
#
#     S          Steel-tape measurement.
#     T          Electric-tape measurement.
#     U          Unknown
#     V          Calibrated electric-tape measurement.
#
# Referenced water-level approval-status codes (lev_age_cd) included in this output:
#
#     A          Approved for publication -- Processing and review completed.
#     P          Provisional data subject to revision.
#
agency_cd	site_no	site_tp_cd	lev_dt	lev_tm	lev_tz_cd	lev_va	sl_lev_va	sl_datum_cd	lev_status_cd	lev_agency_cd	lev_dt_acy_cd	lev_acy_cd	lev_src_cd	lev_meth_cd	lev_age_cd
5s	15s	6s	10d	5d	5s	12s	12s	10s	1s	5s	1s	1s	1s	1s	1s
USGS	422819071065701	GW	1940-06-01			10.00					D	2	S	S	A
USGS	422819071065701	GW	1940-07-29			11.8					D	1	U	S	A
USGS	422819071065701	GW	1940-09-02			12.66					D	2	U	S	A
USGS	422819071065701	GW	1940-09-28			12.8					D	1	U	S	A
USGS	422819071065701	GW	1940-11-02			13.27					D	2	U	S	A
USGS	422819071065701	GW	1940-11-30			10.15					D	2	U	S	A
USGS	422819071065701	GW	1940-12-28			9.29					D	2	U	S	A
USGS	422819071065701	GW	1941-02-01			9.72					D	2	U	S	A
USGS	422819071065701	GW	1941-03-01			9.94					D	2	U	S	A
USGS	422819071065701	GW	1941-03-29			10.07					D	2	U	S	A
USGS	422819071065701	GW	1941-05-03			10.24					D	2	U	S	A
USGS	422819071065701	GW	1941-05-31			11.18					D	2	U	S	A
USGS	422819071065701	GW	1941-06-28			12.06					D	2	U	S	A
USGS	422819071065701	GW	1941-08-02			13.15					D	2	U	S	A
USGS	422819071065701	GW	1941-08-30			13.77					D	2	U	S	A
USGS	422819071065701	GW	1941-09-27			14.2					D	1	U	S	A
USGS	422819071065701	GW	1941-11-01			14.78					D	2	U	S	A
USGS	422819071065701	GW	1941-11-29			14.97					D	2	U	S	A
USGS	422819071065701	GW	1942-01-03			13.38					D	2	U	S	A
USGS	422819071065701	GW	1942-01-31			9.49					D	2	U	S	A
USGS	422819071065701	GW	1942-02-28			10.2					D	1	U	S	A
USGS	422819071065701	GW	1942-03-31			7.72					D	2	U	S	A
USGS	422819071065701	GW	1942-05-02			9.5					D	1	U	S	A
USGS	422819071065701	GW	1942-05-30			10.87					D	2	U	S	A
USGS	422819071065701	GW	1942-06-27			11.65					D	2	U	S	A
USGS	422819071065701	GW	1942-08-01			12.19					D	2	U	S	A
USGS	422819071065701	GW	1942-08-29			12.74					D	2	U	S	A
USGS	422819071065701	GW	1942-10-03			13.45					D	2	U	S	A
USGS	422819071065701	GW	1942-10-31			13.58					D	2	U	S	A
USGS	422819071065701	GW	1942-11-28			11.32					D	2	U	S	A
USGS	422819071065701	GW	1942-12-24			9.56					D	2	U	S	A
USGS	422819071065701	GW	1943-01-23			10.08					D	2	U	S	A
USGS	422819071065701	GW	1943-02-24			10.44					D	2	U	S	A
USGS	422819071065701	GW	1943-03-29			8.37					D	2	U	S	A
USGS	422819071065701	GW	1943-04-29			8.87					D	2	U	S	A
USGS	422819071065701	GW	1943-05-29			7.96					D	2	U	S	A
USGS	422819071065701	GW	1943-06-29			11.19					D	2	U	S	A
USGS	422819071065701	GW	1943-07-30			12.52					D	2	U	S	A
USGS	422819071065701	GW	1943-08-30			13.26					D	2	U	S	A
