# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-03-19 14:24:11 EDT       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01104430 HOBBS BK BELOW CAMBRIDGE RES NR KENDALL GREEN, MA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01104430
#    DD parameter   Description
#    01   00065     Gage height, feet
#    02   00060     Discharge, cubic feet per second
#    03   00010     Temperature, water, degrees Celsius
#    04   00095     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius
#    11   00062     Elevation of reservoir water surface above datum, feet, GATE HOUSE
#    12   72022     Reservoir storage, million gallons, GATE HOUSE
#    13   00020     Temperature, air, degrees Celsius
#    14   00045     Precipitation, total, inches
#    30   99404     Chloride, water, filtered, estimated by regression equation, milligrams per liter
#    31   99398     Sodium, water, filtered, estimated by regression equation, milligrams per liter
#    32   00010     Temperature, water, degrees Celsius, GATE HOUSE
#    33   00095     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius, GATE HOUSE
#    34   63680     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU), GATE HOUSE
#    35   62361     Chlorophyll, total, water, fluorometric, 650-700 nanometers, in situ sensor, micrograms per liter, GATE HOUSE
#    36   00300     Dissolved oxygen, water, unfiltered, milligrams per liter, GATE HOUSE
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	tz_cd	01_00065	01_00065_cd	02_00060	02_00060_cd	03_00010	03_00010_cd	04_00095	04_00095_cd	11_00062	11_00062_cd	12_72022	12_72022_cd	13_00020	13_00020_cd	14_00045	14_00045_cd	30_99404	30_99404_cd	31_99398	31_99398_cd	32_00010	32_00010_cd	33_00095	33_00095_cd	34_63680	34_63680_cd	35_62361	35_62361_cd	36_00300	36_00300_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	01104430	2007-10-01 00:00	EDT	1.29	A	19	A	20.7	A	640	A	173.37	A	1196	A	11.7	A	0.00	A														
USGS	01104430	2007-10-01 00:15	EDT	1.29	A	19	A	20.6	A	640	A	173.37	A	1196	A	11.5	A	0.00	A														
USGS	01104430	2007-10-01 00:30	EDT	1.29	A	19	A	20.6	A	640	A	173.37	A	1196	A	11.1	A	0.00	A														
USGS	01104430	2007-10-01 00:45	EDT	1.29	A	19	A	20.6	A	640	A	173.37	A	1196	A	10.9	A	0.00	A														
USGS	01104430	2007-10-01 01:00	EDT	1.29	A	19	A	20.6	A	640	A	173.37	A	1196	A	10.8	A	0.00	A														
USGS	01104430	2007-10-01 01:15	EDT	1.29	A	19	A	20.6	A	640	A	173.37	A	1196	A	10.6	A	0.00	A														
USGS	01104430	2007-10-01 01:30	EDT	1.29	A	19	A	20.6	A	640	A	173.37	A	1196	A	10.4	A	0.00	A														
USGS	01104430	2007-10-01 01:45	EDT	1.29	A	19	A	20.6	A	640	A	173.37	A	1196	A	10.1	A	0.00	A														
USGS	01104430	2007-10-01 02:00	EDT	1.29	A	19	A	20.6	A	640	A	173.37	A	1196	A	9.9	A	0.00	A														
USGS	01104430	2007-10-01 02:15	EDT	1.29	A	19	A	20.5	A	640	A	173.37	A	1196	A	9.7	A	0.00	A														
USGS	01104430	2007-10-01 02:30	EDT	1.29	A	19	A	20.5	A	640	A	173.37	A	1196	A	9.5	A	0.00	A														
USGS	01104430	2007-10-01 02:45	EDT	1.29	A	19	A	20.5	A	640	A	173.36	A	1194	A	9.3	A	0.00	A														
USGS	01104430	2007-10-01 03:00	EDT	1.29	A	19	A	20.5	A	640	A	173.36	A	1194	A	9.2	A	0.00	A														
USGS	01104430	2007-10-01 03:15	EDT	1.29	A	19	A	20.4	A	640	A	173.36	A	1194	A	9.0	A	0.00	A														
USGS	01104430	2007-10-01 03:30	EDT	1.29	A	19	A	20.4	A	636	A	173.35	A	1193	A	8.9	A	0.00	A														
USGS	01104430	2007-10-01 03:45	EDT	1.29	A	19	A	20.4	A	636	A	173.35	A	1193	A	8.9	A	0.00	A														
USGS	01104430	2007-10-01 04:00	EDT	1.29	A	19	A	20.4	A	640	A	173.35	A	1193	A	8.8	A	0.00	A														
