# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-03-19 14:16:03 EDT       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01103010 MYSTIC RIVER AT ARLINGTON, MA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01103010
#    DD parameter   Description
#    01   00065     Gage height, feet
#    02   00060     Discharge, cubic feet per second
#    03   00055     Stream velocity, feet per second
#    06   00010     Temperature, water, degrees Celsius
#    07   00011     Temperature, water, degrees Fahrenheit
#
# Data-value qualification codes included in this output: 
#     P  Provisional data subject to revision.  
# 
agency_cd	site_no	datetime	tz_cd	01_00065	01_00065_cd	02_00060	02_00060_cd	03_00055	03_00055_cd	06_00010	06_00010_cd	07_00011	07_00011_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	01103010	2015-09-23 00:00	EDT	-0.60	P	84	P	0.41	P	20.8	P	69.4	P
USGS	01103010	2015-09-23 00:15	EDT	-0.60	P	-38	P	-0.18	P	20.9	P	69.3	P
USGS	01103010	2015-09-23 00:30	EDT	-0.61	P	69	P	0.33	P	20.8	P	69.3	P
USGS	01103010	2015-09-23 00:45	EDT	-0.61	P	8.1	P	0.04	P	20.8	P	69.2	P
USGS	01103010	2015-09-23 01:00	EDT	-0.61	P	84	P	0.41	P	20.8	P	69.1	P
USGS	01103010	2015-09-23 01:15	EDT	-0.62	P	84	P	0.41	P	20.7	P	69.0	P
USGS	01103010	2015-09-23 01:30	EDT	-0.62	P	69	P	0.33	P	20.8	P	69.0	P
USGS	01103010	2015-09-23 01:45	EDT	-0.62	P	-83	P	-0.40	P	20.7	P	69.0	P
USGS	01103010	2015-09-23 02:00	EDT	-0.63	P	-83	P	-0.40	P	20.6	P	68.9	P
USGS	01103010	2015-09-23 02:15	EDT	-0.63	P	-37	P	-0.18	P	20.6	P	68.9	P
USGS	01103010	2015-09-23 02:30	EDT	-0.63	P	-22	P	-0.11	P	20.6	P	68.8	P
USGS	01103010	2015-09-23 02:45	EDT	-0.63	P	-144	P	-0.70	P	20.6	P	68.8	P
USGS	01103010	2015-09-23 03:00	EDT	-0.64	P	8.0	P	0.04	P	20.5	P	68.8	P
USGS	01103010	2015-09-23 03:15	EDT	-0.64	P	53	P	0.26	P	20.5	P	68.7	P
USGS	01103010	2015-09-23 03:30	EDT	-0.64	P	-98	P	-0.48	P	20.5	P	68.7	P
USGS	01103010	2015-09-23 03:45	EDT	-0.64	P	23	P	0.11	P	20.5	P	68.7	P
